"","site","transect","observer","common.name","species","size_class","year","Count"
"1","Anderson Point",1,"KA","Black rockfish","SEME","large",2015,0
"2","Anderson Point",1,"KA","Blackeye goby","RHNI",NA,2015,0
"3","Anderson Point",1,"KA","Buffalo sculpin","ENBI",NA,2015,0
"4","Anderson Point",1,"KA","Cabezon","SCMA",NA,2015,0
"5","Anderson Point",1,"KA","Copper rockfish","SECA","large",2015,0
"6","Anderson Point",1,"KA","Great sculpin","MYOP",NA,2015,0
"7","Anderson Point",1,"KA","Kelp greenling","HEDE",NA,2015,1
"8","Anderson Point",1,"KA","Lingcod","OPEL",NA,2015,0
"9","Anderson Point",1,"KA","Painted greenling","OXPI",NA,2015,0
"10","Anderson Point",1,"KA","Quillback rockfish","SEMA","large",2015,0
"11","Anderson Point",1,"KA","Red Irish Lord","HEHE",NA,2015,0
"12","Anderson Point",1,"KA","Rock greenling","HELA",NA,2015,0
"13","Anderson Point",1,"KA","Striped seaperch","EMLA",NA,2015,0
"14","Anderson Point",1,"KA","Tubesnout","AUFL",NA,2015,0
"15","Anderson Point",1,"KA","YOY rockfish (black dorsal spots)","RYOY","small",2015,0
"16","Anderson Point",1,"KA","bait-sardines-anchovy","BAITBALL",NA,2015,0
"17","Anderson Point",1,"KA","black rockfish","SEME","small",2015,0
"18","Anderson Point",1,"KA","blue rockfish","SEMY","large",2015,0
"19","Anderson Point",1,"KA","blue rockfish","SEMY","small",2015,0
"20","Anderson Point",1,"KA","c-o sole","PLCO",NA,2015,0
"21","Anderson Point",1,"KA","canary rockfish","SEPI","large",2015,0
"22","Anderson Point",1,"KA","canary rockfish","SEPI","small",2015,0
"23","Anderson Point",1,"KA","china rockfish","SENE","large",2015,0
"24","Anderson Point",1,"KA","china rockfish","SENE","small",2015,0
"25","Anderson Point",1,"KA","copper rockfish","SECA","small",2015,0
"26","Anderson Point",1,"KA","greenlings","HEXA",NA,2015,0
"27","Anderson Point",1,"KA","gunnels","PHOL",NA,2015,0
"28","Anderson Point",1,"KA","herring","CLUP",NA,2015,0
"29","Anderson Point",1,"KA","kelp clingfish","RIMU",NA,2015,0
"30","Anderson Point",1,"KA","longfin sculpin","JOZO",NA,2015,0
"31","Anderson Point",1,"KA","manacled sculpin","SYGI",NA,2015,0
"32","Anderson Point",1,"KA","mosshead warbonnet","CHNU",NA,2015,0
"33","Anderson Point",1,"KA","no_transect_no_data","NO_DATA",NA,2015,0
"34","Anderson Point",1,"KA","pile perch","RHVA",NA,2015,0
"35","Anderson Point",1,"KA","quillback rockfish","SEMA","small",2015,0
"36","Anderson Point",1,"KA","rockfish","SEBSPP","large",2015,0
"37","Anderson Point",1,"KA","rockfish","SEBSPP","small",2015,0
"38","Anderson Point",1,"KA","sanddabs","CITH",NA,2015,0
"39","Anderson Point",1,"KA","scalyhead sculpin","ARHA",NA,2015,0
"40","Anderson Point",1,"KA","sculpin","COTT",NA,2015,0
"41","Anderson Point",1,"KA","surfperch","EMBI",NA,2015,0
"42","Anderson Point",1,"KA","unidentified fish","UNID",NA,2015,0
"43","Anderson Point",1,"KA","whitespotted greenling","HEST",NA,2015,0
"44","Anderson Point",1,"KA","yellowtail rockfish","SEFL","large",2015,0
"45","Anderson Point",1,"KA","yellowtail rockfish","SEFL","small",2015,0
"46","Anderson Point",1,"KA","yellowtail-black yoy","SEBYT","small",2015,0
"47","Anderson Point",1,"KA",NA,"AMHE",NA,2015,0
"48","Anderson Point",1,"NT","Black rockfish","SEME","large",2015,0
"49","Anderson Point",1,"NT","Blackeye goby","RHNI",NA,2015,0
"50","Anderson Point",1,"NT","Buffalo sculpin","ENBI",NA,2015,0
"51","Anderson Point",1,"NT","Cabezon","SCMA",NA,2015,0
"52","Anderson Point",1,"NT","Copper rockfish","SECA","large",2015,0
"53","Anderson Point",1,"NT","Great sculpin","MYOP",NA,2015,0
"54","Anderson Point",1,"NT","Kelp greenling","HEDE",NA,2015,0
"55","Anderson Point",1,"NT","Lingcod","OPEL",NA,2015,0
"56","Anderson Point",1,"NT","Painted greenling","OXPI",NA,2015,0
"57","Anderson Point",1,"NT","Quillback rockfish","SEMA","large",2015,0
"58","Anderson Point",1,"NT","Red Irish Lord","HEHE",NA,2015,0
"59","Anderson Point",1,"NT","Rock greenling","HELA",NA,2015,0
"60","Anderson Point",1,"NT","Striped seaperch","EMLA",NA,2015,0
"61","Anderson Point",1,"NT","Tubesnout","AUFL",NA,2015,0
"62","Anderson Point",1,"NT","YOY rockfish (black dorsal spots)","RYOY","small",2015,0
"63","Anderson Point",1,"NT","bait-sardines-anchovy","BAITBALL",NA,2015,0
"64","Anderson Point",1,"NT","black rockfish","SEME","small",2015,0
"65","Anderson Point",1,"NT","blue rockfish","SEMY","large",2015,0
"66","Anderson Point",1,"NT","blue rockfish","SEMY","small",2015,0
"67","Anderson Point",1,"NT","c-o sole","PLCO",NA,2015,0
"68","Anderson Point",1,"NT","canary rockfish","SEPI","large",2015,0
"69","Anderson Point",1,"NT","canary rockfish","SEPI","small",2015,0
"70","Anderson Point",1,"NT","china rockfish","SENE","large",2015,0
"71","Anderson Point",1,"NT","china rockfish","SENE","small",2015,0
"72","Anderson Point",1,"NT","copper rockfish","SECA","small",2015,0
"73","Anderson Point",1,"NT","greenlings","HEXA",NA,2015,0
"74","Anderson Point",1,"NT","gunnels","PHOL",NA,2015,0
"75","Anderson Point",1,"NT","herring","CLUP",NA,2015,0
"76","Anderson Point",1,"NT","kelp clingfish","RIMU",NA,2015,0
"77","Anderson Point",1,"NT","longfin sculpin","JOZO",NA,2015,0
"78","Anderson Point",1,"NT","manacled sculpin","SYGI",NA,2015,0
"79","Anderson Point",1,"NT","mosshead warbonnet","CHNU",NA,2015,0
"80","Anderson Point",1,"NT","no_transect_no_data","NO_DATA",NA,2015,0
"81","Anderson Point",1,"NT","pile perch","RHVA",NA,2015,0
"82","Anderson Point",1,"NT","quillback rockfish","SEMA","small",2015,0
"83","Anderson Point",1,"NT","rockfish","SEBSPP","large",2015,0
"84","Anderson Point",1,"NT","rockfish","SEBSPP","small",2015,0
"85","Anderson Point",1,"NT","sanddabs","CITH",NA,2015,0
"86","Anderson Point",1,"NT","scalyhead sculpin","ARHA",NA,2015,0
"87","Anderson Point",1,"NT","sculpin","COTT",NA,2015,0
"88","Anderson Point",1,"NT","surfperch","EMBI",NA,2015,0
"89","Anderson Point",1,"NT","unidentified fish","UNID",NA,2015,0
"90","Anderson Point",1,"NT","whitespotted greenling","HEST",NA,2015,0
"91","Anderson Point",1,"NT","yellowtail rockfish","SEFL","large",2015,0
"92","Anderson Point",1,"NT","yellowtail rockfish","SEFL","small",2015,0
"93","Anderson Point",1,"NT","yellowtail-black yoy","SEBYT","small",2015,0
"94","Anderson Point",1,"NT",NA,"AMHE",NA,2015,0
"95","Anderson Point",2,"KA","Black rockfish","SEME","large",2015,0
"96","Anderson Point",2,"KA","Blackeye goby","RHNI",NA,2015,0
"97","Anderson Point",2,"KA","Buffalo sculpin","ENBI",NA,2015,0
"98","Anderson Point",2,"KA","Cabezon","SCMA",NA,2015,0
"99","Anderson Point",2,"KA","Copper rockfish","SECA","large",2015,0
"100","Anderson Point",2,"KA","Great sculpin","MYOP",NA,2015,0
"101","Anderson Point",2,"KA","Kelp greenling","HEDE",NA,2015,1
"102","Anderson Point",2,"KA","Lingcod","OPEL",NA,2015,0
"103","Anderson Point",2,"KA","Painted greenling","OXPI",NA,2015,0
"104","Anderson Point",2,"KA","Quillback rockfish","SEMA","large",2015,0
"105","Anderson Point",2,"KA","Red Irish Lord","HEHE",NA,2015,0
"106","Anderson Point",2,"KA","Rock greenling","HELA",NA,2015,0
"107","Anderson Point",2,"KA","Striped seaperch","EMLA",NA,2015,0
"108","Anderson Point",2,"KA","Tubesnout","AUFL",NA,2015,0
"109","Anderson Point",2,"KA","YOY rockfish (black dorsal spots)","RYOY","small",2015,0
"110","Anderson Point",2,"KA","bait-sardines-anchovy","BAITBALL",NA,2015,0
"111","Anderson Point",2,"KA","black rockfish","SEME","small",2015,0
"112","Anderson Point",2,"KA","blue rockfish","SEMY","large",2015,0
"113","Anderson Point",2,"KA","blue rockfish","SEMY","small",2015,0
"114","Anderson Point",2,"KA","c-o sole","PLCO",NA,2015,0
"115","Anderson Point",2,"KA","canary rockfish","SEPI","large",2015,0
"116","Anderson Point",2,"KA","canary rockfish","SEPI","small",2015,0
"117","Anderson Point",2,"KA","china rockfish","SENE","large",2015,0
