"Site","Transect","Observer"
"Anderson Point",1,"KA"
"Anderson Point",2,"KA"
"Anderson Point",1,"NT"
"Anderson Point",2,"NT"
"Cape Alava",1,"JS"
"Cape Alava",2,"JS"
"Cape Alava",1,"KF"
"Cape Alava",2,"NT"
"Cape Johnson",1,"JS"
"Cape Johnson",2,"JS"
"Cape Johnson",1,"NT"
"Cape Johnson",2,"NT"
"Chibadehl Rocks",1,"KA"
"Chibadehl Rocks",2,"KA"
"Chibadehl Rocks",1,"NT"
"Chibadehl Rocks",2,"NT"
"Neah Bay",1,"GW"
"Neah Bay",2,"GW"
"Neah Bay",1,"KA"
"Neah Bay",2,"KA"
"Point of the Arches",1,"JS"
"Point of the Arches",2,"JS"
"Point of the Arches",1,"NT"
"Point of the Arches",2,"NT"
"Rock 305",1,"GW"
"Rock 305",2,"GW"
"Rock 305",1,"NT"
"Rock 305",2,"NT"
"Tatoosh Island",1,"KA"
"Tatoosh Island",2,"KA"
"Tatoosh Island",1,"NT"
"Tatoosh Island",2,"NT"
"Teahwhit Head",1,"GW"
"Teahwhit Head",2,"GW"
"Teahwhit Head",1,"KF"
"Teahwhit Head",1,"NT"
