entry order,YEAR,MONTH,DAY,SITE,OBSERVER,BUDDY,SIDE,ZONE,TRANSECT,SWATH WIDTH,HEADING,DEPTH (m),DEPTH (ft),SEGMENT,CLASSCODE,COUNT,METERS sampled,SIZE,cntrl_a,notes,DATA ENTTRY PROBLEMS,ORG_TYPE
1,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,1,,,,,20-30m,STRPUR,15,10,4,,,,
2,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,1,,,,,20-30m,STRPUR,13,10,5,,,,
3,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,1,,,,,20-30m,STRPUR,7,10,1,,,,
4,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,2,,,,,20-30m,STRPUR,1,10,3,,,,
5,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,2,,,,,20-30m,STRPUR,8,10,4,,,,
6,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,2,,,,,20-30m,STRPUR,15,10,5,,,,
7,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,2,,,,,20-30m,STRPUR,5,10,6,,,,
8,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,3,,,,,20-30m,STRPUR,1,10,3,,,,
9,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,3,,,,,20-30m,STRPUR,5,10,4,,,,
10,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,3,,,,,20-30m,STRPUR,15,10,5,,,,
11,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,3,,,,,20-30m,STRPUR,3,10,6,,,,
12,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,1,,,,,20-30m,MESFRA,4,10,4,,,,
13,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,1,,,,,20-30m,MESFRA,5,10,5,,,,
14,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,1,,,,,20-30m,MESFRA,2,10,6,,,,
15,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,1,,,,,20-30m,MESFRA,3,10,7,,,,
16,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,1,,,,,20-30m,MESFRA,1,10,9,,,,
17,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,2,,,,,20-30m,MESFRA,1,10,3,,,,
18,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,2,,,,,20-30m,MESFRA,9,10,4,,,,
19,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,2,,,,,20-30m,MESFRA,7,10,5,,,,
20,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,2,,,,,20-30m,MESFRA,3,10,6,,,,
21,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,3,,,,,20-30m,MESFRA,8,10,5,,,,
22,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,3,,,,,20-30m,MESFRA,5,10,6,,,,
23,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,3,,,,,20-30m,MESFRA,2,10,7,,,,
24,2021,7,29,Tatoosh Island,Kelly Andrews,,N,10,2,,,,,20-30m,STRDRO,1,10,3,,,,
25,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,4,,,,,20-30m,STRPUR,2,3.3,2,,,,
26,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,4,,,,,20-30m,STRPUR,4,3.3,3,,,,
27,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,4,,,,,20-30m,STRPUR,5,3.3,4,,,,
28,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,4,,,,,20-30m,STRPUR,6,3.3,5,,,,
29,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,4,,,,,20-30m,STRPUR,13,3.3,6,,,,
30,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,4,,,,,20-30m,STRPUR,3,3.3,7,,,,
31,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,4,,,,,20-30m,MESFRA,2,10,5,,,,
32,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,4,,,,,20-30m,MESFRA,2,10,6,,,,
33,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,4,,,,,20-30m,MESFRA,1,10,7,,,,
34,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,4,,,,,20-30m,STRDRO,5,10,3,,,,
35,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,4,,,,,20-30m,STRDRO,1,10,4,,,,
36,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,4,,,,,20-30m,STRDRO,1,10,5,,,,
37,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,4,,,,,20-30m,STRDRO,1,10,6,,,,
38,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,3,,,,,20-30m,STRPUR,3,10,3,,,,
39,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,3,,,,,20-30m,STRPUR,6,10,4,,,,
40,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,3,,,,,20-30m,STRPUR,8,10,5,,,,
41,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,3,,,,,20-30m,STRPUR,10,10,6,,,,
42,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,3,,,,,20-30m,STRPUR,10,10,8,,,,
43,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,3,,,,,20-30m,MESFRA,1,10,3,,,,
44,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,3,,,,,20-30m,MESFRA,2,10,4,,,,
45,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,3,,,,,20-30m,MESFRA,1,10,5,,,,
46,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,3,,,,,20-30m,MESFRA,3,10,6,,,,
47,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,3,,,,,20-30m,MESFRA,1,10,7,,,,
48,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,3,,,,,20-30m,MESFRA,1,10,8,,,,
49,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,3,,,,,20-30m,STRDRO,1,10,7,,,,
50,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,3,,,,,20-30m,STRDRO,3,10,8,,,,
51,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,2,,,,,20-30m,STRPUR,3,10,4,,,,
52,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,2,,,,,20-30m,STRPUR,10,10,5,,,,
53,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,2,,,,,20-30m,STRPUR,10,10,6,,,,
54,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,2,,,,,20-30m,STRPUR,7,10,7,,,,
