"year","site","area","zone","Algae","Invert","Error"
2016,"Cape Alava","E",5,3,3,"no"
2016,"Cape Alava","W",5,2,2,"no"
2016,"Cape Alava","W",10,5,5,"no"
2016,"Cape Johnson","N",5,3,3,"no"
2016,"Cape Johnson","S",5,3,3,"no"
2016,"Cape Johnson","S",10,7,7,"no"
2016,"Destruction Island","N",5,1,1,"no"
2016,"Destruction Island","N",10,2,2,"no"
2016,"Destruction Island","S",5,2,2,"no"
2016,"Destruction Island","S",10,2,2,"no"
2016,"Neah Bay","N",5,5,5,"no"
2016,"Neah Bay","N",10,5,5,"no"
2016,"Tatoosh Island","N",5,5,5,"no"
2016,"Tatoosh Island","N",10,4,4,"no"
2017,"Cape Alava","E",5,4,4,"no"
2017,"Cape Alava","E",10,3,3,"no"
2017,"Cape Alava","W",5,4,4,"no"
2017,"Cape Alava","W",10,3,3,"no"
2017,"Cape Johnson","N",5,4,4,"no"
2017,"Cape Johnson","N",10,3,3,"no"
2017,"Cape Johnson","S",5,3,3,"no"
2017,"Cape Johnson","S",10,3,3,"no"
2017,"Destruction Island","N",5,3,3,"no"
2017,"Destruction Island","N",10,3,3,"no"
2017,"Destruction Island","S",5,3,3,"no"
2017,"Destruction Island","S",10,3,3,"no"
2017,"Neah Bay","N",5,3,3,"no"
2017,"Neah Bay","N",10,3,3,"no"
2017,"Neah Bay","S",5,3,3,"no"
2017,"Neah Bay","S",10,3,3,"no"
2017,"Tatoosh Island","N",5,2,2,"no"
2017,"Tatoosh Island","N",10,3,3,"no"
2017,"Tatoosh Island","S",5,3,3,"no"
2017,"Tatoosh Island","S",10,3,3,"no"
2018,"Cape Alava",NA,5,3,3,"no"
2018,"Cape Alava",NA,10,4,4,"no"
2018,"Cape Johnson",NA,5,3,3,"no"
2018,"Cape Johnson",NA,10,3,3,"no"
2018,"Destruction Island",NA,5,3,3,"no"
2018,"Destruction Island",NA,10,5,5,"no"
2018,"Neah Bay",NA,5,4,4,"no"
2018,"Neah Bay",NA,10,4,4,"no"
2018,"Tatoosh Island",NA,5,3,3,"no"
2018,"Tatoosh Island",NA,10,3,3,"no"
2019,"Cape Alava",NA,5,4,4,"no"
2019,"Cape Alava",NA,10,4,4,"no"
2019,"Cape Johnson",NA,5,4,4,"no"
2019,"Cape Johnson",NA,10,4,4,"no"
2019,"Destruction Island",NA,5,3,3,"no"
2019,"Destruction Island",NA,10,3,3,"no"
2019,"Neah Bay",NA,5,4,4,"no"
2019,"Neah Bay",NA,10,4,4,"no"
2019,"Tatoosh Island",NA,5,2,2,"no"
2019,"Tatoosh Island",NA,10,3,3,"no"
2021,"Cape Alava",NA,5,3,3,"no"
2021,"Cape Alava",NA,10,4,4,"no"
2021,"Cape Johnson",NA,5,4,4,"no"
2021,"Cape Johnson",NA,10,4,4,"no"
2021,"Destruction Island",NA,5,3,3,"no"
2021,"Destruction Island",NA,10,3,3,"no"
2021,"Neah Bay",NA,5,4,4,"no"
2021,"Neah Bay",NA,10,3,3,"no"
2021,"Tatoosh Island",NA,5,3,3,"no"
2021,"Tatoosh Island",NA,10,4,4,"no"
2022,"Cape Alava",NA,5,3,3,"no"
2022,"Cape Alava",NA,10,4,4,"no"
2022,"Cape Johnson",NA,5,3,3,"no"
2022,"Cape Johnson",NA,10,3,3,"no"
2022,"Destruction Island",NA,5,3,3,"no"
2022,"Destruction Island",NA,10,3,3,"no"
2022,"Neah Bay",NA,5,3,3,"no"
2022,"Neah Bay",NA,10,3,3,"no"
2022,"Tatoosh Island",NA,5,3,3,"no"
2022,"Tatoosh Island",NA,10,3,3,"no"
2023,"Cape Alava",NA,5,4,4,"no"
2023,"Cape Alava",NA,10,4,4,"no"
2023,"Cape Johnson",NA,5,4,4,"no"
2023,"Cape Johnson",NA,10,5,5,"no"
2023,"Destruction Island",NA,5,3,3,"no"
2023,"Destruction Island",NA,10,3,3,"no"
2023,"Neah Bay",NA,5,4,4,"no"
2023,"Neah Bay",NA,10,3,3,"no"
2023,"Tatoosh Island",NA,5,3,3,"no"
2023,"Tatoosh Island",NA,10,3,3,"no"
2024,"Cape Alava",NA,5,3,3,"no"
2024,"Cape Alava",NA,10,4,4,"no"
2024,"Cape Johnson",NA,5,4,4,"no"
2024,"Cape Johnson",NA,10,3,3,"no"
2024,"Destruction Island",NA,5,4,4,"no"
2024,"Neah Bay",NA,5,3,3,"no"
2024,"Neah Bay",NA,10,4,4,"no"
2024,"Tatoosh Island",NA,5,3,3,"no"
2024,"Tatoosh Island",NA,10,3,3,"no"
2024,"Destruction Island",NA,10,2,4,"YES"
