"site","transect","observer","common.name","species","size_class","year","Count","area","zone","vis_m"
"Anderson Point",1,"KA","Black rockfish","SEME","large",2015,0,NA,5,NA
"Anderson Point",1,"KA","Blackeye goby","RHNI",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","Buffalo sculpin","ENBI",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","Cabezon","SCMA",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","Copper rockfish","SECA","large",2015,0,NA,5,NA
"Anderson Point",1,"KA","Great sculpin","MYOP",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","Kelp greenling","HEDE",NA,2015,1,NA,5,NA
"Anderson Point",1,"KA","Lingcod","OPEL",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","Painted greenling","OXPI",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","Quillback rockfish","SEMA","large",2015,0,NA,5,NA
"Anderson Point",1,"KA","Red Irish Lord","HEHE",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","Rock greenling","HELA",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","Striped seaperch","EMLA",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","Tubesnout","AUFL",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","YOY rockfish (black dorsal spots)","RYOY","small",2015,0,NA,5,NA
"Anderson Point",1,"KA","bait-sardines-anchovy","BAITBALL",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","black rockfish","SEME","small",2015,0,NA,5,NA
"Anderson Point",1,"KA","blue rockfish","SEMY","large",2015,0,NA,5,NA
"Anderson Point",1,"KA","blue rockfish","SEMY","small",2015,0,NA,5,NA
"Anderson Point",1,"KA","c-o sole","PLCO",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","canary rockfish","SEPI","large",2015,0,NA,5,NA
"Anderson Point",1,"KA","canary rockfish","SEPI","small",2015,0,NA,5,NA
"Anderson Point",1,"KA","china rockfish","SENE","large",2015,0,NA,5,NA
"Anderson Point",1,"KA","china rockfish","SENE","small",2015,0,NA,5,NA
"Anderson Point",1,"KA","copper rockfish","SECA","small",2015,0,NA,5,NA
"Anderson Point",1,"KA","greenlings","HEXA",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","gunnels","PHOL",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","herring","CLUP",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","kelp clingfish","RIMU",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","longfin sculpin","JOZO",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","manacled sculpin","SYGI",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","mosshead warbonnet","CHNU",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","no_transect_no_data","NO_DATA",NA,2015,0,NA,5,NA
"Anderson Point",1,"KA","pile perch","RHVA",NA,2015,0,NA,5,NA
