"year","site","transect","observer","species","zone","area","taxa","grp2","total.count","total.area","density"
2015,"Cape Alava",1,"not noted","ACAHUD",5,NA,"nudibranch","no",0,90,0
2015,"Cape Alava",1,"not noted","ACANAN",5,NA,"nudibranch","no",0,90,0
2015,"Cape Alava",1,"not noted","ACMMIT",5,NA,"shelled gastropod","no",0,90,0
2015,"Cape Alava",1,"not noted","ANTELE",5,NA,"anemone","no",0,90,0
2015,"Cape Alava",1,"not noted","ANTXAN",5,NA,"anemone","no",0,90,0
2015,"Cape Alava",1,"not noted","BALNUB",5,NA,"barnacle","no",0,90,0
2015,"Cape Alava",1,"not noted","CADLUT",5,NA,"nudibranch","no",0,90,0
2015,"Cape Alava",1,"not noted","CALANN",5,NA,"shelled gastropod","no",0,90,0
2015,"Cape Alava",1,"not noted","CANORE",5,NA,"crabs","no",0,90,0
2015,"Cape Alava",1,"not noted","CANSPP",5,NA,"crabs","no",0,90,0
2015,"Cape Alava",1,"not noted","CERFOL",5,NA,"shelled gastropod","no",0,90,0
2015,"Cape Alava",1,"not noted","CHITON",5,NA,"chiton","no",0,90,0
2015,"Cape Alava",1,"not noted","CLAMSP",5,NA,"bivalve","no",0,90,0
2015,"Cape Alava",1,"not noted","CRAARB",5,NA,"sponge","no",0,90,0
2015,"Cape Alava",1,"not noted","CRAGIG",5,NA,"bivalve","no",1,90,0.0111111111111111
2015,"Cape Alava",1,"not noted","CROPAP",5,NA,"medium star","STAR",0,90,0
2015,"Cape Alava",1,"not noted","CRYDEC",5,NA,NA,"no",0,90,0
2015,"Cape Alava",1,"not noted","CRYSIT",5,NA,"crabs","no",0,90,0
2015,"Cape Alava",1,"not noted","CRYSTE",5,NA,"chiton","no",0,90,0
2015,"Cape Alava",1,"not noted","CUCMIN",5,NA,"cucumber","no",6,90,0.0666666666666667
2015,"Cape Alava",1,"not noted","DERIMB",5,NA,"leather star","STAR",3,90,0.0333333333333333
2015,"Cape Alava",1,"not noted","DIASAN",5,NA,"nudibranch","no",0,90,0
2015,"Cape Alava",1,"not noted","DIOASP",5,NA,"shelled gastropod","no",0,90,0
2015,"Cape Alava",1,"not noted","DIRALB",5,NA,"nudibranch","no",0,90,0
2015,"Cape Alava",1,"not noted","DORODH",5,NA,"nudibranch","no",0,90,0
2015,"Cape Alava",1,"not noted","ENTDOF",5,NA,"octopus","no",0,90,0
2015,"Cape Alava",1,"not noted","EPIPRO",5,NA,"anemone","no",0,90,0
2015,"Cape Alava",1,"not noted","EUPQUI",5,NA,"cucumber","no",0,90,0
2015,"Cape Alava",1,"not noted","EVATRO",5,NA,"large star","STAR",1,90,0.0111111111111111
2015,"Cape Alava",1,"not noted","FUSORE",5,NA,"shelled gastropod","no",0,90,0
2015,"Cape Alava",1,"not noted","HALKAM",5,NA,NA,"no",0,90,0
2015,"Cape Alava",1,"not noted","HENLEV",5,NA,"blood star","STAR",0,90,0
2015,"Cape Alava",1,"not noted","HERCRA",5,NA,"nudibranch","no",0,90,0
2015,"Cape Alava",1,"not noted","JANFUS",5,NA,"nudibranch","no",0,90,0
2015,"Cape Alava",1,"not noted","LEPSPP",5,NA,"brood star","STAR",0,90,0
2015,"Cape Alava",1,"not noted","LIMCOC",5,NA,"nudibranch","no",0,90,0
2015,"Cape Alava",1,"not noted","LIRDIR",5,NA,"shelled gastropod","no",0,90,0
2015,"Cape Alava",1,"not noted","LOPMAN",5,NA,"crabs","no",0,90,0
2015,"Cape Alava",1,"not noted","MEDAEQ",5,NA,"medium star","STAR",0,90,0
2015,"Cape Alava",1,"not noted","MESFRA",5,NA,"red urchin","URCHIN",0,90,0
2015,"Cape Alava",1,"not noted","METGIG",5,NA,"anemone","no",0,90,0
2015,"Cape Alava",1,"not noted","METSPP",5,NA,"anemone","no",0,90,0
2015,"Cape Alava",1,"not noted","MIMFOL",5,NA,"crabs","no",1,90,0.0111111111111111
2015,"Cape Alava",1,"not noted","MYTCAL",5,NA,"shelled mussel","no",0,90,0
2015,"Cape Alava",1,"not noted","NUCLAM",5,NA,"shelled gastropod","no",0,90,0
2015,"Cape Alava",1,"not noted","NUDIBR",5,NA,NA,"no",0,90,0
2015,"Cape Alava",1,"not noted","ORTKOE",5,NA,"large star","STAR",0,90,0
2015,"Cape Alava",1,"not noted","PAGSPP",5,NA,"hermit_crabs","no",0,90,0
2015,"Cape Alava",1,"not noted","PARCAL",5,NA,"cucumber","no",0,90,0
2015,"Cape Alava",1,"not noted","PATMIN",5,NA,"medium star","STAR",0,90,0
2015,"Cape Alava",1,"not noted","PELNOB",5,NA,"nudibranch","no",2,90,0.0222222222222222
2015,"Cape Alava",1,"not noted","PISBRE",5,NA,"Pisaster","STAR",0,90,0
2015,"Cape Alava",1,"not noted","PISGIG",5,NA,"Pisaster","STAR",0,90,0
2015,"Cape Alava",1,"not noted","PISOCH",5,NA,"Pisaster","STAR",1,90,0.0111111111111111
2015,"Cape Alava",1,"not noted","PODSPP",5,NA,"bivalve","no",0,90,0
2015,"Cape Alava",1,"not noted","POLSPP",5,NA,NA,"no",0,90,0
2015,"Cape Alava",1,"not noted","PTETES",5,NA,NA,"no",0,90,0
2015,"Cape Alava",1,"not noted","PUGGRA",5,NA,"kelp crab","no",0,90,0
2015,"Cape Alava",1,"not noted","PUGPRO",5,NA,"kelp crab","no",0,90,0
2015,"Cape Alava",1,"not noted","PYCHEL",5,NA,"Pycnopodia","STAR",0,90,0
2015,"Cape Alava",1,"not noted","SCALLOP",5,NA,"bivalve","no",0,90,0
2015,"Cape Alava",1,"not noted","SCYDEC",5,NA,"crabs","no",1,90,0.0111111111111111
2015,"Cape Alava",1,"not noted","SOLDAW",5,NA,NA,"no",0,90,0
2015,"Cape Alava",1,"not noted","SOLSTI",5,NA,"large star","STAR",0,90,0
2015,"Cape Alava",1,"not noted","STARREC",5,NA,"sea_star_YOY","STAR",0,90,0
2015,"Cape Alava",1,"not noted","STRDRO",5,NA,"green urchin","URCHIN",0,90,0
2015,"Cape Alava",1,"not noted","STRPUR",5,NA,"purple urchin","URCHIN",0,90,0
2015,"Cape Alava",1,"not noted","STYFOR",5,NA,"Stylasterias","no",0,90,0
2015,"Cape Alava",1,"not noted","STYMON",5,NA,"tunicate","no",6,90,0.0666666666666667
2015,"Cape Alava",1,"not noted","TEGSPP",5,NA,"shelled gastropod","no",0,90,0
2015,"Cape Alava",1,"not noted","TRICAT",5,NA,"nudibranch","no",0,90,0
2015,"Cape Alava",1,"not noted","UNIDSP",5,NA,"mobile_invert","no",0,90,0
