entry order,YEAR,MONTH,DAY,SITE,OBSERVER,BUDDY,SIDE,ZONE,TRANSECT,SWATH WIDTH,HEADING,DEPTH (m),DEPTH (ft),SEGMENT,CLASSCODE,COUNT,METERS sampled,SIZE,cntrl_a,notes,DATA ENTTRY PROBLEMS,ORG_TYPE
1,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,0-10m,DERIMB,4,10,,,1m swath width,,invert
2,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,0-10m,HENLEV,7,10,,,,,invert
3,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,0-10m,BALNUB,2,10,,,,,invert
4,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,0-10m,CRAGIG,4,10,,,,,invert
5,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,0-10m,CERFOL,1,10,,,,,invert
5a,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,0-10m,NUCLAM,1,10,,,,,invert
5b,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,0-10m,CHITON,1,10,,,,,invert
6,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,10-20m,DERIMB,3,10,,,,,invert
7,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,10-20m,HENLEV,2,10,,,,,invert
8,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,10-20m,CRAGIG,2,10,,,,,invert
9,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,10-20m,DIOASP,2,10,,,,,invert
10,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,10-20m,CERFOL,4,10,,,,,invert
11,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,10-20m,NUCLAM,2,10,,,,,invert
12,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,10-20m,STYMON,3,10,,,,,invert
13,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,10-20m,CUCMIN,6,10,,,,,invert
14,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,20-30m,DERIMB,4,10,,,,,invert
15,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,20-30m,CUCMIN,18,10,,,,,invert
16,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,20-30m,SCYDEC,1,10,,,,,invert
17,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,20-30m,CRAGIG,9,10,,,,,invert
18,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,20-30m,DIOASP,5,10,,,,,invert
19,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,20-30m,CERFOL,4,10,,,,,invert
20,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,20-30m,NUCLAM,20,10,,,,,invert
20a,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,20-30m,HENLEV,5,10,,,,,invert
20b,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,20-30m,EVATRO,1,10,,,,,invert
20c,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,20-30m,CHITON,1,10,,,,,invert
