entry order,YEAR,MONTH,DAY,SITE,OBSERVER,BUDDY,SIDE,ZONE,TRANSECT,HEADING,DEPTH (M),DEPTH (FT),SEGMENT,CATEGORY,CLASSCODE,COUNT,Cntrl a,notes,problems,,,,,,,,,,,,,,,,,,,,
1,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,0-10m,SUBSTRATE,BEDRK,2,,,,,,,,,,,,,,,,,,,,,,,
2,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,0-10m,SUBSTRATE,BOULD,2,,,,,,,,,,,,,,,,,,,,,,,
3,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,0-10m,SUBSTRATE,SAND,6,,,,,,,,,,,,,,,,,,,,,,,
4,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,0-10m,RELIEF,0-10cm,9,,,,,,,,,,,,,,,,,,,,,,,
5,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,0-10m,RELIEF,10cm-1m,1,,,,,,,,,,,,,,,,,,,,,,,
6,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,0-10m,COVER,BARSAN,5,,,,,,,,,,,,,,,,,,,,,,,
7,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,0-10m,COVER,LEAFYRED,3,,,,,,,,,,,,,,,,,,,,,,,
8,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,0-10m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
9,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,0-10m,COVER,ZOSTERA,1,,,,,,,,,,,,,,,,,,,,,,,
10,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,10-20m,SUBSTRATE,BEDRK,6,,,,,,,,,,,,,,,,,,,,,,,
11,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,10-20m,SUBSTRATE,SAND,4,,,,,,,,,,,,,,,,,,,,,,,
12,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,10-20m,RELIEF,0-10cm,4,,,,,,,,,,,,,,,,,,,,,,,
13,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,10-20m,RELIEF,10cm-1m,6,,,,,,,,,,,,,,,,,,,,,,,
14,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,10-20m,COVER,BARSAN,3,,,,,,,,,,,,,,,,,,,,,,,
15,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,10-20m,COVER,LEAFYRED,3,,,,,,,,,,,,,,,,,,,,,,,
16,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,10-20m,COVER,CRUCOR,2,,,,,,,,,,,,,,,,,,,,,,,
