CLASSCODE,species,common_name,total_count,group,functional_group,group_rare,notes
ACAHUD,Acanthodoris hudsoni,white nudibranch,28,large_nudibranch,large_nudibranch,mollusk, white nudibranch with yellow margin (we lump with Cadlina luteomarginata)
ACANAN,Acanthodoris nanaimo,Nanaimo horned dorid,2,large_nudibranch,large_nudibranch,mollusk,
ACMMIT,Acmaea mitra,white cap limpet,73,shelled_gastropod,shelled_mollusk,mollusk,
ANTELE,Anthopleura elegantissima,aggregating anemone,1,small_anemone,small_anemone,anemone,
ANTXAN,Anthopleura xanthogrammica,giant green anemone,149,large_anemone,large_anemone,anemone,
BALNUB,Balanus nubilis,giant acorn barnacle,2142,large_barnacle,large_barnacle,barnacle,
CANORE,Cancer oregonensis,pygmy rock crab,15,crabs,crabs,mobile_invert,
CANSPP,Cancer spp.,cancer crab,33,crabs,crabs,mobile_invert,
CERFOL,Ceratostoma foliatum,leafy hornmouth,891,shelled_gastropod,shelled_mollusk,mollusk,
CHITON,small chitons,small chitons,142,chiton,shelled_mollusk,mollusk,
CLAMSP,misc clams,misc clams,1,bivalve,shelled_mollusk,mollusk,
CRAARB,Craniella arb,grey tennis ball sponge,15,sponge,sponge,sponge,
CRAGIG,Crassadoma gigantea,rock scallop,473,bivalve,shelled_mollusk,mollusk,
CROPAP,Crossaster papposus,common sunstar,1,med_sea_star,seastar,med_seastar,
CRYSIT,Cryptolithoides sitchensis,umbrella crab,13,crabs,crabs,mobile_invert,
CRYSTE,Cryptochiton stelleri,gumboot chiton,82,chiton,shelled_mollusk,mollusk,
CUCMIN,Cucumaria miniata,orange sea cucumber,1299,orange_cucumber,sea_cucumber,sea_cucumber,
DERIMB,Dermasterias imbricata,leather star,791,leather_star,seastar,med_seastar,
DIASAN,Dialula sandiegensis,San Diego dorid,10,med_nudibranch,med_nudibranch,mollusk,
DIOASP,Diodora aspera,rough keyhole limpet,340,shelled_gastropod,shelled_mollusk,mollusk,
DIRALB,Dirona albolineata,white lined nudibranch,95,med_nudibranch,med_nudibranch,mollusk,
DORODH,Doris odhneri,white knight dorid nudibranch,66,large_nudibranch,large_nudibranch,mollusk,
ENTDOF,Enteroctopus dofleini,giant Pacific octopus,1,octopus,octopus,mollusk,
EPIPRO,Epiactis prolifera,brooding anemona,60,small_anemone,small_anemone,anemone,
EUPQUI,Eupentacta quinquesemita,white sea cucumber,177,sea_cucumber,sea_cucumber,sea_cucumber,
EVATRO,Evasterias troschelii,mottled star,99,large_sea_star,seastar,large_seastar,
FUSORE,Fusitriton oregonensis,Oregon hairy triton,4,shelled_gastropod,shelled_mollusk,mollusk,
HENLEV,Henricia leviuscula,blood star,1344,blood_star,seastar,med_seastar,
HERCRA,Hermissenda crassicornis,opalescent nudibranch,12,med_nudibranch,med_nudibranch,mollusk,
JANFUS,Janolus fuscus,nudibranch,35,med_nudibranch,med_nudibranch,mollusk,
LEPSPP,Lepasterias spp.,brood seastar,186,brood_sea_star,seastar,med_seastar,
LIMCOC,Limacia cockerelli,Cockerells dorid,1,med_nudibranch,med_nudibranch,mollusk,
LIRDIR,Lirabuccinum dirum,dire whelk,75,shelled_gastropod,shelled_mollusk,mollusk,
LOPMAN,Lopholithodes mandtii,Puget Sound king crab,2,crabs,crabs,mobile_invert,
MEDAEQ,Mediaster aequalis,red seastar,7,med_sea_star,seastar,med_seastar,
MESFRA,Mesocentrotus franciscanus,red urchin,1478,red_urchin ,urchin,urchin,
METGIG,Metridium giganteum,giant plumose anemone,3,large_anemone,large_anemone,anemone,
METSPP,Metridium spp.,white plumed anemones,195,large_anemone,large_anemone,anemone,
MIMFOL,Mimulus foliatus,mimicking crab,3,crabs,crabs,mobile_invert,
MYTCAL,Mytilus californianus,California mussel,17,shelled_mollusk,shelled_mollusk,mollusk,
NO_ORG,No organisms,No organisms,0,no_org,,,
NUCLAM,Nucella lamellosa,whelk,2876,shelled_gastropod,shelled_mollusk,mollusk, (used generally for rough predatory whelks)
