Index Map ID	Area 20-30 m	Area ≤ 20 m	Total area 0-30 m	Rock area 20-30 m	Rock area ≤ 20 m	Total Rock area 0-30 m	Max kelp extent area 20-30 m	Max kelp extent area ≤ 20 m	Total max kelp extent area	Max kelp extent area in rock 20-30 m	Max kelp extent area in rock ≤ 20 m	Total max kelp extent area in rock 0-30 m
14.1	2263568	7397376	9660944	251719	4688594	4940312	8781	3989525	3998306	3164	3841911	3845076
15.1	1788926	2537120	4326046	10838	1350911	1361748	0	1146735	1146735	0	1077358	1077358
15.2	2028225	3989446	6017671	387783	2841920	3229702	4272	2650164	2654436	0	2456906	2456906
15.3	784030	2209617	2993647	50787	1132812	1183599	3243	995957	999201	1424	948810	950233
15.4	522818	3350815	3873633	269201	1832039	2101241	3322	1310250	1313572	3322	1267136	1270459
16.1	0	801275	801275	0	63602	63602	0	27055	27055	0	26896	26896
16.2	1969290	3945383	5914673	629059	3384277	4013336	101653	3019594	3121246	100308	3002190	3102498
16.3	441575	497425	939000	308913	469263	778176	75310	350049	425358	75310	347675	422985
16.4	2639168	2779029	5418198	1294191	2405091	3699281	100624	1972059	2072683	100624	1899043	1999667
17.1	2336979	4287758	6624738	979266	2317203	3296468	4905	1530642	1535546	3560	1502954	1506514
17.2	138675	5838731	5977405	6091	1781015	1787107	0	1370054	1370054	0	1281534	1281534
17.3	7468177	7841483	15309660	1565686	3201540	4767226	30298	1267136	1297434	29744	1227345	1257090
18.1	4241244	5754482	9995725	468234	1641471	2109705	6170	917088	923258	6170	862346	868516
18.2	3746825	8549886	12296711	482315	2040961	2523276	0	1756018	1756018	0	1405573	1405573
19.1	5765478	10631983	16397460	2540759	8238284	10779043	3639	5910402	5914041	3639	5737078	5740717
19.2	6652584	10894144	17546727	2772068	5285377	8057445	0	2926960	2926960	0	2637903	2637903
20.1	5523094	8387480	13910573	2932972	3817705	6750676	0	875636	875636	0	735300	735300
20.2	4462031	9325768	13787799	2494561	3742157	6236718	0	1238737	1238737	0	1151798	1151798
21.1	3899739	6510270	10410009	1313651	2449232	3762883	0	1089936	1089936	0	848027	848027
21.2	14876074	10279007	25155082	878009	3170847	4048855	4746	993505	998251	3955	841620	845575
22.1	4714778	5886116	10600894	492283	1739010	2231292	0	237084	237084	0	170317	170317
22.2	12141740	7053102	19194843	1518301	3548820	5067121	5617	1787502	1793119	4588	1672322	1676911
23.1	20195547	6307361	26502907	1310803	3430080	4740883	1740	893435	895175	79	827380	827459
23.2	14116805	9598212	23715018	1648986	5079857	6728843	0	32671	32671	0	32671	32671
24.1	15192740	13343376	28536116	1953390	4519147	6472536	0	7990	7990	0	5063	5063
24.2	94612	12502785	12597397	1503	1851895	1853398	0	0	0	0	0	0
25.1	4579584	51748725	56328309	0	2162390	2162390	0	0	0	0	0	0
25.2	10802221	6834213	17636435	3121405	5673397	8794802	6170	1180830	1187001	6091	1161528	1167620
26.1	16873922	33185472	50059394	0	40345	40345	0	0	0	0	0	0
27.1	48542676	35140602	83683278	9730	242067	251798	0	0	0	0	0	0
28.1	46570775	29419029	75989804	261844	2485384	2747228	0	0	0	0	0	0
29.1	27437398	40689564	68126962	143658	1123557	1267215	0	0	0	0	0	0
