"","year","quarter","kelp_area_m2","count_cells_kelp","count_cells_no_clouds","count_cells_historic_footprint","region","km2","hectares"
"1",1984,"1",0,0,0,25149,"WA",0,0
"2",1984,"2",330446,1150,23223,25149,"WA",0.330446,33.0446
"3",1984,"3",3692789,14091,22723,25149,"WA",3.692789,369.2789
"4",1984,"4",88332,707,10106,25149,"WA",0.088332,8.8332
"5",1984,"max",3867824,14425,23843,25149,"WA",3.867824,386.7824
"6",1985,"1",67022,580,24405,25149,"WA",0.067022,6.7022
"7",1985,"2",681941,2663,16531,25149,"WA",0.681941,68.1941
"8",1985,"3",4064341,15107,24586,25149,"WA",4.064341,406.4341
"9",1985,"4",1260255,8102,24103,25149,"WA",1.260255,126.0255
"10",1985,"max",4302176,15958,25024,25149,"WA",4.302176,430.2176
"11",1986,"1",8036,43,15713,25149,"WA",0.008036,0.8036
"12",1986,"2",1088495,4252,21414,25149,"WA",1.088495,108.8495
"13",1986,"3",2218205,12200,25013,25149,"WA",2.218205,221.8205
"14",1986,"4",444122,3983,22873,25149,"WA",0.444122,44.4122
"15",1986,"max",2804813,13353,25036,25149,"WA",2.804813,280.4813
"16",1987,"1",3639,53,12538,25149,"WA",0.003639,0.3639
"17",1987,"2",869021,5029,24721,25149,"WA",0.869021,86.9021
"18",1987,"3",2112225,13341,24720,25149,"WA",2.112225,211.2225
"19",1987,"4",898617,4121,14437,25149,"WA",0.898617,89.8617
"20",1987,"max",2782867,14829,24894,25149,"WA",2.782867,278.2867
"21",1988,"1",0,0,1,25149,"WA",0,0
"22",1988,"2",1339636,4169,14323,25149,"WA",1.339636,133.9636
"23",1988,"3",1481508,8082,23849,25149,"WA",1.481508,148.1508
"24",1988,"4",528885,2945,12144,25149,"WA",0.528885,52.8885
"25",1988,"max",2347480,9397,23898,25149,"WA",2.34748,234.748
"26",1989,"1",0,0,0,25149,"WA",0,0
"27",1989,"2",2105042,8090,24610,25149,"WA",2.105042,210.5042
"28",1989,"3",963479,6644,14742,25149,"WA",0.963479,96.3479
"29",1989,"4",1575338,8982,24136,25149,"WA",1.575338,157.5338
"30",1989,"max",3451985,15483,25035,25149,"WA",3.451985,345.1985
"31",1990,"1",217437,912,23552,25149,"WA",0.217437,21.7437
"32",1990,"2",3129890,6220,24633,25149,"WA",3.12989,312.989
"33",1990,"3",2263361,14431,24959,25149,"WA",2.263361,226.3361
"34",1990,"4",595647,4354,23751,25149,"WA",0.595647,59.5647
"35",1990,"max",4703436,16981,25032,25149,"WA",4.703436,470.3436
"36",1991,"1",38862,52,2156,25149,"WA",0.038862,3.8862
