"able 1.  Results of the 2007 and 2008 July sea otter surveys in Washington State.                             "
2008,2007
"                                                                                            Independent Pup Total Independent Pup Total"
"WILLOUGHBY ROCK",1,0,1,0,0,0
"SOUTH BEACH CAMPGROUND",2,0,2,0,0,0
"KALALOCH",1,0,1,0,0,0
"BROWNS POINT",1,0,1,0,0,0
"NORTH BROWN PT.",1,0,1,0,0,0
"DESTRUCTION I.1",388,14,402,470,4,474
"HOH RIVER MOUTH",3,0,3,1,0,1
"MIDDLE RK/DIAMOND ROCK 1",135,12,147,3,0,3
"NORTH ROCK1",66,9,75,0,0,0
"HOH HEAD",1,0,1,1,0,1
"PERKINS REEF (ROCK 443)",1,0,1,251,6,257
"ALEXANDER ISLAND",0,0,0,3,0,3
"TOLEAK/STRAWBERRY PT.",1,0,1,0,0,0
"GIANTS GRAVEYARD1",7,3,10,20,5,25
"S. CAPE JOHNSON/CHILEAN MEMORIAL1",26,2,28,1,0,1
"CAPE JOHNSON/BLUFF PT.1",144,4,148,97,0,97
"SANDY I. 1",0,0,0,3,0,3
"CEDAR CRK./NORWEGIAN MEM.1",36,3,39,5,0,5
"MIDWAY POINT",0,0,0,3,0,3
"0FFSHORE YELLOW BANKS",0,0,0,42,6,48
"YELLOW BANKS AREA1",42,4,46,0,0,0
"SAND PT.*1",21,6,27,22,6,28
"INSHORE WHITE ROCK /WEDDING ROCKS*",2,0,2,2,0,2
"WEDDING ROCKS",2,0,2,0,0,0
"OZETTE I.",9,1,10,1,0,1
"OZETTE/CAPE ALAVA/BODELTEH*",43,8,51,31,11,42
"DUK PT.*1",33,5,38,84,11,95
"FATHER AND SON*",14,9,23,12,3,15
"PT. OF ARCHES",0,0,0,2,0,2
"ANDERSON PT.*",13,0,13,17,2,19
"* Counted from land-based stations.",993,80,1073,1071,54,1125
"1 Pups were observed at these locations during the survey period, but not when the high count was made."
