,,2011,,,2010,
,"     Independent        ","Pup      ","Total      ","Independent           ","Pup             ","Total    "
"WILLOUGHBY ROCK",2,2,
"NORTH STEAMBOAT CREEK",1,,1,,,
"KALALOCH",1,,1,,,
"BROWNS POINT",2,,2,,,
"RUBY BEACH",1,,1,2,,2
"DESTRUCTION ISLAND",492,,492,391,5,396
"MIDDLE ROCK/DIAMOND ROCK",154,1,155,193,1,194
"HOH HEAD",1,,1,,,
"PERKINS REEF (ROCKS 443)",29,3,32,,,
"ALEXANDER ISLAND",1,,1,,,
"GOODMAN CREEK",6,4,10,,,
"TOLEAK/STRAWBERRY PT.",1,1,2,,,
"GIANTS GRAVEYARD",9,5,14,2,1,3
"RIALTO BEACH",,,,1,,1
"S. of CHILEAN MEMORIAL",,,,16,4,20
"CAPE JOHNSON/BLUFF PT.",10,1,11,171,,171
"SANDY ISLAND",112,,112,27,1,28
"JAGGED ISLAND",,,,1,,1
"CEDAR CREEK/NORWEGIAN MEMORIAL*",91,4,95,20,2,22
"YELLOW BANKS AREA",50,3,53,11,0,11
"SAND POINT*",17,4,21,16,3,19
"INSHORE WHITE ROCK",3,,3,5,1,6
"WEDDING ROCKS",,,,2,,2
"OZETTE ISLAND",5,1,6,4,,4
"OZETTE/CAPE ALAVA/BODELTEH*",8,3,11,54,14,68
"OZETTE RIVER",2,,2,,,
"DUK POINT*",93,13,106,21,3,24
"FATHER AND SON*",1,,1,20,5,25
"PT. OF ARCHES",4,,4,,,
"ANDERSON POINT*",6,,6,7,0,7
"TATOOSH ISLAND",7,,7,,,
"SLANT ROCK",1,,1,,,
"WAADAH ISLAND",1,,1,,,
"TOTAL",1111,43,1154,964,40,1004
