"Location","Independent","Pups","Total"
"South Segment
WILLOUGHBY ROCK",3,0,3
"DESTRUCTION ISLAND",451,3,454
"MIDDLE ROCK/DIAMOND ROCK",5,1,6
"PERKINS REEF (ROCK 443)",266,2,268
"ALEXANDER ISLAND",5,1,6
"GIANTS GRAVEYARD",47,3,50
"QUILLEUTE NEEDLES",3,0,3
"North Segment
CHILEAN MEMORIAL",1,0,1
"CAPE JOHNSON/BLUFF POINT",112,4,116
"SANDY ISLAND",2,1,3
"JAGGED ISLAND",1,0,1
"CEDAR CREEK./NORWEGIAN MEMORIAL",98,8,106
"MIDWAY BEACH",2,0,2
"YELLOW BANKS",70,15,85
"SAND POINT",65,6,71
"INSHORE WHITE ROCK SUBMARINE ROCK",2,1,3
"WEDDING ROCKS",1,0,1
"OZETTE/CAPE ALAVA/BODELTEH",30,6,36
"SOUTH OF OZETTE RIVER",2,0,2
"DUK POINT",34,6,40
"POINT OF ARCHES",5,0,5
"SOUTH OF PORTAGE HEAD",1,0,1
"BAHOBOHOSH POINT",1,0,1
"TATOOSH ISLAND",8,0,8
"Totals",1215,57,1272
