"","YEAR","SITE","ZONE","SIDE","TRANSECT","RELIEF_SIMPSONS_DIVERSITY",".groups"
"1",2016,"Cape Alava",5,"1",1,0,"keep"
"2",2016,"Cape Alava",5,"1",2,0,"keep"
"3",2016,"Cape Alava",5,"1",3,0.531111111111111,"keep"
"4",2016,"Cape Alava",5,"1",4,0.0644444444444445,"keep"
"5",2016,"Cape Alava",5,"1",5,0,"keep"
"6",2016,"Cape Alava",5,"1",6,0,"keep"
"7",2016,"Cape Alava",10,"1",1,0.0644444444444445,"keep"
"8",2016,"Cape Alava",10,"1",2,0.184444444444444,"keep"
"9",2016,"Cape Alava",10,"1",3,0.237777777777778,"keep"
"10",2016,"Cape Alava",10,"1",4,0.371111111111111,"keep"
"11",2016,"Cape Alava",10,"1",5,0.184444444444444,"keep"
"12",2016,"Cape Alava",10,"1",6,0.124444444444444,"keep"
"13",2016,"Cape Johnson",5,"1",1,0.0644444444444445,"keep"
"14",2016,"Cape Johnson",5,"1",2,0,"keep"
"15",2016,"Cape Johnson",5,"1",3,0.0644444444444445,"keep"
"16",2016,"Cape Johnson",5,"1",4,0.0644444444444445,"keep"
"17",2016,"Cape Johnson",5,"1",5,0.124444444444444,"keep"
"18",2016,"Cape Johnson",5,"1",6,0,"keep"
"19",2016,"Cape Johnson",10,"1",1,0.0644444444444445,"keep"
"20",2016,"Cape Johnson",10,"1",2,0.5,"keep"
"21",2016,"Cape Johnson",10,"1",3,0.531111111111111,"keep"
"22",2016,"Cape Johnson",10,"1",4,0.517777777777778,"keep"
"23",2016,"Cape Johnson",10,"1",5,0.637777777777778,"keep"
"24",2016,"Cape Johnson",10,"1",6,0.42,"keep"
"25",2016,"Destruction Island",5,"1",1,0,"keep"
"26",2016,"Destruction Island",5,"2",1,0,"keep"
"27",2016,"Destruction Island",5,"2",2,0.611111111111111,"keep"
"28",2016,"Destruction Island",5,"2",3,0.506666666666667,"keep"
"29",2016,"Destruction Island",10,"1",1,0,"keep"
"30",2016,"Destruction Island",10,"1",2,0.62,"keep"
"31",2016,"Destruction Island",10,"1",3,0.48,"keep"
