"","SITE","CLASSCODE","N","MEAN","SD","SE"
"1","Cape Alava","0-10cm",64,0.0416666666666667,1.59861050777091,0.199826313471363
"2","Cape Alava","10cm-1m",64,0.713541666666667,3.61684907374115,0.452106134217644
"3","Cape Alava","1m-2m",64,0.232291666666667,3.37835224464366,0.422294030580458
"4","Cape Alava",">2m",64,0.0125,0.888819441731559,0.111102430216445
"5","Cape Johnson","0-10cm",58,0.368390804597701,3.67360628562213,0.482368137096097
"6","Cape Johnson","10cm-1m",58,0.604022988505747,3.72456636885629,0.489059523843809
"7","Cape Johnson","1m-2m",58,0.0275862068965517,1.24734200160402,0.16378402878673
"8","Cape Johnson",">2m",58,0,0,0
"9","Destruction Island","0-10cm",49,0.0551020408163265,1.59725529887865,0.228179328411235
"10","Destruction Island","10cm-1m",49,0.364625850340136,3.36927561066019,0.481325087237169
"11","Destruction Island","1m-2m",49,0.219727891156463,2.89843573418757,0.414062247741081
"12","Destruction Island",">2m",49,0.360544217687075,3.36110876857548,0.480158395510784
"13","Neah Bay","0-10cm",56,0.260503072196621,3.28449515269449,0.438909126782234
"14","Neah Bay","10cm-1m",56,0.655664362519201,3.55570554876574,0.475151140419015
"15","Neah Bay","1m-2m",56,0.0791090629800307,2.01981332591141,0.269908908957174
"16","Neah Bay",">2m",56,0.00472350230414747,0.513095202167483,0.0685652304752939
"17","Tatoosh Island","0-10cm",50,0.0286666666666667,1.17993408478798,0.166867878541344
"18","Tatoosh Island","10cm-1m",50,0.409333333333333,3.47692073216773,0.491710845472779
"19","Tatoosh Island","1m-2m",50,0.240666666666667,3.02279855615804,0.427488271444051
"20","Tatoosh Island",">2m",50,0.321333333333333,3.30210707141836,0.466988460480794
