"","SITE","YEAR","SIDE","ZONE","TRANSECT","Sum","CLASSCODE","COUNT","percent_cover"
"1","Cape Alava",2016,"1",5,1,30,">2m",0,0
"2","Cape Alava",2016,"1",5,2,30,">2m",0,0
"3","Cape Alava",2016,"1",5,3,30,">2m",0,0
"4","Cape Alava",2016,"1",5,4,30,">2m",1,0.0333333333333333
"5","Cape Alava",2016,"1",5,5,30,">2m",0,0
"6","Cape Alava",2016,"1",5,6,30,">2m",0,0
"7","Cape Alava",2016,"1",10,1,30,">2m",0,0
"8","Cape Alava",2016,"1",10,2,30,">2m",1,0.0333333333333333
"9","Cape Alava",2016,"1",10,3,30,">2m",1,0.0333333333333333
"10","Cape Alava",2016,"1",10,4,30,">2m",1,0.0333333333333333
"11","Cape Alava",2016,"1",10,5,30,">2m",0,0
"12","Cape Alava",2016,"1",10,6,30,">2m",0,0
"13","Cape Alava",2017,"1",5,1,30,">2m",0,0
"14","Cape Alava",2017,"1",5,2,30,">2m",0,0
"15","Cape Alava",2017,"1",5,3,30,">2m",0,0
"16","Cape Alava",2017,"1",5,4,30,">2m",1,0.0333333333333333
"17","Cape Alava",2017,"1",10,1,30,">2m",0,0
"18","Cape Alava",2017,"1",10,2,30,">2m",0,0
"19","Cape Alava",2017,"1",10,3,30,">2m",0,0
"20","Cape Alava",2017,"1",10,4,30,">2m",0,0
"21","Cape Alava",2017,"1",10,5,30,">2m",0,0
"22","Cape Alava",2017,"1",10,6,30,">2m",0,0
"23","Cape Alava",2017,"2",5,1,30,">2m",0,0
"24","Cape Alava",2017,"2",5,2,30,">2m",0,0
"25","Cape Alava",2017,"2",5,3,30,">2m",0,0
"26","Cape Alava",2017,"2",5,4,30,">2m",0,0
"27","Cape Alava",2017,"2",10,1,30,">2m",0,0
"28","Cape Alava",2017,"2",10,2,30,">2m",0,0
"29","Cape Alava",2017,"2",10,3,30,">2m",0,0
"30","Cape Alava",2017,"2",10,4,30,">2m",0,0
"31","Cape Alava",2017,"2",10,5,30,">2m",2,0.0666666666666667
"32","Cape Alava",2017,"2",10,6,30,">2m",0,0
"33","Cape Alava",2018,"E",5,1,30,">2m",0,0
"34","Cape Alava",2018,"E",5,2,30,">2m",0,0
"35","Cape Alava",2018,"E",5,3,30,">2m",0,0
"36","Cape Alava",2018,"E",5,4,30,">2m",0,0
"37","Cape Alava",2018,"E",10,1,30,">2m",0,0
"38","Cape Alava",2018,"E",10,2,30,">2m",0,0
"39","Cape Alava",2018,"E",10,3,30,">2m",0,0
"40","Cape Alava",2018,"E",10,4,30,">2m",0,0
"41","Cape Alava",2018,"W",5,1,30,">2m",0,0
"42","Cape Alava",2018,"W",5,2,30,">2m",1,0.0333333333333333
"43","Cape Alava",2018,"W",5,3,30,">2m",0,0
"44","Cape Alava",2018,"W",5,4,30,">2m",0,0
"45","Cape Alava",2018,"W",10,1,30,">2m",0,0
"46","Cape Alava",2018,"W",10,2,30,">2m",0,0
"47","Cape Alava",2018,"W",10,3,30,">2m",0,0
"48","Cape Alava",2018,"W",10,4,30,">2m",0,0
"49","Cape Alava",2019,"E",5,1,30,">2m",0,0
"50","Cape Alava",2019,"E",5,2,30,">2m",0,0
"51","Cape Alava",2019,"E",5,3,30,">2m",0,0
"52","Cape Alava",2019,"E",5,4,30,">2m",0,0
"53","Cape Alava",2019,"E",10,1,30,">2m",0,0
"54","Cape Alava",2019,"E",10,2,30,">2m",0,0
"55","Cape Alava",2019,"E",10,3,30,">2m",0,0
"56","Cape Alava",2019,"E",10,4,30,">2m",0,0
"57","Cape Alava",2019,"W",5,1,30,">2m",0,0
"58","Cape Alava",2019,"W",5,2,30,">2m",4,0.133333333333333
"59","Cape Alava",2019,"W",5,3,30,">2m",7,0.233333333333333
"60","Cape Alava",2019,"W",5,4,30,">2m",5,0.166666666666667
"61","Cape Alava",2019,"W",10,1,30,">2m",0,0
"62","Cape Alava",2019,"W",10,2,20,">2m",0,0
"63","Cape Alava",2019,"W",10,3,30,">2m",0,0
"64","Cape Alava",2019,"W",10,4,30,">2m",0,0
"65","Cape Johnson",2016,"1",5,1,30,">2m",0,0
"66","Cape Johnson",2016,"1",5,2,30,">2m",0,0
"67","Cape Johnson",2016,"1",5,3,30,">2m",0,0
"68","Cape Johnson",2016,"1",5,4,30,">2m",0,0
"69","Cape Johnson",2016,"1",5,5,30,">2m",0,0
