"","YEAR","SITE","ZONE","CLASSCODE","N","MEAN","SD","SE"
"1",2016,"Cape Alava",5,"0-10cm",6,0.0277777777777778,0.402538242949707,0.164335549530545
"2",2016,"Cape Alava",5,"10cm-1m",6,0.933333333333333,0.611010092660779,0.249443825784929
"3",2016,"Cape Alava",5,"1m-2m",6,0.0333333333333333,0.439696865275764,0.17950549357115
"4",2016,"Cape Alava",5,">2m",6,0.00555555555555556,0.18206632897971,0.0743282675569981
"5",2016,"Cape Alava",10,"0-10cm",6,0.0166666666666667,0.313581462037113,0.12801909579781
"6",2016,"Cape Alava",10,"10cm-1m",6,0.888888888888889,0.769800358919501,0.314269680527354
"7",2016,"Cape Alava",10,"1m-2m",6,0.0777777777777778,0.656026196405578,0.267821573182088
"8",2016,"Cape Alava",10,">2m",6,0.0166666666666667,0.313581462037113,0.12801909579781
"9",2016,"Cape Johnson",5,"0-10cm",6,0.0277777777777778,0.402538242949707,0.164335549530545
"10",2016,"Cape Johnson",5,"10cm-1m",6,0.972222222222222,0.402538242949707,0.164335549530545
"11",2016,"Cape Johnson",5,"1m-2m",6,0,0,0
"12",2016,"Cape Johnson",5,">2m",6,0,0,0
"13",2016,"Cape Johnson",10,"0-10cm",6,0.605555555555556,1.19714165751098,0.488731035121935
"14",2016,"Cape Johnson",10,"10cm-1m",6,0.283333333333333,1.1037813793199,0.450616861153192
"15",2016,"Cape Johnson",10,"1m-2m",6,0.111111111111111,0.769800358919501,0.314269680527354
"16",2016,"Cape Johnson",10,">2m",6,0,0,0
"17",2016,"Destruction Island",5,"0-10cm",4,0.166666666666667,0.74535599249993,0.372677996249965
"18",2016,"Destruction Island",5,"10cm-1m",4,0.025,0.31224989991992,0.15612494995996
"19",2016,"Destruction Island",5,"1m-2m",4,0.0416666666666667,0.399652626942727,0.199826313471363
"20",2016,"Destruction Island",5,">2m",4,0.766666666666667,0.845905169363302,0.422952584681651
"21",2016,"Destruction Island",10,"0-10cm",6,0.172222222222222,0.924862352120774,0.377573474167693
"22",2016,"Destruction Island",10,"10cm-1m",6,0.388888888888889,1.1941214033447,0.487498021521785
"23",2016,"Destruction Island",10,"1m-2m",6,0.122222222222222,0.802311475490475,0.327542288288526
"24",2016,"Destruction Island",10,">2m",6,0.316666666666667,1.13944430900915,0.465176191231762
"25",2016,"Neah Bay",5,"0-10cm",4,0.4,0.979795897113271,0.489897948556636
"26",2016,"Neah Bay",5,"10cm-1m",4,0.508333333333333,0.99986110146471,0.499930550732355
"27",2016,"Neah Bay",5,"1m-2m",4,0.0916666666666667,0.57710965643936,0.28855482821968
"28",2016,"Neah Bay",5,">2m",4,0,0,0
"29",2016,"Neah Bay",10,"0-10cm",6,0.65,1.16833214455479,0.476969600708473
"30",2016,"Neah Bay",10,"10cm-1m",6,0.3,1.12249721603218,0.458257569495584
"31",2016,"Neah Bay",10,"1m-2m",6,0.05,0.533853912601566,0.217944947177034
"32",2016,"Neah Bay",10,">2m",6,0,0,0
"33",2016,"Tatoosh Island",5,"0-10cm",6,0,0,0
"34",2016,"Tatoosh Island",5,"10cm-1m",6,0.0333333333333333,0.439696865275764,0.17950549357115
"35",2016,"Tatoosh Island",5,"1m-2m",6,0.205555555555556,0.989855956599148,0.404107002087074
"36",2016,"Tatoosh Island",5,">2m",6,0.761111111111111,1.04447399485383,0.426404722833039
"37",2016,"Tatoosh Island",10,"0-10cm",2,0,0,0
"38",2016,"Tatoosh Island",10,"10cm-1m",2,0.783333333333333,0.582618609764951,0.411973569810276
"39",2016,"Tatoosh Island",10,"1m-2m",2,0.216666666666667,0.582618609764951,0.411973569810276
"40",2016,"Tatoosh Island",10,">2m",2,0,0,0
"41",2017,"Cape Alava",5,"0-10cm",8,0,0,0
"42",2017,"Cape Alava",5,"10cm-1m",8,0.9,0.848528137423857,0.3
"43",2017,"Cape Alava",5,"1m-2m",8,0.0958333333333333,0.832582995529241,0.294362541019668
"44",2017,"Cape Alava",5,">2m",8,0.00416666666666667,0.182193425908962,0.0644151034739179
"45",2017,"Cape Alava",10,"0-10cm",12,0.0472222222222222,0.734783918854657,0.212113846673472
"46",2017,"Cape Alava",10,"10cm-1m",12,0.447222222222222,1.72237454523517,0.497206703668444
"47",2017,"Cape Alava",10,"1m-2m",12,0.5,1.73205080756888,0.5
"48",2017,"Cape Alava",10,">2m",12,0.00555555555555556,0.257480671694588,0.0743282675569981
"49",2017,"Cape Johnson",5,"0-10cm",8,0.983333333333333,0.362092683040007,0.12801909579781
"50",2017,"Cape Johnson",5,"10cm-1m",8,0.0166666666666667,0.362092683040007,0.12801909579781
"51",2017,"Cape Johnson",5,"1m-2m",8,0,0,0
"52",2017,"Cape Johnson",5,">2m",8,0,0,0
"53",2017,"Cape Johnson",10,"0-10cm",8,0.85,1.00995049383621,0.357071421427142
"54",2017,"Cape Johnson",10,"10cm-1m",8,0.15,1.00995049383621,0.357071421427142
"55",2017,"Cape Johnson",10,"1m-2m",8,0,0,0
"56",2017,"Cape Johnson",10,">2m",8,0,0,0
"57",2017,"Destruction Island",5,"0-10cm",8,0.0166666666666667,0.362092683040007,0.12801909579781
"58",2017,"Destruction Island",5,"10cm-1m",8,0.233333333333333,1.19629056299509,0.422952584681651
"59",2017,"Destruction Island",5,"1m-2m",8,0.2875,1.28013671144921,0.452596674755792
"60",2017,"Destruction Island",5,">2m",8,0.4625,1.41023047761705,0.498591766879478
"61",2017,"Neah Bay",5,"0-10cm",8,0.120833333333333,0.921879119576483,0.325933488443408
"62",2017,"Neah Bay",5,"10cm-1m",8,0.875,0.935414346693485,0.330718913883074
"63",2017,"Neah Bay",5,"1m-2m",8,0.00416666666666667,0.182193425908962,0.0644151034739179
"64",2017,"Neah Bay",5,">2m",8,0,0,0
"65",2017,"Neah Bay",10,"0-10cm",8,0.1875,1.10397010829098,0.3903123748999
"66",2017,"Neah Bay",10,"10cm-1m",8,0.516666666666667,1.41342766980761,0.499722145018832
"67",2017,"Neah Bay",10,"1m-2m",8,0.279166666666667,1.26880302297524,0.448589610767892
"68",2017,"Neah Bay",10,">2m",8,0.0166666666666667,0.362092683040007,0.12801909579781
"69",2017,"Tatoosh Island",5,"0-10cm",6,0.00555555555555556,0.18206632897971,0.0743282675569981
"70",2017,"Tatoosh Island",5,"10cm-1m",6,0.277777777777778,1.09713431434064,0.447903208238808
"71",2017,"Tatoosh Island",5,"1m-2m",6,0.116666666666667,0.786341740805697,0.321022671404304
"72",2017,"Tatoosh Island",5,">2m",6,0.6,1.2,0.489897948556636
"73",2017,"Tatoosh Island",10,"0-10cm",7,0,0,0
"74",2017,"Tatoosh Island",10,"10cm-1m",7,0.395238095238095,1.29351250599853,0.48890177266058
"75",2017,"Tatoosh Island",10,"1m-2m",7,0.342857142857143,1.25584348433348,0.474664220738176
"76",2017,"Tatoosh Island",10,">2m",7,0.261904761904762,1.16326033336249,0.43967107887189
"77",2018,"Cape Alava",5,"0-10cm",8,0.00833333333333333,0.257120810342359,0.0909059342886309
"78",2018,"Cape Alava",5,"10cm-1m",8,0.720833333333333,1.26880302297524,0.448589610767892
"79",2018,"Cape Alava",5,"1m-2m",8,0.266666666666667,1.25077753595291,0.442216638714053
"80",2018,"Cape Alava",5,">2m",8,0.00416666666666667,0.182193425908962,0.0644151034739179
"81",2018,"Cape Alava",10,"0-10cm",8,0.0166666666666667,0.362092683040007,0.12801909579781
"82",2018,"Cape Alava",10,"10cm-1m",8,0.6875,1.31101106021269,0.463512405443479
"83",2018,"Cape Alava",10,"1m-2m",8,0.295833333333333,1.29094065617974,0.456416446047053
"84",2018,"Cape Alava",10,">2m",8,0,0,0
"85",2018,"Cape Johnson",5,"0-10cm",8,0,0,0
"86",2018,"Cape Johnson",5,"10cm-1m",8,0.945833333333333,0.640203960555627,0.226346280925685
"87",2018,"Cape Johnson",5,"1m-2m",8,0.0541666666666667,0.640203960555627,0.226346280925684
"88",2018,"Cape Johnson",5,">2m",8,0,0,0
