YEAR,SITE,MEAN,SD,N,SE
2016,Destruction Island,0.07933333333333335,0.16293956060921064,10,0.05152601324721584
2016,Cape Johnson,0.4972222222222222,0.11660411983796895,12,0.03366070998853538
2016,Cape Alava,0.4951851851851852,0.1249909835880234,12,0.0360817890104107
2016,Tatoosh Island,0.008055555555555594,0.022784551838233306,8,0.008055555555555594
2016,Neah Bay,0.3197777777777778,0.1993582295860988,10,0.0630426075790839
2017,Destruction Island,0.030555555555555614,0.0644581266263877,8,0.022789389220049947
2017,Cape Johnson,0.4929166666666667,0.1386975719358682,16,0.03467439298396705
2017,Cape Alava,0.2714444444444445,0.17453217892836118,20,0.039026581634497196
2017,Tatoosh Island,0.06290598290598294,0.1290177663951134,13,0.035783090167955084
2017,Neah Bay,0.40875000000000006,0.22219624848207084,16,0.05554906212051771
2018,Destruction Island,0.05644444444444444,0.13158054245761094,15,0.03397394997488434
2018,Cape Johnson,0.5125925925925926,0.11229737124473288,15,0.028995056576914806
2018,Cape Alava,0.37430555555555556,0.12549810222689203,16,0.03137452555672301
2018,Tatoosh Island,0.20000000000000004,0.21390300922263192,15,0.055229519494860324
2018,Neah Bay,0.48162962962962963,0.14400045724664481,15,0.03718075818416723
2019,Destruction Island,0.0677777777777778,0.12268598881637566,16,0.030671497204093914
2019,Cape Johnson,0.21703703703703714,0.17405763740929484,15,0.04494148873109386
2019,Cape Alava,0.44375,0.16141293567266882,16,0.040353233918167204
2019,Tatoosh Island,0.15238095238095242,0.19715683622643693,14,0.052692380901402
2019,Neah Bay,0.20389818117761047,0.18706669662721032,15,0.04830041337781471
