YEAR,SITE,ZONE,SIDE,TRANSECT,SUBSTRATE_DIVERSITY
2016,Destruction Island,5,1,1,0
2016,Destruction Island,5,2,1,0
2016,Destruction Island,5,2,2,0
2016,Destruction Island,5,2,3,0
2016,Destruction Island,10,1,1,0
2016,Destruction Island,10,1,2,0
2016,Destruction Island,10,1,3,0
2016,Destruction Island,10,2,1,0.49111111111111105
2016,Destruction Island,10,2,2,0.06444444444444475
2016,Destruction Island,10,2,3,0.23777777777777775
2016,Cape Johnson,5,1,1,0.5577777777777777
2016,Cape Johnson,5,1,2,0.49777777777777776
2016,Cape Johnson,5,1,3,0.39111111111111097
2016,Cape Johnson,5,1,4,0.48
2016,Cape Johnson,5,1,5,0.2777777777777779
2016,Cape Johnson,5,1,6,0.39111111111111097
2016,Cape Johnson,10,1,1,0.42000000000000004
2016,Cape Johnson,10,1,2,0.6466666666666666
2016,Cape Johnson,10,1,3,0.54
2016,Cape Johnson,10,1,4,0.5711111111111111
2016,Cape Johnson,10,1,5,0.6955555555555555
2016,Cape Johnson,10,1,6,0.49777777777777776
2016,Cape Alava,5,1,1,0.5311111111111111
2016,Cape Alava,5,1,2,0.5977777777777777
2016,Cape Alava,5,1,3,0.5311111111111111
2016,Cape Alava,5,1,4,0.23111111111111104
2016,Cape Alava,5,1,5,0.35777777777777786
2016,Cape Alava,5,1,6,0.5311111111111111
2016,Cape Alava,10,1,1,0.4955555555555555
2016,Cape Alava,10,1,2,0.5155555555555555
2016,Cape Alava,10,1,3,0.691111111111111
2016,Cape Alava,10,1,4,0.5711111111111111
2016,Cape Alava,10,1,5,0.5422222222222223
2016,Cape Alava,10,1,6,0.34666666666666657
2016,Tatoosh Island,5,1,1,0
2016,Tatoosh Island,5,1,2,0
2016,Tatoosh Island,5,1,3,0
2016,Tatoosh Island,5,1,4,0
2016,Tatoosh Island,5,1,5,0
2016,Tatoosh Island,5,1,6,0
2016,Tatoosh Island,10,1,1,0
2016,Tatoosh Island,10,1,2,0.06444444444444475
2016,Neah Bay,5,1,1,0.5577777777777778
2016,Neah Bay,5,1,2,0.5444444444444445
2016,Neah Bay,5,1,3,0.49111111111111116
2016,Neah Bay,5,1,4,0.5044444444444445
2016,Neah Bay,10,1,1,0.331111111111111
2016,Neah Bay,10,1,2,0.06444444444444475
2016,Neah Bay,10,1,3,0.06444444444444475
2016,Neah Bay,10,1,4,0.331111111111111
2016,Neah Bay,10,1,5,0.18444444444444463
2016,Neah Bay,10,1,6,0.12444444444444436
2017,Destruction Island,5,1,1,0
2017,Destruction Island,5,1,2,0
2017,Destruction Island,5,1,3,0.18000000000000016
2017,Destruction Island,5,1,4,0.06444444444444475
2017,Destruction Island,5,2,1,0
2017,Destruction Island,5,2,2,0
2017,Destruction Island,5,2,3,0
2017,Destruction Island,5,2,4,0
2017,Cape Johnson,5,1,1,0.49777777777777776
2017,Cape Johnson,5,1,2,0.5044444444444445
2017,Cape Johnson,5,1,3,0.18000000000000016
2017,Cape Johnson,5,2,1,0.42000000000000004
2017,Cape Johnson,5,2,2,0.42000000000000004
2017,Cape Johnson,5,2,3,0.42000000000000004
2017,Cape Johnson,5,2,4,0.5244444444444445
2017,Cape Johnson,5,2,5,0.5177777777777778
2017,Cape Johnson,10,1,1,0.6111111111111112
2017,Cape Johnson,10,1,2,0.7088888888888889
2017,Cape Johnson,10,1,3,0.28666666666666685
2017,Cape Johnson,10,1,4,0.7177777777777777
2017,Cape Johnson,10,2,1,0.4244444444444445
2017,Cape Johnson,10,2,2,0.5844444444444444
2017,Cape Johnson,10,2,3,0.49777777777777776
2017,Cape Johnson,10,2,4,0.5711111111111111
2017,Cape Alava,5,1,1,0.12444444444444436
2017,Cape Alava,5,1,2,0.2911111111111112
2017,Cape Alava,5,1,3,0.06444444444444475
2017,Cape Alava,5,1,4,0.18444444444444463
2017,Cape Alava,5,2,1,0.46444444444444455
2017,Cape Alava,5,2,2,0.6111111111111112
2017,Cape Alava,5,2,3,0.5311111111111111
2017,Cape Alava,5,2,4,0.42000000000000004
