YEAR,SITE,ZONE,SIDE,TRANSECT,CLASSCODE,PROPORTION,PROPORTION_2
2016,Destruction Island,5,1,1,BEDRK,1,1
2016,Destruction Island,5,1,1,BOULD,0,0
2016,Destruction Island,5,1,1,COB,0,0
2016,Destruction Island,5,1,1,SAND,0,0
2016,Destruction Island,5,2,1,BEDRK,1,1
2016,Destruction Island,5,2,1,BOULD,0,0
2016,Destruction Island,5,2,1,COB,0,0
2016,Destruction Island,5,2,1,SAND,0,0
2016,Destruction Island,5,2,2,BEDRK,1,1
2016,Destruction Island,5,2,2,BOULD,0,0
2016,Destruction Island,5,2,2,COB,0,0
2016,Destruction Island,5,2,2,SAND,0,0
2016,Destruction Island,5,2,3,BEDRK,1,1
2016,Destruction Island,5,2,3,BOULD,0,0
2016,Destruction Island,5,2,3,COB,0,0
2016,Destruction Island,5,2,3,SAND,0,0
2016,Destruction Island,10,1,1,BEDRK,1,1
2016,Destruction Island,10,1,1,BOULD,0,0
2016,Destruction Island,10,1,1,COB,0,0
2016,Destruction Island,10,1,1,SAND,0,0
2016,Destruction Island,10,1,2,BEDRK,1,1
2016,Destruction Island,10,1,2,BOULD,0,0
2016,Destruction Island,10,1,2,COB,0,0
2016,Destruction Island,10,1,2,SAND,0,0
2016,Destruction Island,10,1,3,BEDRK,1,1
2016,Destruction Island,10,1,3,BOULD,0,0
2016,Destruction Island,10,1,3,COB,0,0
2016,Destruction Island,10,1,3,SAND,0,0
2016,Destruction Island,10,2,1,BEDRK,0.6666666666666667,0.44444444444444453
2016,Destruction Island,10,2,1,BOULD,0.23333333333333334,0.05444444444444445
2016,Destruction Island,10,2,1,COB,0,0
2016,Destruction Island,10,2,1,SAND,0.1,0.010000000000000002
2016,Destruction Island,10,2,2,BEDRK,0.9666666666666666,0.9344444444444442
2016,Destruction Island,10,2,2,BOULD,0,0
2016,Destruction Island,10,2,2,COB,0.03333333333333333,0.0011111111111111111
2016,Destruction Island,10,2,2,SAND,0,0
2016,Destruction Island,10,2,3,BEDRK,0.8666666666666667,0.7511111111111112
2016,Destruction Island,10,2,3,BOULD,0,0
2016,Destruction Island,10,2,3,COB,0.1,0.010000000000000002
2016,Destruction Island,10,2,3,SAND,0.03333333333333333,0.0011111111111111111
2016,Cape Johnson,5,1,1,BEDRK,0.43333333333333335,0.1877777777777778
2016,Cape Johnson,5,1,1,BOULD,0.5,0.25
2016,Cape Johnson,5,1,1,COB,0,0
2016,Cape Johnson,5,1,1,SAND,0.06666666666666667,0.0044444444444444444
2016,Cape Johnson,5,1,2,BEDRK,0.4666666666666667,0.2177777777777778
2016,Cape Johnson,5,1,2,BOULD,0.5333333333333333,0.28444444444444444
2016,Cape Johnson,5,1,2,COB,0,0
2016,Cape Johnson,5,1,2,SAND,0,0
2016,Cape Johnson,5,1,3,BEDRK,0.26666666666666666,0.07111111111111111
2016,Cape Johnson,5,1,3,BOULD,0.7333333333333334,0.5377777777777779
2016,Cape Johnson,5,1,3,COB,0,0
2016,Cape Johnson,5,1,3,SAND,0,0
2016,Cape Johnson,5,1,4,BEDRK,0.4,0.16000000000000003
2016,Cape Johnson,5,1,4,BOULD,0.6,0.36
2016,Cape Johnson,5,1,4,COB,0,0
2016,Cape Johnson,5,1,4,SAND,0,0
2016,Cape Johnson,5,1,5,BEDRK,0.16666666666666666,0.027777777777777776
2016,Cape Johnson,5,1,5,BOULD,0.8333333333333333,0.6944444444444443
2016,Cape Johnson,5,1,5,COB,0,0
2016,Cape Johnson,5,1,5,SAND,0,0
2016,Cape Johnson,5,1,6,BEDRK,0.26666666666666666,0.07111111111111111
2016,Cape Johnson,5,1,6,BOULD,0.7333333333333334,0.5377777777777779
2016,Cape Johnson,5,1,6,COB,0,0
2016,Cape Johnson,5,1,6,SAND,0,0
2016,Cape Johnson,10,1,1,BEDRK,0,0
2016,Cape Johnson,10,1,1,BOULD,0.7,0.48999999999999994
2016,Cape Johnson,10,1,1,COB,0.30000000000000004,0.09000000000000002
2016,Cape Johnson,10,1,1,SAND,0,0
2016,Cape Johnson,10,1,2,BEDRK,0.23333333333333334,0.05444444444444445
2016,Cape Johnson,10,1,2,BOULD,0.43333333333333335,0.1877777777777778
2016,Cape Johnson,10,1,2,COB,0.33333333333333337,0.11111111111111113
2016,Cape Johnson,10,1,2,SAND,0,0
2016,Cape Johnson,10,1,3,BEDRK,0.1,0.010000000000000002
2016,Cape Johnson,10,1,3,BOULD,0.6,0.36
2016,Cape Johnson,10,1,3,COB,0.3,0.09
2016,Cape Johnson,10,1,3,SAND,0,0
2016,Cape Johnson,10,1,4,BEDRK,0.13333333333333333,0.017777777777777778
2016,Cape Johnson,10,1,4,BOULD,0.3,0.09
2016,Cape Johnson,10,1,4,COB,0.5666666666666667,0.32111111111111107
2016,Cape Johnson,10,1,4,SAND,0,0
2016,Cape Johnson,10,1,5,BEDRK,0.26666666666666666,0.07111111111111111
2016,Cape Johnson,10,1,5,BOULD,0.16666666666666669,0.027777777777777783
2016,Cape Johnson,10,1,5,COB,0.43333333333333335,0.1877777777777778
2016,Cape Johnson,10,1,5,SAND,0.13333333333333333,0.017777777777777778
2016,Cape Johnson,10,1,6,BEDRK,0,0
2016,Cape Johnson,10,1,6,BOULD,0.2,0.04000000000000001
2016,Cape Johnson,10,1,6,COB,0.6666666666666666,0.4444444444444444
2016,Cape Johnson,10,1,6,SAND,0.13333333333333333,0.017777777777777778
2016,Cape Alava,5,1,1,BEDRK,0.03333333333333333,0.0011111111111111111
2016,Cape Alava,5,1,1,BOULD,0.5,0.25
2016,Cape Alava,5,1,1,COB,0.4666666666666667,0.2177777777777778
2016,Cape Alava,5,1,1,SAND,0,0
2016,Cape Alava,5,1,2,BEDRK,0.16666666666666666,0.027777777777777776
2016,Cape Alava,5,1,2,BOULD,0.5333333333333333,0.28444444444444444
2016,Cape Alava,5,1,2,COB,0.3,0.09
2016,Cape Alava,5,1,2,SAND,0,0
2016,Cape Alava,5,1,3,BEDRK,0.16666666666666669,0.027777777777777783
2016,Cape Alava,5,1,3,BOULD,0.6333333333333333,0.4011111111111111
2016,Cape Alava,5,1,3,COB,0.2,0.04000000000000001
2016,Cape Alava,5,1,3,SAND,0,0
2016,Cape Alava,5,1,4,BEDRK,0,0
2016,Cape Alava,5,1,4,BOULD,0.8666666666666667,0.7511111111111112
2016,Cape Alava,5,1,4,COB,0.13333333333333333,0.017777777777777778
2016,Cape Alava,5,1,4,SAND,0,0
2016,Cape Alava,5,1,5,BEDRK,0,0
2016,Cape Alava,5,1,5,BOULD,0.7666666666666666,0.5877777777777777
2016,Cape Alava,5,1,5,COB,0.23333333333333334,0.05444444444444445
2016,Cape Alava,5,1,5,SAND,0,0
2016,Cape Alava,5,1,6,BEDRK,0.2,0.04000000000000001
2016,Cape Alava,5,1,6,BOULD,0.6333333333333333,0.4011111111111111
2016,Cape Alava,5,1,6,COB,0.16666666666666669,0.027777777777777783
2016,Cape Alava,5,1,6,SAND,0,0
2016,Cape Alava,10,1,1,BEDRK,0.23333333333333334,0.05444444444444445
2016,Cape Alava,10,1,1,BOULD,0.6666666666666666,0.4444444444444444
2016,Cape Alava,10,1,1,COB,0.06666666666666667,0.0044444444444444444
2016,Cape Alava,10,1,1,SAND,0.03333333333333333,0.0011111111111111111
2016,Cape Alava,10,1,2,BEDRK,0.6666666666666666,0.4444444444444444
2016,Cape Alava,10,1,2,BOULD,0.13333333333333333,0.017777777777777778
2016,Cape Alava,10,1,2,COB,0.06666666666666667,0.0044444444444444444
2016,Cape Alava,10,1,2,SAND,0.13333333333333333,0.017777777777777778
2016,Cape Alava,10,1,3,BEDRK,0.3333333333333333,0.1111111111111111
2016,Cape Alava,10,1,3,BOULD,0.4,0.16000000000000003
2016,Cape Alava,10,1,3,COB,0.1,0.010000000000000002
2016,Cape Alava,10,1,3,SAND,0.16666666666666666,0.027777777777777776
2016,Cape Alava,10,1,4,BEDRK,0.3,0.09
2016,Cape Alava,10,1,4,BOULD,0.5666666666666667,0.32111111111111107
2016,Cape Alava,10,1,4,COB,0,0
2016,Cape Alava,10,1,4,SAND,0.13333333333333333,0.017777777777777778
2016,Cape Alava,10,1,5,BEDRK,0.03333333333333333,0.0011111111111111111
2016,Cape Alava,10,1,5,BOULD,0.6333333333333333,0.4011111111111111
2016,Cape Alava,10,1,5,COB,0.16666666666666669,0.027777777777777783
2016,Cape Alava,10,1,5,SAND,0.16666666666666666,0.027777777777777776
2016,Cape Alava,10,1,6,BEDRK,0.06666666666666667,0.0044444444444444444
2016,Cape Alava,10,1,6,BOULD,0.8,0.6400000000000001
2016,Cape Alava,10,1,6,COB,0.06666666666666667,0.0044444444444444444
2016,Cape Alava,10,1,6,SAND,0.06666666666666667,0.0044444444444444444
2016,Tatoosh Island,5,1,1,BEDRK,1,1
2016,Tatoosh Island,5,1,1,BOULD,0,0
2016,Tatoosh Island,5,1,1,COB,0,0
2016,Tatoosh Island,5,1,1,SAND,0,0
2016,Tatoosh Island,5,1,2,BEDRK,1,1
2016,Tatoosh Island,5,1,2,BOULD,0,0
2016,Tatoosh Island,5,1,2,COB,0,0
2016,Tatoosh Island,5,1,2,SAND,0,0
2016,Tatoosh Island,5,1,3,BEDRK,1,1
2016,Tatoosh Island,5,1,3,BOULD,0,0
2016,Tatoosh Island,5,1,3,COB,0,0
2016,Tatoosh Island,5,1,3,SAND,0,0
2016,Tatoosh Island,5,1,4,BEDRK,1,1
2016,Tatoosh Island,5,1,4,BOULD,0,0
2016,Tatoosh Island,5,1,4,COB,0,0
2016,Tatoosh Island,5,1,4,SAND,0,0
2016,Tatoosh Island,5,1,5,BEDRK,1,1
2016,Tatoosh Island,5,1,5,BOULD,0,0
2016,Tatoosh Island,5,1,5,COB,0,0
2016,Tatoosh Island,5,1,5,SAND,0,0
2016,Tatoosh Island,5,1,6,BEDRK,1,1
2016,Tatoosh Island,5,1,6,BOULD,0,0
2016,Tatoosh Island,5,1,6,COB,0,0
2016,Tatoosh Island,5,1,6,SAND,0,0
2016,Tatoosh Island,10,1,1,BEDRK,1,1
2016,Tatoosh Island,10,1,1,BOULD,0,0
2016,Tatoosh Island,10,1,1,COB,0,0
2016,Tatoosh Island,10,1,1,SAND,0,0
2016,Tatoosh Island,10,1,2,BEDRK,0.9666666666666666,0.9344444444444442
2016,Tatoosh Island,10,1,2,BOULD,0,0
2016,Tatoosh Island,10,1,2,COB,0,0
2016,Tatoosh Island,10,1,2,SAND,0.03333333333333333,0.0011111111111111111
2016,Neah Bay,5,1,1,BEDRK,0.33333333333333337,0.11111111111111113
2016,Neah Bay,5,1,1,BOULD,0.1,0.010000000000000002
2016,Neah Bay,5,1,1,COB,0,0
2016,Neah Bay,5,1,1,SAND,0.5666666666666667,0.32111111111111107
2016,Neah Bay,5,1,2,BEDRK,0.6,0.36
2016,Neah Bay,5,1,2,BOULD,0.03333333333333333,0.0011111111111111111
2016,Neah Bay,5,1,2,COB,0.06666666666666667,0.0044444444444444444
2016,Neah Bay,5,1,2,SAND,0.3,0.09
2016,Neah Bay,5,1,3,BEDRK,0.23333333333333334,0.05444444444444445
