"","YEAR","SITE","ZONE","SIDE","TRANSECT","RELIEF_SIMPSONS_DIVERSITY",".groups"
"1",2016,"Cape Alava",5,"1",1,0.551111111111111,"keep"
"2",2016,"Cape Alava",5,"1",2,0.513333333333333,"keep"
"3",2016,"Cape Alava",5,"1",3,0.562222222222222,"keep"
"4",2016,"Cape Alava",5,"1",4,0.417777777777778,"keep"
"5",2016,"Cape Alava",5,"1",5,0.38,"keep"
"6",2016,"Cape Alava",5,"1",6,0.428888888888889,"keep"
"7",2016,"Cape Alava",10,"1",1,0.513333333333333,"keep"
"8",2016,"Cape Alava",10,"1",2,0.588888888888889,"keep"
"9",2016,"Cape Alava",10,"1",3,0.608888888888889,"keep"
"10",2016,"Cape Alava",10,"1",4,0.615555555555556,"keep"
"11",2016,"Cape Alava",10,"1",5,0.542222222222222,"keep"
"12",2016,"Cape Alava",10,"1",6,0.417777777777778,"keep"
"13",2016,"Cape Johnson",5,"1",1,0.533333333333333,"keep"
"14",2016,"Cape Johnson",5,"1",2,0.58,"keep"
"15",2016,"Cape Johnson",5,"1",3,0.5,"keep"
"16",2016,"Cape Johnson",5,"1",4,0.586666666666667,"keep"
"17",2016,"Cape Johnson",5,"1",5,0.48,"keep"
"18",2016,"Cape Johnson",5,"1",6,0.38,"keep"
"19",2016,"Cape Johnson",10,"1",1,0.406666666666667,"keep"
"20",2016,"Cape Johnson",10,"1",2,0.346666666666667,"keep"
"21",2016,"Cape Johnson",10,"1",3,0.24,"keep"
"22",2016,"Cape Johnson",10,"1",4,0.451111111111111,"keep"
"23",2016,"Cape Johnson",10,"1",5,0.433333333333333,"keep"
"24",2016,"Cape Johnson",10,"1",6,0.555671175858481,"keep"
"25",2016,"Destruction Island",5,"1",1,0.651111111111111,"keep"
"26",2016,"Destruction Island",5,"2",1,0.72125,"keep"
"27",2016,"Destruction Island",5,"2",2,0.557777777777778,"keep"
"28",2016,"Destruction Island",5,"2",3,0.575555555555556,"keep"
"29",2016,"Destruction Island",10,"1",1,0.655555555555556,"keep"
"30",2016,"Destruction Island",10,"1",2,0.437777777777778,"keep"
"31",2016,"Destruction Island",10,"1",3,0.688888888888889,"keep"
"32",2016,"Destruction Island",10,"2",1,0.285374554102259,"keep"
"33",2016,"Destruction Island",10,"2",2,0.66,"keep"
"34",2016,"Destruction Island",10,"2",3,0.726666666666667,"keep"
"35",2016,"Neah Bay",5,"1",1,0.677777777777778,"keep"
"36",2016,"Neah Bay",5,"1",2,0.76,"keep"
"37",2016,"Neah Bay",5,"1",3,0.62,"keep"
"38",2016,"Neah Bay",5,"1",4,0.604444444444444,"keep"
"39",2016,"Neah Bay",10,"1",1,0.666666666666667,"keep"
"40",2016,"Neah Bay",10,"1",2,0.56,"keep"
"41",2016,"Neah Bay",10,"1",3,0.568158168574402,"keep"
"42",2016,"Neah Bay",10,"1",4,0.56,"keep"
"43",2016,"Neah Bay",10,"1",5,0.486666666666667,"keep"
"44",2016,"Neah Bay",10,"1",6,0.611111111111111,"keep"
"45",2016,"Tatoosh Island",5,"1",1,0.535555555555556,"keep"
"46",2016,"Tatoosh Island",5,"1",2,0.646666666666667,"keep"
"47",2016,"Tatoosh Island",5,"1",3,0.666666666666667,"keep"
"48",2016,"Tatoosh Island",5,"1",4,0.693028095733611,"keep"
"49",2016,"Tatoosh Island",5,"1",5,0.611111111111111,"keep"
"50",2016,"Tatoosh Island",5,"1",6,0.584444444444445,"keep"
"51",2016,"Tatoosh Island",10,"1",1,0.646666666666667,"keep"
"52",2016,"Tatoosh Island",10,"1",2,0.711058263971463,"keep"
"53",2017,"Cape Alava",5,"1",1,0.572664359861592,"keep"
"54",2017,"Cape Alava",5,"1",2,0.293333333333333,"keep"
