"","SITE","Functional_Group","MEAN","SD","N","SE",".groups"
"1","Cape Alava","Brown Algae",0.0939750253549696,0.291793968348392,64,0.036474246043549,"keep"
"2","Cape Alava","Diatom Layer",0.0015625,0.0394975770617642,64,0.00493719713272052,"keep"
"3","Cape Alava","Eelgrass_Surfgrass",0.000538793103448276,0.0232056632191358,64,0.00290070790239198,"keep"
"4","Cape Alava","Encrusting Species",0.115107336037863,0.319151433066076,64,0.0398939291332595,"keep"
"5","Cape Alava","Green algae",0,0,64,0,"keep"
"6","Cape Alava","Mobile Invertebrate",0.000538793103448276,0.0232056632191358,64,0.00290070790239198,"keep"
"7","Cape Alava","Non-living Substrate",0.0498161764705882,0.217564990364809,64,0.0271956237956011,"keep"
"8","Cape Alava","Non-mobile Invertebrate",0.0941662440838404,0.292059861259611,64,0.0365074826574513,"keep"
"9","Cape Alava","Red Algae",0.644295131845842,0.478726346596457,64,0.0598407933245571,"keep"
"10","Cape Johnson","Brown Algae",0.0419354838709677,0.200441759779432,58,0.0263192924727626,"keep"
"11","Cape Johnson","Diatom Layer",0.0028735632183908,0.0535285517534401,58,0.00702864318689127,"keep"
"12","Cape Johnson","Eelgrass_Surfgrass",0.000574712643678161,0.0239662752436702,58,0.00314692611118061,"keep"
"13","Cape Johnson","Encrusting Species",0.21514645902855,0.410923910470085,58,0.0539569528605949,"keep"
"14","Cape Johnson","Green algae",0,0,58,0,"keep"
"15","Cape Johnson","Mobile Invertebrate",0,0,58,0,"keep"
"16","Cape Johnson","Non-living Substrate",0.102150537634409,0.302846174311993,58,0.0397656508541215,"keep"
"17","Cape Johnson","Non-mobile Invertebrate",0.0281238413051539,0.165326618713976,58,0.0217084485600916,"keep"
"18","Cape Johnson","Red Algae",0.609195402298851,0.487930696018187,58,0.0640684391769097,"keep"
"19","Destruction Island","Brown Algae",0.163693408397842,0.36999713031987,49,0.0528567329028386,"keep"
"20","Destruction Island","Diatom Layer",0,0,49,0,"keep"
"21","Destruction Island","Eelgrass_Surfgrass",0.0197278911564626,0.139063659764086,49,0.0198662371091551,"keep"
"22","Destruction Island","Encrusting Species",0.123797794980061,0.329350726336129,49,0.0470501037623042,"keep"
"23","Destruction Island","Green algae",0.00136054421768707,0.036860454922841,49,0.00526577927469157,"keep"
"24","Destruction Island","Mobile Invertebrate",0.00340136054421769,0.0582219141789921,49,0.00831741631128459,"keep"
"25","Destruction Island","Non-living Substrate",0.055824201601823,0.229581924631148,49,0.0327974178044497,"keep"
"26","Destruction Island","Non-mobile Invertebrate",0.109423276699843,0.312169542422242,49,0.0445956489174632,"keep"
"27","Destruction Island","Red Algae",0.522771522402064,0.499481188602226,49,0.0713544555146037,"keep"
"28","Neah Bay","Brown Algae",0.334176626712977,0.471701821993208,56,0.0630338073791291,"keep"
"29","Neah Bay","Diatom Layer",0.0185755336617406,0.135020306661339,56,0.018042847420853,"keep"
"30","Neah Bay","Eelgrass_Surfgrass",0.00714285714285714,0.0842130437325114,56,0.0112534413265882,"keep"
"31","Neah Bay","Encrusting Species",0.102380715912616,0.303148321654329,56,0.0405098984645015,"keep"
"32","Neah Bay","Green algae",0.000595238095238095,0.0243902395816046,56,0.00325928286056061,"keep"
"33","Neah Bay","Mobile Invertebrate",0,0,56,0,"keep"
"34","Neah Bay","Non-living Substrate",0.110151916717744,0.313079018717561,56,0.0418369436795893,"keep"
"35","Neah Bay","Non-mobile Invertebrate",0.0364397232752945,0.187381615541425,56,0.0250399216405789,"keep"
"36","Neah Bay","Red Algae",0.390537388481533,0.487870819663932,56,0.0651944805781075,"keep"
"37","Tatoosh Island","Brown Algae",0.258303954284717,0.437701977932012,50,0.0619004073468981,"keep"
"38","Tatoosh Island","Diatom Layer",0,0,50,0,"keep"
"39","Tatoosh Island","Eelgrass_Surfgrass",0.000666666666666667,0.0258112809101412,50,0.00365026635253435,"keep"
"40","Tatoosh Island","Encrusting Species",0.28338812187834,0.450643200610646,50,0.0637305726094795,"keep"
"41","Tatoosh Island","Green algae",0,0,50,0,"keep"
"42","Tatoosh Island","Mobile Invertebrate",0.00133333333333333,0.0364904858224107,50,0.00516053399476363,"keep"
"43","Tatoosh Island","Non-living Substrate",0.0214267704857249,0.144802154653434,50,0.0204781170971732,"keep"
"44","Tatoosh Island","Non-mobile Invertebrate",0.144714606643547,0.351812861145739,50,0.0497538519649586,"keep"
"45","Tatoosh Island","Red Algae",0.290166546707671,0.453839092498008,50,0.0641825399745781,"keep"
