"","YEAR","SITE","SIDE","ZONE","TRANSECT","DEPTH.FT","Sum","Functional_Group","COUNT","percent_cover"
"1",2016,"Cape Alava","1",5,1,22,30,"Brown Algae",0,0
"2",2016,"Cape Alava","1",5,2,16,30,"Brown Algae",2,0.0666666666666667
"3",2016,"Cape Alava","1",5,3,19,30,"Brown Algae",2,0.0666666666666667
"4",2016,"Cape Alava","1",5,4,20,30,"Brown Algae",2,0.0666666666666667
"5",2016,"Cape Alava","1",5,5,18,30,"Brown Algae",0,0
"6",2016,"Cape Alava","1",5,6,17,30,"Brown Algae",1,0.0333333333333333
"7",2016,"Cape Alava","1",10,1,31,30,"Brown Algae",3,0.1
"8",2016,"Cape Alava","1",10,2,26,30,"Brown Algae",0,0
"9",2016,"Cape Alava","1",10,3,27,30,"Brown Algae",0,0
"10",2016,"Cape Alava","1",10,4,26,30,"Brown Algae",2,0.0666666666666667
"11",2016,"Cape Alava","1",10,5,25,30,"Brown Algae",1,0.0333333333333333
"12",2016,"Cape Alava","1",10,6,24,30,"Brown Algae",0,0
"13",2016,"Cape Johnson","1",5,1,15,30,"Brown Algae",1,0.0333333333333333
"14",2016,"Cape Johnson","1",5,2,15,30,"Brown Algae",8,0.266666666666667
"15",2016,"Cape Johnson","1",5,3,15,30,"Brown Algae",5,0.166666666666667
"16",2016,"Cape Johnson","1",5,4,15,30,"Brown Algae",4,0.133333333333333
"17",2016,"Cape Johnson","1",5,5,15,30,"Brown Algae",2,0.0666666666666667
"18",2016,"Cape Johnson","1",5,6,15,30,"Brown Algae",2,0.0666666666666667
"19",2016,"Cape Johnson","1",10,1,21,30,"Brown Algae",0,0
"20",2016,"Cape Johnson","1",10,2,22,30,"Brown Algae",0,0
"21",2016,"Cape Johnson","1",10,3,22,30,"Brown Algae",0,0
"22",2016,"Cape Johnson","1",10,4,30,30,"Brown Algae",0,0
"23",2016,"Cape Johnson","1",10,5,22,30,"Brown Algae",0,0
"24",2016,"Cape Johnson","1",10,6,20,31,"Brown Algae",1,0.032258064516129
"25",2016,"Destruction Island","1",5,1,15,30,"Brown Algae",15,0.5
"26",2016,"Destruction Island","1",10,1,33,30,"Brown Algae",1,0.0333333333333333
"27",2016,"Destruction Island","1",10,2,33,30,"Brown Algae",0,0
"28",2016,"Destruction Island","1",10,3,33,30,"Brown Algae",1,0.0333333333333333
"29",2016,"Destruction Island","2",5,1,15,40,"Brown Algae",15,0.375
"30",2016,"Destruction Island","2",5,2,15,30,"Brown Algae",2,0.0666666666666667
"31",2016,"Destruction Island","2",5,3,15,30,"Brown Algae",0,0
"32",2016,"Destruction Island","2",10,1,30,29,"Brown Algae",0,0
"33",2016,"Destruction Island","2",10,2,30,30,"Brown Algae",0,0
"34",2016,"Destruction Island","2",10,3,30,30,"Brown Algae",0,0
"35",2016,"Neah Bay","1",5,1,18,30,"Brown Algae",3,0.1
"36",2016,"Neah Bay","1",5,2,20,30,"Brown Algae",7,0.233333333333333
"37",2016,"Neah Bay","1",5,3,15,30,"Brown Algae",15,0.5
"38",2016,"Neah Bay","1",5,4,17,30,"Brown Algae",11,0.366666666666667
"39",2016,"Neah Bay","1",10,1,30,30,"Brown Algae",6,0.2
"40",2016,"Neah Bay","1",10,2,32,30,"Brown Algae",14,0.466666666666667
"41",2016,"Neah Bay","1",10,3,33,31,"Brown Algae",9,0.290322580645161
"42",2016,"Neah Bay","1",10,4,34,30,"Brown Algae",14,0.466666666666667
"43",2016,"Neah Bay","1",10,5,30,30,"Brown Algae",19,0.633333333333333
"44",2016,"Neah Bay","1",10,6,31,30,"Brown Algae",16,0.533333333333333
"45",2016,"Tatoosh Island","1",5,1,15,30,"Brown Algae",2,0.0666666666666667
"46",2016,"Tatoosh Island","1",5,2,16,30,"Brown Algae",7,0.233333333333333
"47",2016,"Tatoosh Island","1",5,3,16,30,"Brown Algae",2,0.0666666666666667
"48",2016,"Tatoosh Island","1",5,4,16,31,"Brown Algae",6,0.193548387096774
"49",2016,"Tatoosh Island","1",5,5,15,30,"Brown Algae",5,0.166666666666667
"50",2016,"Tatoosh Island","1",5,6,15,30,"Brown Algae",7,0.233333333333333
