"","SITE","YEAR","Functional_Group","N","MEAN","SD","SE"
"1","Cape Alava",2016,"Brown Algae",12,0.0361111111111111,0.646285683877637,0.186566606780078
"2","Cape Alava",2016,"Diatom Layer",12,0.00833333333333333,0.314907393794853,0.0909059342886309
"3","Cape Alava",2016,"Eelgrass_Surfgrass",12,0,0,0
"4","Cape Alava",2016,"Encrusting Species",12,0.172222222222222,1.30795288169748,0.377573474167693
"5","Cape Alava",2016,"Green algae",12,0,0,0
"6","Cape Alava",2016,"Mobile Invertebrate",12,0,0,0
"7","Cape Alava",2016,"Non-living Substrate",12,0.0944444444444444,1.01306282939228,0.292446048627819
"8","Cape Alava",2016,"Non-mobile Invertebrate",12,0.0277777777777778,0.569275042553311,0.164335549530545
"9","Cape Alava",2016,"Red Algae",12,0.661111111111111,1.63967024688457,0.473332029210514
"10","Cape Alava",2017,"Brown Algae",20,0.0673867478025693,1.12112241992712,0.250690594205611
"11","Cape Alava",2017,"Diatom Layer",20,0,0,0
"12","Cape Alava",2017,"Eelgrass_Surfgrass",20,0.00172413793103448,0.185535186928477,0.0414869290190206
"13","Cape Alava",2017,"Encrusting Species",20,0.0879411764705882,1.26655063816302,0.283209332387824
"14","Cape Alava",2017,"Green algae",20,0,0,0
"15","Cape Alava",2017,"Mobile Invertebrate",20,0.00172413793103448,0.185535186928477,0.0414869290190206
"16","Cape Alava",2017,"Non-living Substrate",20,0.056078431372549,1.02891827573761,0.230073120784118
"17","Cape Alava",2017,"Non-mobile Invertebrate",20,0.141274509803922,1.55766506466302,0.348304497076313
"18","Cape Alava",2017,"Red Algae",20,0.643870858688303,2.14150029661586,0.478854023706902
"19","Cape Alava",2018,"Brown Algae",16,0.1625,1.47563545633737,0.368908864084343
"20","Cape Alava",2018,"Diatom Layer",16,0,0,0
"21","Cape Alava",2018,"Eelgrass_Surfgrass",16,0,0,0
"22","Cape Alava",2018,"Encrusting Species",16,0.116666666666667,1.28409068561721,0.321022671404304
"23","Cape Alava",2018,"Green algae",16,0,0,0
"24","Cape Alava",2018,"Mobile Invertebrate",16,0,0,0
"25","Cape Alava",2018,"Non-living Substrate",16,0.03125,0.695970545353753,0.173992636338438
"26","Cape Alava",2018,"Non-mobile Invertebrate",16,0.122916666666667,1.31336611634211,0.328341529085527
"27","Cape Alava",2018,"Red Algae",16,0.566666666666667,1.98214249964247,0.495535624910617
"28","Cape Alava",2019,"Brown Algae",16,0.102083333333333,1.21103147036822,0.302757867592056
"29","Cape Alava",2019,"Diatom Layer",16,0,0,0
"30","Cape Alava",2019,"Eelgrass_Surfgrass",16,0,0,0
"31","Cape Alava",2019,"Encrusting Species",16,0.104669540229885,1.22450857132451,0.306127142831128
"32","Cape Alava",2019,"Green algae",16,0,0,0
"33","Cape Alava",2019,"Mobile Invertebrate",16,0,0,0
"34","Cape Alava",2019,"Non-living Substrate",16,0.0270833333333333,0.649305184194784,0.162326296048696
"35","Cape Alava",2019,"Non-mobile Invertebrate",16,0.0563218390804598,0.922168657225387,0.230542164306347
"36","Cape Alava",2019,"Red Algae",16,0.709841954022989,1.81534064828313,0.453835162070783
"37","Cape Johnson",2016,"Brown Algae",12,0.0637992831541219,0.846609246038398,0.244395038049348
"38","Cape Johnson",2016,"Diatom Layer",12,0.0138888888888889,0.40540331998129,0.117029857960783
"39","Cape Johnson",2016,"Eelgrass_Surfgrass",12,0,0,0
"40","Cape Johnson",2016,"Encrusting Species",12,0.171594982078853,1.30606344809528,0.377028041668271
"41","Cape Johnson",2016,"Green algae",12,0,0,0
"42","Cape Johnson",2016,"Mobile Invertebrate",12,0,0,0
"43","Cape Johnson",2016,"Non-living Substrate",12,0.0468637992831541,0.732127723282508,0.211347069059172
"44","Cape Johnson",2016,"Non-mobile Invertebrate",12,0.0138888888888889,0.40540331998129,0.117029857960783
"45","Cape Johnson",2016,"Red Algae",12,0.689964157706093,1.60217459268463,0.462507966187626
"46","Cape Johnson",2017,"Brown Algae",16,0.0375,0.759934207678533,0.189983551919633
"47","Cape Johnson",2017,"Diatom Layer",16,0,0,0
"48","Cape Johnson",2017,"Eelgrass_Surfgrass",16,0,0,0
"49","Cape Johnson",2017,"Encrusting Species",16,0.241666666666667,1.71237327187218,0.428093317968044
"50","Cape Johnson",2017,"Green algae",16,0,0,0
"51","Cape Johnson",2017,"Mobile Invertebrate",16,0,0,0
