year,site,lump,n_obs,dens_weighted,sd_w,dens_averaged,sd_ave,se_w,se_ave
2015,Anderson Point,bivalve,5,0.015151515151515152,0.21427478217774168,0.1111111111111111,0.43033148291193524,0.09582659576267816,0.19245008972987526
2015,Anderson Point,blood_star,3,0.25,0.28867513459481287,0.25,0.40824829046386296,0.16666666666666666,0.2357022603955158
2015,Anderson Point,Cal_cuc,2,0,0,0,0,0,0
2015,Anderson Point,chiton,4,0,0,0,0,0,0
2015,Anderson Point,crabs,4,0.015873015873015872,0.2839451399999733,0.16666666666666666,0.9428090415820634,0.14197256999998664,0.4714045207910317
2015,Anderson Point,green_urchin,2,0,0,0,0,0,0
2015,Anderson Point,kelp_crab,2,0,0,0,0,0,0
2015,Anderson Point,large_anemone,6,0.0040650406504065045,0.12595067792544445,0.05555555555555555,0.4714045207910317,0.05141914894582731,0.19245008972987526
2015,Anderson Point,large_nudibranch,2,0.16666666666666666,0,0.16666666666666666,0,0,0
2015,Anderson Point,large_sea_star,4,0,0,0,0,0,0
2015,Anderson Point,large_seastar,2,0,0,0,0,0,0
2015,Anderson Point,leather_star,6,0.3333333333333333,0,0.3333333333333333,0,0,0
2015,Anderson Point,med_nudibranch,4,0,0,0,0,0,0
2015,Anderson Point,med_sea_star,2,0,0,0,0,0,0
2015,Anderson Point,orange_cucumber,3,2.5833333333333335,0.2886751345948128,2.583333333333333,0.40824829046386296,0.16666666666666663,0.2357022603955158
2015,Anderson Point,P_ochraceous,2,0,0,0,0,0,0
2015,Anderson Point,purple_urchin,2,0.16666666666666666,0,0.16666666666666666,0,0,0
2015,Anderson Point,sea_cucumber,2,0,0,0,0,0,0
2015,Anderson Point,shelled_gastropod,6,0,0,0,0,0,0
2015,Anderson Point,small_anemone,2,0,0,0,0,0,0
2015,Anderson Point,tunicate,6,1.5,1.8856180831641265,1.5,2.309401076758503,0.7698003589195009,0.9428090415820634
2015,Cape Alava,bivalve,4,0.007936507936507936,0.14197256999998664,0.08333333333333333,0.4714045207910317,0.07098628499999332,0.23570226039551584
2015,Cape Alava,blood_star,4,0.2727272727272727,0.9649505047327671,0.3055555555555555,1.250925583244189,0.48247525236638356,0.6254627916220945
2015,Cape Alava,Cal_cuc,2,0,0,0,0,0,0
2015,Cape Alava,chiton,4,0,0,0,0,0,0
2015,Cape Alava,crabs,4,0.1328125,0.12103072956898178,0.1875,0.3535533905932738,0.06051536478449089,0.1767766952966369
2015,Cape Alava,green_urchin,2,0,0,0,0,0,0
2015,Cape Alava,kelp_crab,2,0,0,0,0,0,0
2015,Cape Alava,large_anemone,6,0,0,0,0,0,0
2015,Cape Alava,large_nudibranch,4,0.42857142857142855,0.7468755781599105,0.4583333333333333,1.0671873729054746,0.37343778907995523,0.5335936864527373
2015,Cape Alava,large_sea_star,4,0.007936507936507936,0.14197256999998664,0.08333333333333333,0.4714045207910317,0.07098628499999332,0.23570226039551584
2015,Cape Alava,large_seastar,2,0,0,0,0,0,0
2015,Cape Alava,leather_star,5,0.4935064935064935,0.5594725206131126,0.5138888888888888,0.7978559231302819,0.2502037175268144,0.3568120160740314
2015,Cape Alava,med_nudibranch,4,0.007936507936507936,0.14197256999998664,0.08333333333333333,0.4714045207910317,0.07098628499999332,0.23570226039551584
2015,Cape Alava,med_sea_star,2,0,0,0,0,0,0
2015,Cape Alava,orange_cucumber,2,2,0,2,0,0,0
2015,Cape Alava,P_ochraceous,2,0.16666666666666666,0,0.16666666666666666,0,0,0
2015,Cape Alava,purple_urchin,2,0,0,0,0,0,0
2015,Cape Alava,sea_cucumber,2,0,0,0,0,0,0
2015,Cape Alava,shelled_gastropod,6,0,0,0,0,0,0
2015,Cape Alava,small_anemone,2,0,0,0,0,0,0
2015,Cape Alava,tunicate,2,1.625,0,1.625,0,0,0
2015,Cape Johnson,bivalve,4,0,0,0,0,0,0
2015,Cape Johnson,blood_star,2,0,0,0,0,0,0
2015,Cape Johnson,Cal_cuc,2,0,0,0,0,0,0
2015,Cape Johnson,chiton,4,0,0,0,0,0,0
2015,Cape Johnson,crabs,4,0,0,0,0,0,0
2015,Cape Johnson,green_urchin,2,0,0,0,0,0,0
2015,Cape Johnson,kelp_crab,2,0,0,0,0,0,0
2015,Cape Johnson,large_anemone,6,0.0040650406504065045,0.12595067792544445,0.05555555555555555,0.4714045207910317,0.05141914894582731,0.19245008972987526
2015,Cape Johnson,large_nudibranch,2,0,0,0,0,0,0
2015,Cape Johnson,large_sea_star,4,0,0,0,0,0,0
2015,Cape Johnson,large_seastar,2,0,0,0,0,0,0
2015,Cape Johnson,leather_star,2,0.3333333333333333,0,0.3333333333333333,0,0,0
2015,Cape Johnson,med_nudibranch,4,0,0,0,0,0,0
2015,Cape Johnson,med_sea_star,2,0,0,0,0,0,0
2015,Cape Johnson,orange_cucumber,2,0,0,0,0,0,0
2015,Cape Johnson,P_ochraceous,2,0,0,0,0,0,0
2015,Cape Johnson,purple_urchin,2,0,0,0,0,0,0
2015,Cape Johnson,sea_cucumber,2,0,0,0,0,0,0
2015,Cape Johnson,shelled_gastropod,6,0.0040650406504065045,0.12595067792544445,0.05555555555555555,0.4714045207910317,0.05141914894582731,0.19245008972987526
2015,Cape Johnson,small_anemone,2,0,0,0,0,0,0
2015,Cape Johnson,tunicate,2,0.5,0,0.5,0,0,0
2015,Chibadehl Rocks,bivalve,4,0,0,0,0,0,0
2015,Chibadehl Rocks,blood_star,3,0.3333333333333333,0.5773502691896257,0.3333333333333333,0.8164965809277259,0.3333333333333333,0.4714045207910316
2015,Chibadehl Rocks,Cal_cuc,2,0,0,0,0,0,0
2015,Chibadehl Rocks,chiton,4,0,0,0,0,0,0
2015,Chibadehl Rocks,crabs,4,0.007936507936507936,0.14197256999998664,0.08333333333333333,0.4714045207910317,0.07098628499999332,0.23570226039551584
2015,Chibadehl Rocks,green_urchin,2,1,0,1,0,0,0
2015,Chibadehl Rocks,kelp_crab,2,0,0,0,0,0,0
2015,Chibadehl Rocks,large_anemone,9,0.019690040650406505,0.3945013275070422,0.2222222222222222,0.9660917830792958,0.1315004425023474,0.3220305943597653
2015,Chibadehl Rocks,large_nudibranch,2,0,0,0,0,0,0
2015,Chibadehl Rocks,large_sea_star,4,0,0,0,0,0,0
2015,Chibadehl Rocks,large_seastar,2,0,0,0,0,0,0
2015,Chibadehl Rocks,leather_star,2,0,0,0,0,0,0
2015,Chibadehl Rocks,med_nudibranch,4,0,0,0,0,0,0
2015,Chibadehl Rocks,med_sea_star,2,0,0,0,0,0,0
2015,Chibadehl Rocks,orange_cucumber,2,0.16666666666666666,0,0.16666666666666666,0,0,0
2015,Chibadehl Rocks,P_ochraceous,2,0,0,0,0,0,0
2015,Chibadehl Rocks,purple_urchin,2,0.16666666666666666,0,0.16666666666666666,0,0,0
2015,Chibadehl Rocks,sea_cucumber,2,0,0,0,0,0,0
2015,Chibadehl Rocks,shelled_gastropod,7,0.036231884057971016,0.5172918347123114,0.20833333333333331,0.8443713418650368,0.19551793569901507,0.31914236925211265
2015,Chibadehl Rocks,small_anemone,2,0,0,0,0,0,0
2015,Chibadehl Rocks,tunicate,2,0,0,0,0,0,0
2015,Destruction Island,bivalve,4,0,0,0,0,0,0
2015,Destruction Island,blood_star,2,1,0,1,0,0,0
2015,Destruction Island,Cal_cuc,2,0,0,0,0,0,0
