year,site,zone,lump,n_obs,dens_weighted,sd_w,dens_averaged,sd_ave,se_w,se_ave
2015,Anderson Point,5,anemone,8,0.00273224043715847,0.11972077759675762,0.041666666666666664,0.4714045207910317,0.042327686843796904,0.16666666666666666
2015,Anderson Point,5,large_seastar,8,0,0,0,0,0,0
2015,Anderson Point,5,med_seastar,11,0.05162790697674419,0.6324818315426431,0.26666666666666666,0.9249624617007737,0.19070044744942893,0.2788866755113585
2015,Anderson Point,5,mobile_invert,6,0.008130081300813009,0.2519013558508889,0.1111111111111111,0.9428090415820634,0.10283829789165462,0.3849001794597505
2015,Anderson Point,5,mollusk,21,0.0027523121445773378,0.1953954390829019,0.04696969696969697,0.7843159536510239,0.042638780478406225,0.17115177268415682
2015,Anderson Point,5,sea_cucumber,7,0.07655826558265583,1.7625091018292744,0.9583333333333333,6.374863832968425,0.6661658238468681,2.409472049133493
2015,Anderson Point,5,tunicate,6,1.5,1.8856180831641265,1.5,2.309401076758503,0.7698003589195009,0.9428090415820634
2015,Anderson Point,5,urchin,4,0.007936507936507936,0.14197256999998664,0.08333333333333333,0.4714045207910317,0.07098628499999332,0.23570226039551584
2015,Cape Alava,5,anemone,8,0,0,0,0,0,0
2015,Cape Alava,5,large_seastar,8,0.007936507936507936,0.2007795339789447,0.08333333333333333,0.5443310539518174,0.07098628499999332,0.19245008972987523
2015,Cape Alava,5,med_seastar,11,0.08196320219220983,1.1100393016372576,0.3611111111111111,1.769010499728068,0.3346894423708113,0.5333767343451914
2015,Cape Alava,5,mobile_invert,6,0.018738140417457305,0.22501975760211426,0.125,0.49999999999999994,0.09186393136165599,0.2041241452319315
2015,Cape Alava,5,mollusk,22,0.008163265306122448,0.4460105914999244,0.11363636363636365,1.5933891203622825,0.0950897776099734,0.3397117018944746
2015,Cape Alava,5,sea_cucumber,6,0.06451612903225806,1.2617811106843837,0.6666666666666667,4.123105625617661,0.5151199813764941,1.6832508230603465
2015,Cape Alava,5,tunicate,2,1.625,0,1.625,0,0,0
2015,Cape Alava,5,urchin,4,0,0,0,0,0,0
2015,Cape Johnson,5,anemone,8,0.00273224043715847,0.11972077759675762,0.041666666666666664,0.4714045207910317,0.042327686843796904,0.16666666666666666
2015,Cape Johnson,5,large_seastar,8,0,0,0,0,0,0
2015,Cape Johnson,5,med_seastar,6,0.008130081300813009,0.2519013558508889,0.1111111111111111,0.9428090415820634,0.10283829789165462,0.3849001794597505
2015,Cape Johnson,5,mobile_invert,6,0,0,0,0,0,0
2015,Cape Johnson,5,mollusk,20,9.208103130755065e-4,0.11049723756906077,0.016666666666666666,0.4714045207910317,0.02470793345303635,0.10540925533894598
2015,Cape Johnson,5,sea_cucumber,6,0,0,0,0,0,0
2015,Cape Johnson,5,tunicate,2,0.5,0,0.5,0,0,0
2015,Cape Johnson,5,urchin,4,0,0,0,0,0,0
2015,Chibadehl Rocks,5,anemone,11,0.013370538309498895,0.3629732932509613,0.1845238095238095,1.0446386175466813,0.10944056569391623,0.31497039417435607
2015,Chibadehl Rocks,5,large_seastar,8,0,0,0,0,0,0
2015,Chibadehl Rocks,5,med_seastar,7,0.015873015873015872,0.42205510477169306,0.16666666666666666,1.247219128924647,0.15952183525588715,0.4714045207910316
2015,Chibadehl Rocks,5,mobile_invert,6,0.0040650406504065045,0.12595067792544445,0.05555555555555555,0.4714045207910317,0.05141914894582731,0.19245008972987526
2015,Chibadehl Rocks,5,mollusk,21,0.005112474437627812,0.355863477556615,0.07575757575757576,1.2528754805234914,0.07765577728444796,0.2733998440882415
2015,Chibadehl Rocks,5,sea_cucumber,6,0.0040650406504065045,0.12595067792544445,0.05555555555555555,0.4714045207910317,0.05141914894582731,0.19245008972987526
2015,Chibadehl Rocks,5,tunicate,2,0,0,0,0,0,0
