SITE,Year,Survey,Source,Longitude,Lat.deg,Lat.min,Lon.deg,Lon.min,depth.m,depth.m.simple,n.quad,group,alt.name,PISCO.sp,mean,sd,notes
Neah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 37.877'W ,48,23.143,124,37.877,6,6,16,urchin,,,0.5,2,
Makah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.307'W,48,19.061,124,40.307,6,6,36,urchin,,,0,0,
Anderson Pt.,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.307'W,48,18.387,124,40.307,6,6,32,urchin,,,0,0,
Pt. of the Arches,1995,Quadrat,"Kvitek 1999, Appx B1-95",-,,,,,4.5-6,5,20,urchin,,,0,0,
Cape Alava,1995,Quadrat,"Kvitek 1999, Appx B1-95",-,,,,,3-4.5,4,35,urchin,,,0,0,
Cape Johnson,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 41.037'W,47,58.385,124,41.037,4.5-6,5,31,urchin,,,0,0,
Rock #305,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.201'W,47,57.026,124,40.201,6,6,30,urchin,,,0,0,
Teawhit Head,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 36.324'W,47,52.16,124,36.324,6-horiz,6,30,urchin,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,6-slope,6,14,urchin,,,0.13,0.73,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,12,12,16,urchin,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,18-21,20,32,urchin,,,6.25,12.1,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,6-horiz,6,13,urchin,,,1.23,4.44,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,6-slope,6,27,urchin,,,13.33,15.21,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,12,12,30,urchin,,,35.33,16.21,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 37.877'W,48,23.143,124,37.877,6,6,30,urchin,,,0,0,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 37.877'W,48,23.143,124,37.877,12,12,30,urchin,,,0,0,
Makah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.307'W,48,19.061,124,40.307,6,6,30,urchin,,,0,0,
Anderson Pt.,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.307'W,48,18.387,124,40.307,6,6,30,urchin,,,0,0,
Pt. of the Arches,1999,Quadrat,"Kvitek 1999, Appx B1-99",-,,,,,6,6,30,urchin,,,0,0,
Cape Alava,1999,Quadrat,"Kvitek 1999, Appx B1-99",-,,,,,6,6,30,urchin,,,0,0,
Cape Johnson,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 41.037'W,47,58.385,124,41.037,6,6,30,urchin,,,0,0,
Rock #305,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.201'W,47,57.026,124,40.201,6,6,30,urchin,,,0,0,
Teawhit Head,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 36.324'W,47,52.16,124,36.324,6,6,30,urchin,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,6,6,30,urchin,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,12,12,30,urchin,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,18,18,30,urchin,,,0,0,
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 44.283'W,48,23.428,124,44.283,6,6,28,urchin,,,0,0,
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 44.283'W,48,23.428,124,44.283,12,12,32,urchin,,,0.25,0.98,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,6,6,30,urchin,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,12,12,30,urchin,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,18,18,30,urchin,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,6,6,30,urchin,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,12,12,30,urchin,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,18,18,30,urchin,,,0,0,
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 30.2'W,47,46.3,124,30.2,6,6,30,urchin,,,0,0,
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 30.2'W,47,46.3,124,30.2,12,12,25,urchin,,,0,0,
Destruction Island E,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 28.452'W,47,40.892,124,28.452,6,6,30,urchin,,,0,0,
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 29.148'W,47,40.294,124,29.148,6,6,30,urchin,,,0,0,
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 29.148'W,47,40.294,124,29.148,12,12,30,urchin,,,0,0,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,urchin,,,21.14,9.36,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,urchin,,,12.3,9.93,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,urchin,,,3.33,2.611,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,urchin,,,6.69,3.63,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,urchin,,,4.42,5.022,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,urchin,,,0.49,0.141,
