year,site,zone,classcode,spp,short,n_obs,dens_weighted,sd_w,dens_averaged,sd_ave,se_w,se_ave
2015,Anderson Point,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0,0,0,0,0,0
2015,Anderson Point,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,2,0.06666666666666667,0,0.06666666666666667,0,0,0
2015,Anderson Point,5,OTHER,Other Brown Algae,Other,14,0.03888888888888889,0.6248209620106397,0.06666666666666667,0.8397530501196081,0.1669904262798793,0.22443344307471283
2015,Anderson Point,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,4,0.5916666666666667,0.6936217348894937,0.5916666666666666,0.9809292646374774,0.3468108674447469,0.4904646323187387
2015,Cape Alava,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0,0,0,0,0,0
2015,Cape Alava,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,5,0.3861111111111111,0.5117447762795266,0.38611111111111107,0.6533390022429794,0.22885922137828868,0.2921820842734379
2015,Cape Alava,5,OTHER,Other Brown Algae,Other,13,0.006944444444444444,0.11463172378868525,0.011904761904761906,0.15065992399577505,0.03179311983960999,0.04178554470186727
2015,Cape Alava,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,7,1.1472222222222221,2.0713581755355652,1.1472222222222221,2.412007002016739,0.7828998012296543,0.9116529554118227
2015,Cape Johnson,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,3,2.316666666666667,1.7897858344878401,2.316666666666667,2.5311394008759507,1.0333333333333334,1.4613540144521984
2015,Cape Johnson,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,3,0.625,0.43301270189221946,0.625,0.6123724356957946,0.2500000000000001,0.35355339059327384
2015,Cape Johnson,5,OTHER,Other Brown Algae,Other,12,0.031818181818181815,0.6971014368247569,0.05833333333333333,0.9899494936611664,0.20123585110162415,0.2857738033247041
2015,Cape Johnson,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,3,0.8,1.1547005383792515,0.7999999999999999,1.6329931618554518,0.6666666666666666,0.9428090415820632
2015,Chibadehl Rocks,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0,0,0,0,0,0
2015,Chibadehl Rocks,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,6,0.8566993464052287,11.385096188654423,4.842777777777778,23.300758213700544,4.647946055784811,9.512494707255062
2015,Chibadehl Rocks,5,OTHER,Other Brown Algae,Other,23,0.021825396825396824,1.435780970136145,0.26666666666666666,5.110242981829076,0.2993810277022367,1.0655593210453684
2015,Chibadehl Rocks,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,6,0.3965686274509804,4.943346862267713,2.2616666666666663,9.23911972718902,2.0181129056906952,3.7718548340158704
2015,Destruction Island,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0.15,0,0.15,0,0,0
2015,Destruction Island,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,3,2.6125,0.525,2.525,0.8573214099741125,0.30310889132455354,0.4949747468305834
2015,Destruction Island,5,OTHER,Other Brown Algae,Other,12,0.025084175084175084,0.29604519509991617,0.04166666666666667,0.4071581729227326,0.08546088654161595,0.11753644036984794
2015,Destruction Island,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,2,1.1166666666666667,0,1.1166666666666667,0,0,0
2015,Neah Bay,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,8,4.375,9.460443964212251,4.375,10.923979738782625,3.344772040064913,3.862210075418822
2015,Neah Bay,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,8,2,4.47213595499958,2,5.163977794943222,1.5811388300841895,1.8257418583505536
2015,Neah Bay,5,OTHER,Other Brown Algae,Other,15,0.009868421052631578,0.827614843776916,0.3333333333333333,4.330127018922194,0.2136892338014699,1.118033988749895
2015,Neah Bay,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,12,4.107142857142858,11.811270992106632,5.583333333333334,16.33891061240008,3.409620243382191,4.71663722016721
2015,Point of the Arches,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0,0,0,0,0,0
2015,Point of the Arches,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,6,1.5666666666666669,2.1413045521796255,1.5666666666666669,2.6225517683694592,0.8741839227898199,1.0706522760898127
2015,Point of the Arches,5,OTHER,Other Brown Algae,Other,14,0.12621212121212122,1.3454481981832265,0.19047619047619047,1.6708835542466303,0.3595861563752828,0.44656241379900014
2015,Point of the Arches,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,6,0.7444444444444445,1.6348065917999572,0.7444444444444445,2.002220989024161,0.6674069963413869,0.8174032958999788
2015,Rock 305,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0,0,0,0,0,0
2015,Rock 305,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,4,0.45833333333333337,0.30731814857642953,0.4583333333333333,0.43461349368017654,0.15365907428821476,0.21730674684008827
2015,Rock 305,5,OTHER,Other Brown Algae,Other,13,0.030555555555555555,0.6616244505610769,0.052380952380952375,0.8978516392687413,0.18350160627681938,0.24901924024175723
2015,Rock 305,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,5,1.7374999999999998,1.8275476889962559,1.7374999999999998,2.1102703003977332,0.8173041729436544,0.9437415685176466
2015,Tatoosh Island,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0,0,0,0,0,0
2015,Tatoosh Island,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,12,3.21,8.197938765323878,2.9100694444444444,11.938227871934018,2.366541076479905,3.4462695377540995
2015,Tatoosh Island,5,OTHER,Other Brown Algae,Other,12,0.0189873417721519,0.569620253164557,0.0625,1.0606601717798212,0.16443520325020988,0.30618621784789724
2015,Tatoosh Island,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,12,2.5300000000000002,8.838257746863915,4.4006944444444445,20.94734304286717,2.5513852446595884,6.046977072303398
2015,Teahwhit Head,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0,0,0,0,0,0
2015,Teahwhit Head,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,3,0.15833333333333333,0.2598076211353315,0.15833333333333333,0.3674234614174766,0.14999999999999997,0.2121320343559642
2015,Teahwhit Head,5,OTHER,Other Brown Algae,Other,13,0.11106060606060607,1.6548343903557639,0.1765873015873016,2.140910403192379,0.4589684805252998,0.5937817103757235
2015,Teahwhit Head,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,3,0.5583333333333333,1.0103629710818454,0.5583333333333333,1.4288690166235207,0.5833333333333335,0.8249579113843056
2016,Cape Alava,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,9,0,0,0,0,0,0
2016,Cape Alava,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,9,1.375,3.694590640382233,1.375,4.524930938699507,1.2315302134607442,1.5083103128998356
2016,Cape Alava,5,OTHER,Other Brown Algae,Other,90,0.01611111111111111,0.6965988802747245,0.01611111111111111,0.7085074160661198,0.0734279692397023,0.07468323912965046
2016,Cape Alava,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,9,1.0777777777777777,1.0547511554864493,1.0777777777777777,1.2918010682763814,0.3515837184954831,0.43060035609212716
2016,Cape Alava,10,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,15,0,0,0,0,0,0
2016,Cape Alava,10,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,15,0.925531914893617,16.744083975115018,1.5049019607843137,21.689872343647785,4.32330389220793,5.600300957887513
2016,Cape Alava,10,OTHER,Other Brown Algae,Other,150,0.012333333333333333,1.1660117209245082,0.012333333333333333,1.185944989129504,0.09520445834565149,0.09683200287926093
2016,Cape Alava,10,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,15,0.5325429553264605,2.907145798979256,0.5365567765567766,3.552666907654636,0.7506218176295675,0.9172946511979072
2016,Cape Johnson,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,9,2.316666666666667,10.503912961368254,2.408333333333333,13.654669530969983,3.5013043204560845,4.551556510323327
2016,Cape Johnson,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,9,0.14666666666666667,0.30099833886584826,0.14444444444444446,0.37749172176353746,0.10033277962194942,0.12583057392117916
2016,Cape Johnson,5,OTHER,Other Brown Algae,Other,90,0.04316980286738351,1.8021847773943016,0.03638888888888889,1.7355747830578223,0.18996695536831745,0.18294564546717776
2016,Cape Johnson,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,9,1.0394444444444444,3.009667755749794,1.0222222222222221,3.5864327680858596,1.0032225852499315,1.1954775893619531
2016,Cape Johnson,10,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,4,0,0,0,0,0,0
2016,Cape Johnson,10,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,4,0,0,0,0,0,0
2016,Cape Johnson,10,OTHER,Other Brown Algae,Other,40,0.017857142857142856,0.4584801867394632,0.0075,0.341384255460827,0.07249208260780156,0.05397759022884941
2016,Cape Johnson,10,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,4,0.09166666666666666,0,0.09166666666666666,0,0,0
2016,Destruction Island,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,6,0,0,0,0,0,0
2016,Destruction Island,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,6,0.925,3.6505707316345295,0.925,4.471017781221631,1.4903392604072105,1.825285365817265
2016,Destruction Island,5,OTHER,Other Brown Algae,Other,60,0.12333333333333334,4.0286060451062555,0.12333333333333334,4.097476094479086,0.5200908040375685,0.528981889180017
2016,Destruction Island,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,6,0.15,0.5715476066494082,0.15,0.7,0.23333333333333334,0.28577380332470415
2016,Destruction Island,10,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,6,0,0,0,0,0,0
2016,Destruction Island,10,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,6,0.09999999999999999,0.35590260840104365,0.09999999999999999,0.43588989435406733,0.14529663145135577,0.17795130420052185
2016,Destruction Island,10,OTHER,Other Brown Algae,Other,60,0.02333333333333333,1.431549277298317,0.023333333333333334,1.4560219778561037,0.18481221700838815,0.1879716290649558
2016,Destruction Island,10,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,6,0.1,0.6928203230275509,0.09999999999999999,0.8485281374238571,0.28284271247461906,0.3464101615137755
2016,Neah Bay,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,15,0.4848763250883392,4.478521531399877,0.4971485943775101,5.554097789017017,1.156349287116204,1.434061882671356
2016,Neah Bay,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,15,0.039999999999999994,0.752772652709081,0.04,0.9219544457292888,0.19436506316151,0.23804761428476168
2016,Neah Bay,5,OTHER,Other Brown Algae,Other,150,0.05266666666666667,5.076908508137605,0.05266666666666667,5.163699555885129,0.41452784385772373,0.42161430323182253
2016,Neah Bay,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,15,2.212751586888299,4.21916955948324,2.311569432820032,5.7358832154245025,1.0893848959135914,1.480998677941983
2016,Neah Bay,10,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,15,0.14333333333333334,1.4433756729740645,0.1433333333333333,1.7677669529663689,0.37267799624996495,0.45643546458763845
2016,Neah Bay,10,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,15,0.9510267183796595,2.8540785124989427,0.9631611129758375,3.571852131592002,0.7369199031784561,0.9222482547180857
2016,Neah Bay,10,OTHER,Other Brown Algae,Other,150,0.06066666666666667,4.0793177534158005,0.06066666666666667,4.149054732395536,0.3330748998181774,0.33876890030829565
2016,Neah Bay,10,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,15,1.1441997306536829,3.4447559280819764,1.190107093476244,4.38913665055592,0.8894321560807179,1.133270210122112
2016,Tatoosh Island,5,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,15,0,0,0,0,0,0
2016,Tatoosh Island,5,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,15,2.207493315441387,13.429144706606165,2.9060293334038496,22.15007495981911,3.4673902534996772,5.719124762441689
2016,Tatoosh Island,5,OTHER,Other Brown Algae,Other,150,0.14277510384496925,9.784897031113738,0.17091176470588235,13.271529013490651,0.7989334970634224,1.0836158063198233
2016,Tatoosh Island,5,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,15,0.5700000000000001,3.0248966924508345,0.57,3.7047267105685404,0.7810249675906653,0.9565563234854494
2016,Tatoosh Island,10,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,10,0,0,0,0,0,0
2016,Tatoosh Island,10,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,10,2.013467809308217,8.764185323706057,2.647867589265784,14.492137531169472,2.771478745873124,4.582816276290495
