"Year","location","prop.pop","tot.pop"
1977,"Anderson Point",0.000463763610723422,0.00881150860374502
1977,"Cape Alava",0.421015347066745,7.99929159426816
1977,"Cape Johnson",0.0756608452983248,1.43755606066817
1977,"Rock 305",0.149916118329141,2.84840624825368
1977,"Chibadehl Rock",0,0
1977,"Destruction Island",0.315761292272362,5.99946455317488
1977,"Neah Bay",0,0
1977,"Point of the Arches",0.106972735969661,2.03248198342355
1977,"Tatoosh Island",0,0
1977,"Teahwhit Head",0.211863056706254,4.02539807741883
1978,"Anderson Point",9.17865479557189e-05,0.00110143857546863
1978,"Cape Alava",0.0833259542111537,0.999911450533845
1978,"Cape Johnson",0.416006757624042,4.9920810914885
1978,"Rock 305",0.40218595509583,4.82623146114996
1978,"Chibadehl Rock",0,0
1978,"Destruction Island",0.49995537943124,5.99946455317488
1978,"Neah Bay",0,0
1978,"Point of the Arches",0.0211716873273285,0.254060247927943
1978,"Tatoosh Island",0,0
1978,"Teahwhit Head",0.000730209655945835,0.00876251587135002
1981,"Anderson Point",0.000642505836778384,0.0231302101240218
1981,"Cape Alava",0.601923492057221,21.66924571406
1981,"Cape Johnson",0.30553124529327,10.9991248305577
1981,"Rock 305",0.304833166752707,10.9739940030974
1981,"Chibadehl Rock",0,0
1981,"Destruction Island",0.0833258965718734,2.99973227658744
1981,"Neah Bay",0,0
1981,"Point of the Arches",0.148202379462927,5.33528566066538
1981,"Tatoosh Island",0,0
1981,"Teahwhit Head",0.00858686222476232,0.309127040091444
1983,"Anderson Point",0.000403366349395862,0.0209750501685848
1983,"Cape Alava",0.677457133307404,35.227770931985
1983,"Cape Johnson",0.173065537409439,8.99940794529084
1983,"Rock 305",0.172667752334506,8.9787231213943
1983,"Chibadehl Rock",0,0
1983,"Destruction Island",0.134603371385334,6.99937531203736
1983,"Neah Bay",0,0
1983,"Point of the Arches",0.0978128464107046,5.08626801335664
1983,"Tatoosh Island",0,0
1983,"Teahwhit Head",0.00486388699444579,0.252922123711181
1985,"Anderson Point",0.000186397317281539,0.0121158256233
1985,"Cape Alava",0.509930772342826,33.1455002022837
1985,"Cape Johnson",0.199048140934362,12.9381291607335
1985,"Rock 305",0.186691431658019,12.1349430577712
1985,"Chibadehl Rock",0,0
1985,"Destruction Island",0.123065939552305,7.99928607089984
1985,"Neah Bay",0,0
1985,"Point of the Arches",0.0430051956169206,2.79533771509984
1985,"Tatoosh Island",0,0
1985,"Teahwhit Head",0.00177200273256894,0.115180177616981
1987,"Anderson Point",0.0397435594250066,3.93461238307566
1987,"Cape Alava",0.445197859983562,44.0745881383726
1987,"Cape Johnson",0.295818464565726,29.2860279920069
1987,"Rock 305",0.296275070592388,29.3312319886464
1987,"Chibadehl Rock",0,0
1987,"Destruction Island",0.0630152324448209,6.23850801203727
1987,"Neah Bay",0,0
1987,"Point of the Arches",0.166980158250716,16.5310356668209
1987,"Tatoosh Island",5.91737769894962e-12,5.85820392196013e-10
1987,"Teahwhit Head",0.0183975800578638,1.82136042572852
1989,"Anderson Point",0.0812761310234628,16.9054352528803
1989,"Cape Alava",0.526252773298042,109.460576845993
1989,"Cape Johnson",0.0458366333091595,9.53401972830517
1989,"Rock 305",0.0496648798783603,10.3302950146989
1989,"Chibadehl Rock",0,0
1989,"Destruction Island",0.134603371385334,27.9975012481495
1989,"Neah Bay",0,0
1989,"Point of the Arches",0.288228386894981,59.9515044741561
1989,"Tatoosh Island",1.24389387679003e-11,2.58729926372325e-09
1989,"Teahwhit Head",0.0251030730267163,5.22143918955699
1990,"Anderson Point",0.111323153879651,23.4891854686064
