Site,Duplicate,match.2015.name,Latitude,Longitude,Lat.deg,Lat.min,Lon.deg,Lon.min,depth.m,n.quad,urchins.n.per.m2,urchins.n.per.m2.sd,sea.cucs.n.per.m2,sea.cucs.n.per.m2.sd,crabs.n.per.m2,crabs.n.per.m2.sd,chitons.n.per.m2,chitons.n.per.m2.sd,scallops.n.per.m2,scallops.n.per.m2.sd,nudis.n.per.m2,nudis.n.per.m2.sd,limpets.n.per.m2,limpets.n.per.m2.sd,gastropod.n.per.m2,gastropod.n.per.m2.sd,Year,Survey,Source
Neah Bay,,Neah Bay,48. 23.143'N,124. 37.877'W ,48,23.143,124,37.877,6,16,0.5,2,0,0,0,0,0.25,1,0,0,0,0,,,,,1995,Quadrat,"Kvitek 1999, Appx B1-95"
Makah Bay,,,48. 19.061' N,124. 40.307'W,48,19.061,124,40.307,6,36,0,0,0,0,0.11,0.67,0,0,0,0,0,0,,,,,1995,Quadrat,"Kvitek 1999, Appx B1-95"
Anderson Pt.,,Anderson Point,48. 18.387' N,124. 40.307'W,48,18.387,124,40.307,6,32,0,0,0.38,1.56,0,0,0,0,0,0,0.13,0.71,,,,,1995,Quadrat,"Kvitek 1999, Appx B1-95"
Pt. of the Arches,,Point of the Arches,-,-,,,,,4.5-6,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1995,Quadrat,"Kvitek 1999, Appx B1-95"
Cape Alava,,Cape Alava,-,-,,,,,3-4.5,35,0,0,0.23,0.94,0.11,0.68,0,0,0.11,0.68,0,0,,,,,1995,Quadrat,"Kvitek 1999, Appx B1-95"
Cape Johnson,,Cape Johnson,47. 58.385'N,124. 41.037'W,47,58.385,124,41.037,4.5-6,31,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1995,Quadrat,"Kvitek 1999, Appx B1-95"
Rock #305,,Rock 305,47. 57.026'N ,124. 40.201'W,47,57.026,124,40.201,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1995,Quadrat,"Kvitek 1999, Appx B1-95"
Teawhit Head,,Teahwhit Head,47. 52.160'N ,124. 36.324'W,47,52.16,124,36.324,6-horiz,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1995,Quadrat,"Kvitek 1999, Appx B1-95"
Cape Flattery,,,48. 23.304'N,124. 43.382'W,48,23.304,124,43.382,6-slope,14,0.13,0.73,0,0,0,0,0,0,0,0,0,0,,,,,1995,Quadrat,"Kvitek 1999, Appx B1-95"
Cape Flattery,,,48. 23.304'N,124. 43.382'W,48,23.304,124,43.382,12,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1995,Quadrat,"Kvitek 1999, Appx B1-95"
Cape Flattery,,,48. 23.304'N,124. 43.382'W,48,23.304,124,43.382,18-21,32,6.25,12.1,0,0,0,0,0,0,0.13,0.71,0,0,,,,,1995,Quadrat,"Kvitek 1999, Appx B1-95"
Tatoosh Island,,,48. 23.428' N,124. 44.283'W,48,23.428,124,44.283,6-horiz,13,1.23,4.44,0,0,0,0,0,0,0,0,0,0,,,,,1995,Quadrat,"Kvitek 1999, Appx B1-95"
Tatoosh Island,,Tatoosh Island,48. 23.428' N,124. 44.283'W,48,23.428,124,44.283,6-slope,27,13.33,15.21,0,0,0,0,0.15,0.77,0,0,0,0,,,,,1995,Quadrat,"Kvitek 1999, Appx B1-95"
Tatoosh Island,,,48. 23.428' N,124. 44.283'W,48,23.428,124,44.283,12,30,35.33,16.21,0,0,0,0,0,0,0,0,0,0,,,,,1995,Quadrat,"Kvitek 1999, Appx B1-95"
Neah Bay,,Neah Bay,48. 23.143'N,124. 37.877'W,48,23.143,124,37.877,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Neah Bay,,,48. 23.143'N,124. 37.877'W,48,23.143,124,37.877,12,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Makah Bay,,,48. 19.061' N,124. 40.307'W,48,19.061,124,40.307,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Anderson Pt.,,Anderson Point,48. 18.387' N,124. 40.307'W,48,18.387,124,40.307,6,30,0,0,0,0.56,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Pt. of the Arches,,Point of the Arches,-,-,,,,,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Cape Alava,,Cape Alava,-,-,,,,,6,30,0,0,0.27,1.02,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Cape Johnson,,Cape Johnson,47. 58.385'N,124. 41.037'W,47,58.385,124,41.037,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
