SITE,Site,Year,Survey,Source,Lat.deg,Lat.min,Lon.deg,Lon.min,depth.m,depth.m.simple,n.quad,group,alt.name,PISCO.sp,mean,sd,notes
Anderson Pt.,Anderson Pt.,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,18.387,124,40.307,6,6,32,bivalve,,,0,0,
Anderson Pt.,Anderson Pt.,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,18.387,124,40.307,6,6,30,bivalve,,,0,0,
Cape Alava,Cape Alava,1999,Quadrat,"Kvitek 1999, Appx B1-99",,,,,6,6,30,bivalve,,,0,0,
Cape Flattery,Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.304,124,43.382,6-slope,6,14,bivalve,,,0,0,
Cape Flattery,Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.304,124,43.382,12,12,16,bivalve,,,0,0,
Cape Flattery,Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,6,6,30,bivalve,,,0,0,
Cape Flattery,Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,12,12,30,bivalve,,,0,0,
Cape Flattery,Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,18,18,30,bivalve,,,0,0,
Cape Johnson,Cape Johnson,1995,Quadrat,"Kvitek 1999, Appx B1-95",47,58.385,124,41.037,4.5-6,5,31,bivalve,,,0,0,
Cape Johnson,Cape Johnson,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,58.385,124,41.037,6,6,30,bivalve,,,0,0,
Destruction Island E,Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.892,124,28.452,6,6,30,bivalve,,,0,0,
Destruction Island SW,Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.294,124,29.148,6,6,30,bivalve,,,0,0,
Destruction Island SW,Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.294,124,29.148,12,12,30,bivalve,,,0,0,
Makah Bay,Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,4,49,bivalve,scallops,,0,0,
Makah Bay,Makah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,19.061,124,40.307,6,6,36,bivalve,,,0,0,
Makah Bay,Makah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,19.061,124,40.307,6,6,30,bivalve,,,0,0,
Neah Bay,Neah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.143,124,37.877,6,6,16,bivalve,,,0,0,
Neah Bay,Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.143,124,37.877,6,6,30,bivalve,,,0,0,
Neah Bay,Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.143,124,37.877,12,12,30,bivalve,,,0,0,
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,bivalve,scallops,,0,0,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,bivalve,scallops,,0,0,
Perkins Reef,Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,46.3,124,30.2,6,6,30,bivalve,,,0,0,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,bivalve,scallops,,0,0,
Pt. of the Arches,Pt. of the Arches,1995,Quadrat,"Kvitek 1999, Appx B1-95",,,,,4.5-6,5,20,bivalve,,,0,0,
Pt. of the Arches,Pt. of the Arches,1999,Quadrat,"Kvitek 1999, Appx B1-99",,,,,6,6,30,bivalve,,,0,0,
Rock #305,Rock 305,1995,Quadrat,"Kvitek 1999, Appx B1-95",47,57.026,124,40.201,6,6,30,bivalve,,,0,0,
