Site,Date,Observer,Transect,Quadrat,Quadrat.loc,Depth.ft,Species,Count,Size.cm,Percent.cover,Categorical.abundance,Notes,Transect area (inverts),Transect area (fish),Transect area (stipes),"Echinoderm size (TD, TR, BD, BR; T=Total, B=Basal, D=Diameter, R=Radius, L=length)",,,,,,,,,
Anderson Point,8/6/15,CH,1,NA,NA,NA,Dermasterias,1,8,NA,NA,,30,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,NA,NA,NA,Dermasterias,1,10,NA,NA,,30,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,NA,NA,NA,Styela,3,15,NA,NA,,30,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,NA,NA,NA,Styela,4,10,NA,NA,,30,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,NA,NA,NA,Styela,4,10,NA,NA,,30,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,NA,NA,NA,Styela,3,15,NA,NA,,30,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,NA,NA,NA,Montereina nobilis,1,8,NA,NA,,30,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,NA,NA,NA,Henricia leviuscula,1,2,NA,NA,,30,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,NA,NA,NA,Cucumaria,3,NA,NA,NA,,30,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,1,7,20,Foliose red algae,NA,NA,70,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,1,7,20,Rock,NA,NA,10,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,1,7,20,Shell hash,NA,NA,20,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,1,7,20,Coralline encrusting,NA,NA,trace,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,1,7,20,Bryozoan,NA,NA,trace,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,1,7,20,orange cup coral,10,0.5,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,1,7,20,Styela,1,10,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,1,7,20,Anthopleura xanthogrammica,1,10,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,1,7,20,hermit crab,1,1,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,1,7,20,hermit crab,1,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,1,7,20,Petrolisthes cinctipes,1,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,1,7,20,lightbulb tunicate,25,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,2,14,16,Foliose red algae,NA,NA,30,NA,,,,,,,,,,,,,,
