Broad taxonomic category,drop down,Scientific name,common name,taxonomic group,functional group,otter food?,notes
Benthos,Sand,,,,,,
Benthos,Shell hash,,,,,,
Benthos,Rock,,,,,,
Benthos,Rock with barnacles,,,,,,
Benthos,Rock with muck,,,,,,
Benthos,Cobble,,,,,,
Benthos,Gravel,,,,,,
Benthos,Mud,,,,,,
Benthos,Kelp holdfast,,,,,,
Benthos,Pavement,,,,,,
Benthos,Bacterial mat,,,,,,
Seastars,Seastar,,,echinoderms,sea stars,,
Seastars,bat star,Patiria miniata,bat star,echinoderms,sea stars,,
Seastars,brittle star,Ophiura sarsi,notched brittle star,ophiurids,brittle star,,
Seastars,Crossaster papposus,Crossaster papposus,common sunstar,echinoderms,sea stars,,
Seastars,Evasterias,Evasterias troschelii,mottled star,echinoderms,sea stars,R,
Seastars,Dermasterias,Dermasterias imbricata,leather star,echinoderms,sea stars,,
Seastars,Henricia leviuscula,Henricia leviuscula,blood star,echinoderms,sea stars,,
Seastars,Leptasterias hexactis,Leptasterias hexactis,six-rayed star,echinoderms,sea stars,,
Seastars,Mediaster aequalis,Mediaster aequalis,vermillion star,echinoderms,sea stars,,
Seastars,Pisaster,Pisaster ochraceus,ochre star,echinoderms,sea stars,R,
Seastars,Pycnopodia helianthoides,Pycnopodia helianthoides,sunflower star,echinoderms,sea stars,R,
Seastars,Solaster stimpsoni,Solaster stimpsoni,striped sun star,echinoderms,sea stars,,
Seastars,Little white seastar,,,echinoderms,sea stars,,
Urchin,Urchin,,,echinoderms,urchins,,
Urchin,green urchin,Strongylocentrotus droebachiensis,green sea urchin,echinoderms,urchins,R,
Urchin,purple urchin,Strongylocentrotus purpuratus,purple sea urchin,echinoderms,urchins,O,
Urchin,red urchin,Mesocentrotus franciscanus,red sea urchin,echinoderms,urchins,C,
Urchin,purple urchin (alt),Mesocentrotus purpuratus,purple sea urchin,echinoderms,urchins,O,
Tunicate,Tunicate,,,,,,
Tunicate,Styela,Styela montereyensis,Monterey stalked tunicate,tunicates,solitary tunicates,,
Tunicate,Metandrocarpa,Metandrocarpa taylori,Taylor's social tunicate,tunicates,social tunicates,,
