Site,Number,Category,ID.numb,common.name
HOGSBACK,1,Quinault,10,Hogsback
SOUTH BEACH CAMPGROUND,2,Quinault,10,South Beach
SOUTH RAFT RIVER,1,Quinault,10,South Raft River
Willoughby Rk.,22,Quinault,10,Willoughby Rock
WILLOUGHBY ROCK,6,Quinault,10,Willoughby Rock
1 MILE W. OF HOH HEAD (IN OPEN WATER),1,Destruction Island,9,Hoh Head
ALEXANDER ISLAND,6,Destruction Island,9,Alexander Island
BROWNS POINT,4,Destruction Island,9,Browns Point
DESTRUCTION I.,1,Destruction Island,9,Destruction Island
DESTRUCTION I.  EAST END,1,Destruction Island,9,Destruction Island
DESTRUCTION I.1,4,Destruction Island,9,Destruction Island
Destruction Is.,22,Destruction Island,9,Destruction Island
DESTRUCTION ISLAND,3,Destruction Island,9,Destruction Island
DESTRUCTION ISLAND WEST END,1,Destruction Island,9,Destruction Island
Diamond Rock,22,Destruction Island,9,Diamond Rock
DIAMOND ROCK,1,Destruction Island,9,Diamond Rock
DIAMOND ROCK2,2,Destruction Island,9,Diamond Rock
Goodman Creek,22,Destruction Island,9,Goodman Creek
GOODMAN CREEK,5,Destruction Island,9,Goodman Creek
HOH HEAD,6,Destruction Island,9,Hoh Head
Hoh R,1,Destruction Island,9,Hoh Head
Hoh R/Perkins R,21,Destruction Island,9,Hoh Head
HOH RIVER MOUTH,5,Destruction Island,9,Hoh River Mouth
KALALOCH,4,Destruction Island,9,Kalaloch
KALALOCH/BROWNS PT.,2,Destruction Island,9,Kalaloch and Browns Point
MIDDLE Rk/DIAMOND ROCK,6,Destruction Island,9,Diamond Rock
N. OF HOH HEAD,1,Destruction Island,9,North Hoh Head
NORTH BROWN PT.,2,Destruction Island,9,North Brown Point
North Rock,1,Destruction Island,9,North Rock
NORTH ROCK,2,Destruction Island,9,North Rock
NORTH ROCK1,2,Destruction Island,9,North Rock
NORTH STEAMBOAT CREEK,2,Destruction Island,9,North Steamboat Creek
PERKINS REEF,1,Destruction Island,9,Perkins Reef
Perkins Reef (Rock 443),1,Destruction Island,9,Perkins Reef
PERKINS REEF (ROCK 443),4,Destruction Island,9,Perkins Reef
"PERKINS REEF (ROCK 443)1,2",2,Destruction Island,9,Perkins Reef
PERKINS REEF (ROCKS 443),2,Destruction Island,9,Perkins Reef
Quillayute Needles,22,Destruction Island,9,Quilleute Needles
QUILLEUTE NEEDLES,1,Destruction Island,9,Quilleute Needles
QUILLLAYUTE NEEDLES,2,Destruction Island,9,Quilleute Needles
ROCK 443 COMPLEX,1,Destruction Island,9,Perkins Reef
RUBY BEACH,2,Destruction Island,9,Ruby Beach
GIANTS GRAVEYARD*,1,Teahwhit Head,8,Giants Graveyard
Giants Graveyard,22,Teahwhit Head,8,Giants Graveyard
GIANTS GRAVEYARD,6,Teahwhit Head,8,Giants Graveyard
GIANTS GRAVEYARD1,2,Teahwhit Head,8,Giants Graveyard
