Year,Site,Region,Count.Independent,Count.Pups,Count.Total,Site code for analysis,Notes
1977,Makah Bay/Waatch Pt.,North,NA,NA,0,AP,
1977,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1978,Makah Bay/Waatch Pt.,North,NA,NA,0,AP,
1978,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1981,Makah Bay/Waatch Pt.,North,NA,NA,0,AP,
1981,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1983,Makah Bay/Waatch Pt.,North,NA,NA,0,AP,
1983,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1985,Makah Bay/Waatch Pt.,North,NA,NA,0,AP,
1985,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1987,Makah Bay/Waatch Pt.,North,NA,NA,0,AP,
1987,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1989,Makah Bay/Waatch Pt.,North,NA,NA,0,AP,
1989,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1990,Makah Bay/Waatch Pt.,North,NA,NA,1,AP,
1990,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1991,Makah Bay/Waatch Pt.,North,NA,NA,65,AP,
1991,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1992,Makah Bay/Waatch Pt.,North,NA,NA,60,AP,
1992,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1993,Makah Bay/Waatch Pt.,North,NA,NA,80,AP,
1993,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1994,Makah Bay/Waatch Pt.,North,NA,NA,48,AP,
1994,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1995,Makah Bay/Waatch Pt.,North,NA,NA,60,AP,
1995,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1996,Makah Bay/Waatch Pt.,North,NA,NA,40,AP,
1996,Portage Head/Anderson Pt,North,NA,NA,1,AP,
1997,Makah Bay/Waatch Pt.,North,NA,NA,18,AP,
1997,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1998,Makah Bay/Waatch Pt.,North,NA,NA,11,AP,
1998,Portage Head/Anderson Pt,North,NA,NA,0,AP,
1999,Makah Bay/Waatch Pt.,North,NA,NA,5,AP,
1999,Portage Head/Anderson Pt,North,NA,NA,0,AP,
2000,Makah Bay/Waatch Pt.,North,NA,NA,5,AP,
2000,Portage Head/Anderson Pt,North,NA,NA,0,AP,
2001,Makah Bay/Waatch Pt.,North,NA,NA,5,AP,
2001,Portage Head/Anderson Pt,North,NA,NA,0,AP,
2002,Makah Bay/Waatch Pt.,North,NA,NA,NA,AP,discrepancy between 2004 recovery report and 2002 and 2003 reports
2002,Portage Head/Anderson Pt,North,NA,NA,0,AP,
2003,Anderson Pt,North,5,1,6,AP,
2003,Makah Bay/Waatch Pt.,North,2,0,2,AP,
2003,S. Portage Head,North,1,0,1,AP,
2003,Shi Shi Beach,North,1,0,1,AP,
2004,Makah Bay/Waatch Pt.,North,2,0,2,AP,ALSO CALLED BAHOBOHOSH PT
2004,Portage Head/Anderson Pt,North,14,0,14,AP,
2005,ANDERSON PT.,North,22,3,25,AP,
2005,BAHOBOHOSH PT.,North,2,0,2,AP,
2005,WAATCH PT.,North,2,0,2,AP,
2006,ANDERSON PT.,North,1,0,1,AP,
2006,BAHOBOHOSH PT.,North,0,0,0,AP,
2006,WAATCH PT.,North,0,0,0,AP,
2007,ANDERSON PT.*,North,17,2,19,AP,
2008,ANDERSON PT.*,North,13,0,13,AP,
2010,ANDERSON POINT*,North,7,0,7,AP,
2011,ANDERSON POINT*,North,6,0,6,AP,
2012,ANDERSON PT.,North,7,0,7,AP,
2012,BAHOBOHOSH PT.,North,0,0,0,AP,
2012,MAKAH BAY,North,0,0,0,AP,
2012,S. PORTAGE HEAD,North,0,0,0,AP,
2012,WAATCH PT.,North,0,0,0,AP,
2013,BAHOBOHOSH POINT,North,1,0,1,AP,
2013,SOUTH OF PORTAGE HEAD,North,1,0,1,AP,
2015,N. OF ANDERSON POINT,North,1,0,1,AP,
1977,Ozette River,Central,NA,NA,0,CA,
1977,Ozette/Cape Alava,Central,NA,NA,8,CA,
1977,S.Ozette Island,Central,NA,NA,0,CA,
1977,W Bodelteh,Central,NA,NA,0,CA,
1978,Ozette River,Central,NA,NA,0,CA,
1978,Ozette/Cape Alava,Central,NA,NA,1,CA,
1978,S.Ozette Island,Central,NA,NA,0,CA,
1978,W Bodelteh,Central,NA,NA,0,CA,
1981,Ozette River,Central,NA,NA,0,CA,
1981,Ozette/Cape Alava,Central,NA,NA,21,CA,
1981,S.Ozette Island,Central,NA,NA,0,CA,
1981,W Bodelteh,Central,NA,NA,0,CA,
1983,Ozette River,Central,NA,NA,0,CA,
1983,Ozette/Cape Alava,Central,NA,NA,19,CA,
1983,S.Ozette Island,Central,NA,NA,15,CA,
1983,W Bodelteh,Central,NA,NA,0,CA,
1985,Ozette River,Central,NA,NA,0,CA,
1985,Ozette/Cape Alava,Central,NA,NA,11,CA,
1985,S.Ozette Island,Central,NA,NA,0,CA,
1985,W Bodelteh,Central,NA,NA,0,CA,
1987,Ozette River,Central,NA,NA,2,CA,
1987,Ozette/Cape Alava,Central,NA,NA,13,CA,
1987,S.Ozette Island,Central,NA,NA,0,CA,
1987,W Bodelteh,Central,NA,NA,0,CA,
1989,Ozette River,Central,NA,NA,0,CA,
1989,Ozette/Cape Alava,Central,NA,NA,33,CA,
1989,S.Ozette Island,Central,NA,NA,0,CA,
1989,W Bodelteh,Central,NA,NA,0,CA,
1990,Ozette River,Central,NA,NA,0,CA,
1990,Ozette/Cape Alava,Central,NA,NA,20,CA,
1990,S.Ozette Island,Central,NA,NA,12,CA,
1990,W Bodelteh,Central,NA,NA,0,CA,
1991,Ozette River,Central,NA,NA,0,CA,
1991,Ozette/Cape Alava,Central,NA,NA,56,CA,
1991,S.Ozette Island,Central,NA,NA,0,CA,
1991,W Bodelteh,Central,NA,NA,0,CA,
1992,Ozette River,Central,NA,NA,0,CA,
1992,Ozette/Cape Alava,Central,NA,NA,38,CA,
1992,S.Ozette Island,Central,NA,NA,0,CA,
1992,W Bodelteh,Central,NA,NA,0,CA,
1993,Ozette River,Central,NA,NA,1,CA,
1993,Ozette/Cape Alava,Central,NA,NA,34,CA,
1993,S.Ozette Island,Central,NA,NA,0,CA,
1993,W Bodelteh,Central,NA,NA,0,CA,
1994,Ozette River,Central,NA,NA,1,CA,
1994,Ozette/Cape Alava,Central,NA,NA,19,CA,
1994,S.Ozette Island,Central,NA,NA,1,CA,
1994,W Bodelteh,Central,NA,NA,0,CA,
1995,Ozette River,Central,NA,NA,3,CA,
1995,Ozette/Cape Alava,Central,NA,NA,58,CA,
1995,S.Ozette Island,Central,NA,NA,1,CA,
1995,W Bodelteh,Central,NA,NA,0,CA,
1996,Ozette River,Central,NA,NA,1,CA,
1996,Ozette/Cape Alava,Central,NA,NA,129,CA,
1996,S.Ozette Island,Central,NA,NA,2,CA,
1996,W Bodelteh,Central,NA,NA,0,CA,
1997,Ozette River,Central,NA,NA,0,CA,
1997,Ozette/Cape Alava,Central,NA,NA,120,CA,
1997,S.Ozette Island,Central,NA,NA,47,CA,
1997,W Bodelteh,Central,NA,NA,0,CA,
1998,Ozette River,Central,NA,NA,0,CA,
1998,Ozette/Cape Alava,Central,NA,NA,143,CA,
1998,S.Ozette Island,Central,NA,NA,0,CA,
1998,W Bodelteh,Central,NA,NA,0,CA,
1999,Ozette River,Central,NA,NA,1,CA,
1999,Ozette/Cape Alava,Central,NA,NA,116,CA,
1999,S.Ozette Island,Central,NA,NA,0,CA,
1999,W Bodelteh,Central,NA,NA,1,CA,
2000,Ozette River,Central,NA,NA,0,CA,
2000,Ozette/Cape Alava,Central,NA,NA,48,CA,
2000,S.Ozette Island,Central,NA,NA,2,CA,
2000,W Bodelteh,Central,NA,NA,2,CA,
2001,Ozette River,Central,NA,NA,0,CA,
2001,Ozette/Cape Alava,Central,53,10,63,CA,
2001,S.Ozette Island,Central,2,0,2,CA,
2001,W Bodelteh,Central,NA,NA,0,CA,
2002,Ozette River,Central,NA,NA,0,CA,
2002,Ozette/Cape Alava,Central,43,13,56,CA,
2002,S.Ozette Island,Central,NA,NA,0,CA,
2002,W Bodelteh,Central,NA,NA,0,CA,
2003,Ozette River,Central,NA,NA,0,CA,
2003,Ozette/Cape Alava,Central,20,3,23,CA,
2003,S.Ozette Island,Central,NA,NA,0,CA,
2003,W Bodelteh,Central,NA,NA,0,CA,
2004,Ozette River,Central,NA,NA,0,CA,
2004,Ozette/Cape Alava,Central,67,10,77,CA,
2004,S.Ozette Island,Central,11,0,11,CA,
2004,W Bodelteh,Central,NA,NA,0,CA,
2005,OZETTE RIVER,Central,0,0,0,CA,
2005,OZETTE/CAPE ALAVA/BODELTEH*1,Central,47,14,61,CA,
2005,SOUTH END OZETTE ISLAND,Central,13,0,13,CA,
2006,OZETTE RIVER,Central,31,3,34,CA,
2006,OZETTE/CAPE ALAVA/BODELTEH*1,Central,47,4,51,CA,
2006,SOUTH END OZETTE ISLAND,Central,6,0,6,CA,
