Map_index,Spname,Spnum,Rdi,Year surveyed,ESP site name,Buffer radius,Polygon.area.m2
16.2,none,0,0.36,1989,Neah Bay,500 m,2216.445
16.2,none,0,0.36,1989,Neah Bay,1000 m,2216.445
25.2,unspecified,9,0.09,1989,Destruction Island SW,500 m,7443.517
21.2,unspecified,9,0.2,1989,Rock 305,500 m,13528.47
21.2,unspecified,9,0.2,1989,Rock 305,500 m,98646.289
21.2,unspecified,9,0.2,1989,Rock 305,500 m,1171.792
21.2,unspecified,9,0.2,1989,Rock 305,500 m,3636.237
21.1,unspecified,9,0.16,1989,Cape Johnson,500 m,1670.685
21.1,unspecified,9,0.16,1989,Cape Johnson,500 m,21912.551
21.1,unspecified,9,0.16,1989,Cape Johnson,500 m,16460.253
21.1,unspecified,9,0.16,1989,Cape Johnson,500 m,9580.43
21.1,unspecified,9,0.16,1989,Cape Johnson,500 m,1746.862
19.1,unspecified,9,0.4,1989,Cape Alava,500 m,120.414
19.1,unspecified,9,0.4,1989,Cape Alava,500 m,322994.886
19.1,unspecified,9,0.4,1989,Cape Alava,500 m,48901.268
19.1,unspecified,9,0.4,1989,Cape Alava,500 m,2198.93
18.1,unspecified,9,0.17,1989,Point of the Arches,500 m,5068.675
18.1,unspecified,9,0.17,1989,Point of the Arches,500 m,41142.236
18.1,unspecified,9,0.17,1989,Point of the Arches,500 m,5908.657
18.1,unspecified,9,0.17,1989,Point of the Arches,500 m,1021.009
17.3,unspecified,9,0.16,1989,Anderson Point,500 m,13517.484
16.3,unspecified,9,0.15,1989,Tatoosh Island,500 m,13906.527
16.3,unspecified,9,0.15,1989,Tatoosh Island,500 m,2091.629
16.2,unspecified,9,0.36,1989,Chibadehl Rocks,500 m,229168.709
16.2,unspecified,9,0.36,1989,Neah Bay,500 m,314492.939
25.2,unspecified,9,0.09,1989,Destruction Island SW,1000 m,2215.966
25.2,unspecified,9,0.09,1989,Destruction Island SW,1000 m,7443.517
21.2,unspecified,9,0.2,1989,Rock 305,1000 m,26133.385
21.2,unspecified,9,0.2,1989,Rock 305,1000 m,38029.818
21.2,unspecified,9,0.2,1989,Rock 305,1000 m,15438.271
21.2,unspecified,9,0.2,1989,Rock 305,1000 m,98646.289
21.2,unspecified,9,0.2,1989,Rock 305,1000 m,1171.792
21.2,unspecified,9,0.2,1989,Rock 305,1000 m,3636.237
21.2,unspecified,9,0.2,1989,Rock 305,1000 m,2807.541
21.1,unspecified,9,0.16,1989,Cape Johnson,1000 m,10213.266
21.1,unspecified,9,0.16,1989,Cape Johnson,1000 m,1670.685
21.1,unspecified,9,0.16,1989,Cape Johnson,1000 m,25518.204
21.1,unspecified,9,0.16,1989,Cape Johnson,1000 m,16460.253
21.1,unspecified,9,0.16,1989,Cape Johnson,1000 m,9580.43
21.1,unspecified,9,0.16,1989,Cape Johnson,1000 m,1746.862
21.1,unspecified,9,0.16,1989,Cape Johnson,1000 m,10465.81
21.1,unspecified,9,0.16,1989,Cape Johnson,1000 m,4990.261
21.1,unspecified,9,0.16,1989,Cape Johnson,1000 m,2959.808
21.1,unspecified,9,0.16,1989,Cape Johnson,1000 m,2203.434
19.1,unspecified,9,0.4,1989,Cape Alava,1000 m,81321.119
19.1,unspecified,9,0.4,1989,Cape Alava,1000 m,842273.958
19.1,unspecified,9,0.4,1989,Cape Alava,1000 m,108623.861
19.1,unspecified,9,0.4,1989,Cape Alava,1000 m,2198.93
18.1,unspecified,9,0.17,1989,Point of the Arches,1000 m,1867.5
18.1,unspecified,9,0.17,1989,Point of the Arches,1000 m,20980.526
18.1,unspecified,9,0.17,1989,Point of the Arches,1000 m,5068.675
18.1,unspecified,9,0.17,1989,Point of the Arches,1000 m,41142.236
18.1,unspecified,9,0.17,1989,Point of the Arches,1000 m,5908.657
18.1,unspecified,9,0.17,1989,Point of the Arches,1000 m,1021.009
18.1,unspecified,9,0.17,1989,Point of the Arches,1000 m,9258.054
17.2,unspecified,9,0.27,1989,Anderson Point,1000 m,18933.618
17.3,unspecified,9,0.16,1989,Anderson Point,1000 m,77129.934
17.2,unspecified,9,0.27,1989,Anderson Point,1000 m,56260.305
17.3,unspecified,9,0.16,1989,Anderson Point,1000 m,43950.968
17.3,unspecified,9,0.16,1989,Anderson Point,1000 m,8731.897
17.3,unspecified,9,0.16,1989,Anderson Point,1000 m,1100.069
17.3,unspecified,9,0.16,1989,Anderson Point,1000 m,12020.07
17.3,unspecified,9,0.16,1989,Anderson Point,1000 m,1514.843
17.2,unspecified,9,0.27,1989,Anderson Point,1000 m,16170.434
17.2,unspecified,9,0.27,1989,Anderson Point,1000 m,2954.428
16.3,unspecified,9,0.15,1989,Tatoosh Island,1000 m,13906.527
16.3,unspecified,9,0.15,1989,Tatoosh Island,1000 m,5097.052
16.3,unspecified,9,0.15,1989,Tatoosh Island,1000 m,2091.629
16.4,unspecified,9,0.25,1989,Tatoosh Island,1000 m,2464.49
16.2,unspecified,9,0.36,1989,Chibadehl Rocks,1000 m,491408.506
16.2,unspecified,9,0.36,1989,Chibadehl Rocks,1000 m,27849.965
16.2,unspecified,9,0.36,1989,Neah Bay,1000 m,583975.367
25.2,Macrocystis integrifolia,1,0.13,1990,Destruction Island SW,500 m,8220.373
21.2,Macrocystis integrifolia,1,0.19,1990,Rock 305,500 m,85862.636
21.1,Macrocystis integrifolia,1,0.18,1990,Cape Johnson,500 m,45636.914
19.1,Macrocystis integrifolia,1,0.44,1990,Cape Alava,500 m,26411.156
19.1,Macrocystis integrifolia,1,0.44,1990,Cape Alava,500 m,7413.278
18.1,Macrocystis integrifolia,1,0.21,1990,Point of the Arches,500 m,14809.278
17.3,Macrocystis integrifolia,1,0.08,1990,Anderson Point,500 m,1250.575
16.2,Macrocystis integrifolia,1,0.5,1990,Chibadehl Rocks,500 m,12480.496
16.2,Macrocystis integrifolia,1,0.5,1990,Neah Bay,500 m,210157.934
25.2,Macrocystis integrifolia,1,0.13,1990,Destruction Island SW,1000 m,23997.064
