PISCO.sp,Sp.name,otter.food,group
ACAHUD,"Acanthodoris hudsoni, white nudibranch with yellow margin",N,nudibranch
ACMMIT,"Acmaea mitra, white cap limpet",R,gastropod
ANTELE,"Anthopleura elegantissima, aggregating anemone",N,anenome
ANTSPP,"Anthopleura spp., unidentified anemone",N,anenome
ANTXAN,"Anthopleura xanthogrammica, giant green anemone",N,anenome
ASTSPP,unknown seastar,O,seastar
BALNUB,"Balanus nubilis, giant acorn barnacle",N,bivalve
CANORE,"Cancer oregonensis, pygmy rock crab",O,crab
CANSPP,"Cancer spp., cancer crab",O,crab
CERFOL,"Ceratostoma foliatum, Leafy hornmouth",C,gastropod
CHITON,misc small chitons,R,chiton
CLAMSP,misc clams,R,bivalve
CRAARB,"Craniella arb, grey tennis ball sponge",N,sponge
CRAGIG,"Crassadoma gigantea, rock scallop",R,bivalve
CROPAP,"Crossaster papposus, sea star",R,seastar
CRYDEC,cryptic decorator crab unid. Spp.,R,crab
CRYSIT,"Cryptolithoides sitchensis, umbrella crab",R,crab
CRYSTE,"Cryptochiton stelleri, gumboot chiton",R,chiton
CUCMIN,"Cucumaria miniata, orange sea cucumber",R,cucumber
DERIMB,"Dermasterias imbricata, leather star",N,seastar
DIOASP,"Diodora aspera, rough keyhole limpet",R,gastropod
DIRALB,"Dirona albolineata, white lined nudibranch",N,nudibranch
DORODH,"Doris odhneri, white knight dorid nudibranch",N,nudibranch
EPIPRO,"Epiactis prolifera, brooding anemona",N,anenome
EUPQUI,"Eupentacta quinquesemita, white sea cucumber",N,cucumber
EVATRO,"Evasterias troschelii, mottled star",R,seastar
FUSORE,"Fusitriton oregonensis, Oregon hairy triton",O,gastropod
HALKAM,"Haliotis kamtschatkana, pinto abalone",O,gastropod
HENLEV,"Henricia leviuscula, blood star",N,seastar
JANFUS,"Janolus fuscus, nudibranch",N,nudibranch
LEPSPP,Lepasterias spp.,N,seastar
LIRDIR,"Lirabuccinum dirum, dire whelk",N,gastropod
LOPMAN,"Lopholithodes mandtii, Puget Sound king crab",O,crab
MEDAEQ,"Mediaster aequalis, red star",N,seastar
MESFRA,"Mesocentrotus franciscanus, red urchin",C,urchin
METGIG,"Metridium giganteum, giant plumose anemone",N,anenome
METSPP,"Metridium spp., white plumed anemones",N,anenome
MIMFOL,"Mimulus foliatus, mimicking crab",R,crab
MYTCAL,"Mytilus californianus, California mussel",C,bivalve
NO_ORG,No organisms present in this sample,N,
NOT_DONE,No data collected,N,
NUCLAM,"Nucella lamellosa, whelk (used generally for rough predatory whelks)",C,gastropod
NUDIBR,unknown nudibranch,N,nudibranch
ORTKOE,"Orthasterias koehleri, rainbow star",R,seastar
PAGSPP,"Pagurus spp, hermit crabs",N,crab
PARCAL,"Parastichopus californicus, california sea cucumber",R,cucumber
PATMIN,"Patiria miniata, bat star",R,seastar
PELNOB,"Peltodoris nobilis, pacific sea lemon",N,nudibranch
PISBRE,"Pisaster brevispinus, short spined star",R,seastar
PISGIG,"Pisaster giganteus, giant spined star",R,seastar
PISOCH,"Pisaster ochraceous, ochre star",R,seastar
PISSPP,Pisaster spp. (unidentified species),R,seastar
PODSPP,Pododesmus spp. Jingle shells,N,bivalve
PUGGRA,"Pugettia gracilis, graceful kelp crab",R,crab
PUGPRO,"Pugettia producta, kelp crab",R,crab
PYCHEL,"Pycnopodia helianthoides, sunflower star",R,seastar
SCYDEC,"Scyra spp., decorator crab, moss crab",R,crab
SOLSTI,"Solaster stimpsoni, orange sun star",R,seastar
STRDRO,"Strongylocentrotus droebachiensis, green urchin",O,urchin
STRPUR,"Strongylocentrotus purpuratus, purple urchin",O,urchin
STYMON,"Styela montereyensis, stalked tunicate",N,tunicate
TEGSPP,"Tegula spp., turban snails",C,gastropod
TRICAT,"Triopha catalinae, sea clown nudibranch",N,nudibranch
UNIDSP,Unidentified mobile invert species,N,
URTCRA,"Urticina crassicornis, Christmas anemone",N,anenome
URTLOF,"Urticina lofotensis, white-spotted rose anemone",N,anenome
URTPIS,"Urticina piscivora, fish-eating anemone",N,anenome
URTSPP,"Urticina spp., Urticina spp.",N,anenome
