Site,Buffer radius,Total land area (m2),Total area (m2),Proportion Land (%),AWM depth (m),m.deeper.than.20,m.20.to.15,m.15.to.10,m.10.to.5,m.5.to.0
Anderson Point,1000 m,21344,3141177,0.68,-11.15,33575.66,455892.97,1558465.12,812756.93,259142.544
Cape Alava,1000 m,127641,3141177,4.06,-10.78,187012.05,479028.91,890389.38,1227737.55,229367.867
Cape Johnson,1000 m,192753,3141177,6.14,-8.25,291193.13,413155.73,417362.89,552761.12,1273951.242
Chibadehl Rocks,1000 m,1030218,3141177,32.80,-19.84,1199107.58,238079.64,281558.07,146180.54,246033.316
Destruction Island SW,1000 m,205760,3141177,6.55,-17.49,1752240.81,423124.91,381191.33,166238.63,212621.236
Neah Bay,1000 m,595370,3141177,18.95,-12.39,939254.67,305207.03,357453.25,300580.22,643311.651
Point of the Arches,1000 m,918240,3141177,29.23,-8.62,636761.51,239150.24,214443.69,333483.41,799098.44
Rock 305,1000 m,652487,3141177,20.77,-7.08,415213.50,247434.15,253581.64,369012.89,1203447.831
Tatoosh Island,1000 m,215588,3141177,6.86,-35.45,2396182.49,203824.66,157241.10,75068.12,93272.39
Teahwhit Head,1000 m,601101,3141177,19.14,-14.99,1380447.91,382541.11,265721.07,199354.28,312011.506
Anderson Point,500 m,5449,785191,0.69,-13.40,0.00,109498.75,665359.79,3538.61,1344.677
Cape Alava,500 m,33911,785191,4.32,-9.04,0.00,13057.80,264605.61,414275.73,59341.581
Cape Johnson,500 m,0,785191,0.00,-6.72,0.00,11649.62,162805.67,278790.34,331945.545
Chibadehl Rocks,500 m,187986,785191,23.94,-11.78,180125.88,117190.73,138190.99,53348.97,108348.914
Destruction Island SW,500 m,116863,785191,14.88,-13.91,310986.34,106902.59,101913.36,55584.59,92941.045
Neah Bay,500 m,3587,785191,0.46,-10.78,129967.77,148310.63,99311.57,138496.94,265517.058
Point of the Arches,500 m,151363,785191,19.28,-4.67,0.00,41358.94,103350.25,138043.53,351075.397
Rock 305,500 m,7551,785191,0.96,-4.40,180.39,29192.59,71472.03,133079.18,543716.221
Tatoosh Island,500 m,169553,785191,21.59,-20.92,399773.08,64016.41,55082.98,31460.20,65306.084
Teahwhit Head,500 m,210320,785191,26.79,-10.83,228137.71,91525.43,59490.35,58963.95,136753.939
