"","site","transect","observer","Transect.area","common.name","species","year","group","Count","area","zone","N.segments"
"1","Anderson Point",1,"CH",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"2","Anderson Point",1,"OS",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"3","Anderson Point",2,"CH",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"4","Anderson Point",2,"OS",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"5","Cape Alava",1,"GW",60,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"6","Cape Alava",1,"KF",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"7","Cape Alava",2,"GW",60,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"8","Cape Alava",2,"KF",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"9","Cape Johnson",1,"GW",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"10","Cape Johnson",1,"KF",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"11","Cape Johnson",2,"GW",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"12","Cape Johnson",2,"KF",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"13","Chibadehl Rocks",1,"CH",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"14","Chibadehl Rocks",1,"OS",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"15","Chibadehl Rocks",2,"CH",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"16","Chibadehl Rocks",2,"OS",10,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"17","Destruction Island SW",1,"KF",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"18","Destruction Island SW",2,"KF",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"19","Neah Bay",1,"CH",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"20","Neah Bay",1,"OS",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"21","Neah Bay",2,"CH",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"22","Neah Bay",2,"OS",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"23","Point of the Arches",1,"GW",60,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",1,NA,5,NA
"24","Point of the Arches",1,"KF",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"25","Point of the Arches",2,"GW",60,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",1,NA,5,NA
"26","Point of the Arches",2,"KF",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"27","Rock 305",1,"GW",60,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"28","Rock 305",1,"KF",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"29","Rock 305",2,"GW",60,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"30","Rock 305",2,"KF",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"31","Tatoosh Island",1,"CH",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"32","Tatoosh Island",1,"OS",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"33","Tatoosh Island",2,"CH",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"34","Tatoosh Island",2,"OS",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"35","Teahwhit Head",1,"GW",60,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
