POSITION a b   	jan	feb	mar	apr	may	jun	jul	aug	sept	oct	nov	dec	
48N 125W 1946         -63  -83  -19  -13   12   -1    7   27   -1   -2  -49  -23
48N 125W 1947         -29  -40   -9    0   21    6   -1   28    4  -96   -1  -78
48N 125W 1948         -67  -10   -8   -7   -3   25   14   11   -2  -14  -48  -61
48N 125W 1949          -2  -32  -13  -15    0   23   18   -1   -3   -2 -219  -20
48N 125W 1950         -17 -201  -40  -24   18    8   12    1   -0  -74  -91 -140
48N 125W 1951         -68  -48   -8    8    2   51   12   37   -2  -30 -165  -18
48N 125W 1952        -162  -35   -7  -35    2   10   32   14   -1  -13 -104 -293
48N 125W 1953        -108  -13  -30   -9   -6    4   10    0   -0  -51 -190  -32
48N 125W 1954         -45  -85   -3    3    4   -2    6   16   -0  -85 -133 -166
48N 125W 1955         -49   -1    2   -5   37   30   20   39   11  -32  -68  -96
48N 125W 1956        -170  -22  -28   28   32    7   50   31    2  -14  -46  -71
48N 125W 1957         -57  -18  -37    8    9   22   29    9    0  -13  -35 -114
48N 125W 1958        -240 -148  -10   -3   26   44   90   36    1  -31  -35 -157
48N 125W 1959         -86  -30  -25   10   19   10   42   43   -0   -4  -34 -109
48N 125W 1960        -127  -32  -29  -36  -11   39   28   21    7  -56  -85 -111
48N 125W 1961        -254 -106  -91   14    1    5   32   13   23   -4  -66  -45
48N 125W 1962         -42  -20   -6  -16   27   12   54    7    2  -35 -121 -106
48N 125W 1963           1 -101   -1   -3    3   43   24   19   -9 -106  -74 -100
48N 125W 1964         -79   11    5   39   35   22   18   15    7  -28  -45  -85
48N 125W 1965         -64   -4   -4   -0   54   58   62   29   36  -77 -117  -67
48N 125W 1966        -101  -25  -70   32   52   11   55   49    0   -9  -44 -166
48N 125W 1967         -67  -27  -12   10   51   85   70   58    3  -97  -32  -51
48N 125W 1968        -107 -175  -55   30   18   30   53   18    8  -76 -132  -87
48N 125W 1969         -61 -116   -6  -41    9   57   62   18   -3  -27  -99 -196
48N 125W 1970         -91  -73   -2   23   18   33   43   36    1  -25  -63 -106
48N 125W 1971         -26  -18  -55  -14   42    6   39   15    1   -7  -56  -20
48N 125W 1972          -8  -83  -32   -5   11   27   15   27    8    5  -84  -66
48N 125W 1973        -151  -56   -7   23    9   11   32   54    0  -11  -26 -104
48N 125W 1974         -31  -46  -31   -3   12   38   19   37    4   -1  -50  -80
48N 125W 1975         -24  -90   -4   17   15   59   45   14   10  -60 -104  -48
48N 125W 1976         -63  -35  -24   -3    6   31    5    9    1   -6  -37  -53
48N 125W 1977         -45  -99   11   -2    9   39   42   24    2  -30  -65  -63
48N 125W 1978        -129 -111   -4   -3   17   28   58    3  -16    0  -16  -10
48N 125W 1979         -73  -82   -2   10   24   83   25   35   -2  -16 -187 -140
48N 125W 1980         -68 -218    3  -15   41   32   63   68    5  -39 -145 -113
48N 125W 1981        -251  -76  -16   -1    8    5   80   24   -6  -10 -123 -102
48N 125W 1982         -24  -73   -1    0   59   74   36   38    7  -44  -56  -96
48N 125W 1983        -165 -197  -63    5   45   24   18   26   12   -3 -127 -126
48N 125W 1984         -42 -143  -29  -14   -1   33   72   27   -0  -21 -121  -28
48N 125W 1985        -107  -20   -9    7   20   49   79   39   12  -21  -19 -155
48N 125W 1986        -327  -69  -52    6    2   26   57   84    9  -17  -25 -194
48N 125W 1987        -203  -66  -36   -6   22   37   39   68    9   -1 -102 -115
