"","YEAR","SITE","MEAN","SD","N","SE",".groups"
"1",2016,"Cape Alava",0.146851851851852,0.167708416549881,12,0.04841324972022,"keep"
"2",2016,"Cape Johnson",0.249074074074074,0.24697761515334,12,0.0712962962962963,"keep"
"3",2016,"Destruction Island",0.392666666666667,0.277421104344645,10,0.0877282560728312,"keep"
"4",2016,"Neah Bay",0.373333333333333,0.15676776354609,10,0.0495743196496359,"keep"
"5",2016,"Tatoosh Island",0.243888888888889,0.212941935929965,8,0.0752863434475348,"keep"
"6",2017,"Cape Alava",0.272777777777778,0.178438647375486,20,0.0399000945344701,"keep"
"7",2017,"Cape Johnson",0.135555555555556,0.14982898344391,16,0.0374572458609774,"keep"
"8",2017,"Destruction Island",0.550555555555556,0.1397945077933,8,0.0494248222166391,"keep"
"9",2017,"Neah Bay",0.376111111111111,0.228237837108718,16,0.0570594592771796,"keep"
"10",2017,"Tatoosh Island",0.465982905982906,0.167924597558955,13,0.0465739036084976,"keep"
"11",2018,"Cape Alava",0.3775,0.134708647655176,16,0.0336771619137941,"keep"
"12",2018,"Cape Johnson",0.102814814814815,0.123509717049961,15,0.0318900718152858,"keep"
"13",2018,"Destruction Island",0.407407407407407,0.217313510094532,15,0.0561101070334666,"keep"
"14",2018,"Neah Bay",0.298222222222222,0.193145685253185,15,0.049870001491827,"keep"
"15",2018,"Tatoosh Island",0.395407407407407,0.194886059356967,15,0.0503193641531682,"keep"
"16",2019,"Cape Alava",0.341111111111111,0.19722519559574,16,0.0493062988989349,"keep"
"17",2019,"Cape Johnson",0.140296296296296,0.145279312970532,15,0.0375109573122218,"keep"
"18",2019,"Destruction Island",0.595833333333333,0.0833175293656051,16,0.0208293823414013,"keep"
"19",2019,"Neah Bay",0.352428720083247,0.186673672677691,15,0.0481989350304049,"keep"
"20",2019,"Tatoosh Island",0.486349206349206,0.184257669087491,14,0.0492449334722113,"keep"
