"year","site","area","zone","Algae","Invert","Error"
2016,"Cape Alava","E",5,3,3,"no"
2016,"Cape Alava","W",5,2,2,"no"
2016,"Cape Alava","W",10,5,5,"no"
2016,"Cape Johnson","N",5,3,3,"no"
2016,"Cape Johnson","S",5,3,3,"no"
2016,"Cape Johnson","S",10,7,7,"no"
2016,"Destruction Island","N",5,1,1,"no"
2016,"Destruction Island","N",10,2,2,"no"
2016,"Destruction Island","S",5,2,2,"no"
2016,"Destruction Island","S",10,2,2,"no"
2016,"Neah Bay","N",5,5,5,"no"
2016,"Neah Bay","N",10,5,5,"no"
2016,"Tatoosh Island","N",5,5,5,"no"
2016,"Tatoosh Island","N",10,4,4,"no"
2017,"Cape Alava","E",5,4,4,"no"
2017,"Cape Alava","E",10,3,3,"no"
2017,"Cape Alava","W",5,4,4,"no"
2017,"Cape Alava","W",10,3,3,"no"
2017,"Cape Johnson","N",5,4,4,"no"
2017,"Cape Johnson","N",10,3,3,"no"
2017,"Cape Johnson","S",5,3,3,"no"
2017,"Cape Johnson","S",10,3,3,"no"
2017,"Destruction Island","N",5,3,3,"no"
2017,"Destruction Island","N",10,3,3,"no"
2017,"Destruction Island","S",5,3,3,"no"
2017,"Destruction Island","S",10,3,3,"no"
2017,"Neah Bay","N",5,3,3,"no"
2017,"Neah Bay","N",10,3,3,"no"
2017,"Neah Bay","S",5,3,3,"no"
2017,"Neah Bay","S",10,3,3,"no"
2017,"Tatoosh Island","N",5,2,2,"no"
2017,"Tatoosh Island","N",10,3,3,"no"
2017,"Tatoosh Island","S",5,3,3,"no"
2017,"Tatoosh Island","S",10,3,3,"no"
2018,"Cape Alava","E",5,3,3,"no"
2018,"Cape Alava","E",10,4,4,"no"
2018,"Cape Alava","W",5,3,3,"no"
2018,"Cape Alava","W",10,2,2,"no"
2018,"Cape Johnson","N",5,3,3,"no"
2018,"Cape Johnson","N",10,3,3,"no"
2018,"Cape Johnson","S",5,3,3,"no"
2018,"Cape Johnson","S",10,3,3,"no"
2018,"Destruction Island","N",5,3,3,"no"
2018,"Destruction Island","N",10,5,5,"no"
2018,"Destruction Island","S",5,3,3,"no"
2018,"Destruction Island","S",10,3,3,"no"
2018,"Neah Bay","N",5,4,4,"no"
2018,"Neah Bay","N",10,4,4,"no"
2018,"Neah Bay","S",5,3,3,"no"
2018,"Neah Bay","S",10,3,3,"no"
2018,"Tatoosh Island","N",5,3,3,"no"
2018,"Tatoosh Island","N",10,3,3,"no"
2018,"Tatoosh Island","S",5,3,3,"no"
2018,"Tatoosh Island","S",10,3,3,"no"
2019,"Cape Alava","E",5,4,4,"no"
2019,"Cape Alava","E",10,4,4,"no"
2019,"Cape Alava","W",5,3,3,"no"
2019,"Cape Alava","W",10,3,3,"no"
2019,"Cape Johnson","N",5,4,4,"no"
2019,"Cape Johnson","N",10,4,4,"no"
2019,"Cape Johnson","S",5,3,3,"no"
2019,"Cape Johnson","S",10,3,3,"no"
2019,"Destruction Island","N",5,3,3,"no"
2019,"Destruction Island","N",10,3,3,"no"
2019,"Destruction Island","S",5,3,3,"no"
2019,"Destruction Island","S",10,2,2,"no"
2019,"Neah Bay","N",5,3,3,"no"
2019,"Neah Bay","N",10,4,4,"no"
2019,"Neah Bay","S",5,4,4,"no"
2019,"Neah Bay","S",10,3,3,"no"
2019,"Tatoosh Island","N",5,2,2,"no"
2019,"Tatoosh Island","N",10,2,2,"no"
2019,"Tatoosh Island","S",5,2,2,"no"
2019,"Tatoosh Island","S",10,3,3,"no"
2021,"Cape Alava","E",5,2,2,"no"
2021,"Cape Alava","E",10,3,3,"no"
2021,"Cape Alava","W",5,3,3,"no"
2021,"Cape Alava","W",10,4,4,"no"
2021,"Cape Johnson","N",5,3,3,"no"
2021,"Cape Johnson","N",10,4,4,"no"
2021,"Cape Johnson","S",5,4,4,"no"
2021,"Cape Johnson","S",10,3,3,"no"
2021,"Destruction Island","N",5,3,3,"no"
2021,"Destruction Island","N",10,3,3,"no"
2021,"Destruction Island","S",5,3,3,"no"
2021,"Destruction Island","S",10,2,2,"no"
2021,"Neah Bay","N",5,4,4,"no"
2021,"Neah Bay","N",10,3,3,"no"
2021,"Neah Bay","S",5,3,3,"no"
2021,"Neah Bay","S",10,3,3,"no"
2021,"Tatoosh Island","N",5,3,3,"no"
2021,"Tatoosh Island","N",10,3,3,"no"
2021,"Tatoosh Island","S",5,3,3,"no"
2021,"Tatoosh Island","S",10,4,4,"no"
