"","YEAR","SITE","ZONE","MEAN","SD","N","SE",".groups"
"1",2016,"Cape Alava",5,0.475555555555556,0.0765425726775548,6,0.0312483744433178,"keep"
"2",2016,"Cape Alava",10,0.547777777777778,0.0750144019094144,6,0.0306245013396876,"keep"
"3",2016,"Cape Johnson",5,0.51,0.0764489662745315,6,0.031210159789307,"keep"
"4",2016,"Cape Johnson",10,0.405574825606043,0.106074868455207,6,0.0433048837080175,"keep"
"5",2016,"Destruction Island",5,0.626423611111111,0.075058479858458,4,0.037529239929229,"keep"
"6",2016,"Destruction Island",10,0.575710573831858,0.174583769012491,6,0.0712735252420875,"keep"
"7",2016,"Neah Bay",5,0.665555555555556,0.0704249301163516,4,0.0352124650581758,"keep"
"8",2016,"Neah Bay",10,0.575433768836474,0.0600087487389462,6,0.0244984690855503,"keep"
"9",2016,"Tatoosh Island",5,0.622912090029676,0.0576978060577605,6,0.0235550306865963,"keep"
"10",2016,"Tatoosh Island",10,0.678862465319065,0.0455317351056545,2,0.0321957986523979,"keep"
"11",2017,"Cape Alava",5,0.498336579135163,0.147934174542754,8,0.052302628994208,"keep"
"12",2017,"Cape Alava",10,0.522222222222222,0.0732751529231751,12,0.0211527146325531,"keep"
"13",2017,"Cape Johnson",5,0.512222222222222,0.0838407830112742,8,0.0296421931036309,"keep"
"14",2017,"Cape Johnson",10,0.558888888888889,0.0956625462306056,8,0.0338218175726164,"keep"
"15",2017,"Destruction Island",5,0.502692743764172,0.174091479351014,8,0.0615506327979499,"keep"
"16",2017,"Neah Bay",5,0.740105363984674,0.0683707852319724,8,0.0241727229362884,"keep"
"17",2017,"Neah Bay",10,0.634166666666667,0.100699055723642,8,0.0356024925806346,"keep"
"18",2017,"Tatoosh Island",5,0.673703703703704,0.0561024929208512,6,0.0229037468256985,"keep"
"19",2017,"Tatoosh Island",10,0.631448955325293,0.0454847465888929,7,0.0171916182744292,"keep"
"20",2018,"Cape Alava",5,0.620833333333333,0.053872113245518,8,0.0190466682963777,"keep"
"21",2018,"Cape Alava",10,0.537222222222222,0.133099000429545,8,0.0470576028864411,"keep"
"22",2018,"Cape Johnson",5,0.61529685512776,0.111444678232967,8,0.039401643852842,"keep"
"23",2018,"Cape Johnson",10,0.544444444444445,0.113652419367049,7,0.0429565767922903,"keep"
"24",2018,"Destruction Island",5,0.510705179019686,0.217651215059969,8,0.076951325051198,"keep"
"25",2018,"Destruction Island",10,0.559548104956268,0.0878117946595568,7,0.0331897386924939,"keep"
"26",2018,"Neah Bay",5,0.592698412698413,0.0877023988176915,7,0.0331483909507739,"keep"
"27",2018,"Neah Bay",10,0.593055555555556,0.0504153821603826,8,0.0178245293008589,"keep"
"28",2018,"Tatoosh Island",5,0.504722222222222,0.14003999176854,8,0.0495116139084213,"keep"
"29",2018,"Tatoosh Island",10,0.664126984126984,0.0563123062726302,7,0.0212840511642689,"keep"
"30",2019,"Cape Alava",5,0.376944444444444,0.213137931344418,8,0.0753556382908553,"keep"
"31",2019,"Cape Alava",10,0.447576958647113,0.173268154091724,8,0.061259543360967,"keep"
"32",2019,"Cape Johnson",5,0.545277777777778,0.14279121053481,8,0.0504843166315001,"keep"
"33",2019,"Cape Johnson",10,0.435555555555556,0.159871347453587,7,0.0604256895895701,"keep"
"34",2019,"Destruction Island",5,0.421111111111111,0.174578353214065,8,0.0617227687030227,"keep"
"35",2019,"Destruction Island",10,0.600232197119831,0.106862211326683,8,0.0377814971408437,"keep"
"36",2019,"Neah Bay",5,0.581513304593429,0.131784479134725,7,0.0498098512069518,"keep"
"37",2019,"Neah Bay",10,0.646456942645251,0.0420038943585981,8,0.014850619268604,"keep"
"38",2019,"Tatoosh Island",5,0.616666666666667,0.0798145999825243,8,0.0282187224426673,"keep"
"39",2019,"Tatoosh Island",10,0.6570082600266,0.086677548780428,6,0.0353859611112078,"keep"
