year,site,classcode,spp,short,n_obs,dens_weighted,sd_w,dens_averaged,sd_ave,se_w,se_ave
2015,Anderson Point,COSCOS,"Costaria costatum, Costaria",Costaria,2,0,0,0,0,0,0
2015,Anderson Point,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,2,0,0,0,0,0,0
2015,Anderson Point,DESSPP,Desmarestia spp.,Desmares,2,0,0,0,0,0,0
2015,Anderson Point,LAMSET,"Laminaria setchellii, Laminaria",Laminari,2,0,0,0,0,0,0
2015,Anderson Point,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0,0,0,0,0,0
2015,Anderson Point,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,2,0.06666666666666667,0,0.06666666666666667,0,0,0
2015,Anderson Point,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,4,0.23333333333333334,0.4642796092394706,0.23333333333333334,0.6565905201197403,0.2321398046197353,0.32829526005987014
2015,Anderson Point,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,4,0.5916666666666667,0.6936217348894937,0.5916666666666666,0.9809292646374774,0.3468108674447469,0.4904646323187387
2015,Anderson Point,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,2,0,0,0,0,0,0
2015,Cape Alava,COSCOS,"Costaria costatum, Costaria",Costaria,2,0,0,0,0,0,0
2015,Cape Alava,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,2,0,0,0,0,0,0
2015,Cape Alava,DESSPP,Desmarestia spp.,Desmares,2,0,0,0,0,0,0
2015,Cape Alava,LAMSET,"Laminaria setchellii, Laminaria",Laminari,2,0,0,0,0,0,0
2015,Cape Alava,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0,0,0,0,0,0
2015,Cape Alava,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,5,0.3861111111111111,0.5117447762795266,0.38611111111111107,0.6533390022429794,0.22885922137828868,0.2921820842734379
2015,Cape Alava,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,2,0,0,0,0,0,0
2015,Cape Alava,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,7,1.1472222222222221,2.0713581755355652,1.1472222222222221,2.412007002016739,0.7828998012296543,0.9116529554118227
2015,Cape Alava,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,3,0.041666666666666664,0.028867513459481294,0.04166666666666667,0.04082482904638631,0.01666666666666667,0.02357022603955159
2015,Cape Johnson,COSCOS,"Costaria costatum, Costaria",Costaria,2,0,0,0,0,0,0
2015,Cape Johnson,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,2,0,0,0,0,0,0
2015,Cape Johnson,DESSPP,Desmarestia spp.,Desmares,2,0,0,0,0,0,0
2015,Cape Johnson,LAMSET,"Laminaria setchellii, Laminaria",Laminari,2,0,0,0,0,0,0
2015,Cape Johnson,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,3,2.316666666666667,1.7897858344878401,2.316666666666667,2.5311394008759507,1.0333333333333334,1.4613540144521984
2015,Cape Johnson,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,3,0.625,0.43301270189221946,0.625,0.6123724356957946,0.2500000000000001,0.35355339059327384
2015,Cape Johnson,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,2,0,0,0,0,0,0
2015,Cape Johnson,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,3,0.8,1.1547005383792515,0.7999999999999999,1.6329931618554518,0.6666666666666666,0.9428090415820632
2015,Cape Johnson,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,2,0.35,0,0.35,0,0,0
2015,Chibadehl Rocks,COSCOS,"Costaria costatum, Costaria",Costaria,6,0.08823529411764706,1.4536673584170952,0.5033333333333333,3.449830913730894,0.5934572139768988,1.4083875729200241
2015,Chibadehl Rocks,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,6,0.029411764705882353,0.4019846956063503,0.10333333333333333,1.0868915922636135,0.16410956477392888,0.4437216344611663
2015,Chibadehl Rocks,DESSPP,Desmarestia spp.,Desmares,2,0,0,0,0,0,0
2015,Chibadehl Rocks,LAMSET,"Laminaria setchellii, Laminaria",Laminari,2,0,0,0,0,0,0
2015,Chibadehl Rocks,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0,0,0,0,0,0
2015,Chibadehl Rocks,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,6,0.8566993464052287,11.385096188654423,4.842777777777778,23.300758213700544,4.647946055784811,9.512494707255062
