year,site,zone,transect,lump,n_obs,dens_weighted,sd_w,se_w,dens_averaged,sd_ave,se_ave
2015,Anderson Point,5,1,bivalve,3,0.030303030303030304,0.09582659576267816,0.05532551085910769,0.2222222222222222,0.19245008972987526,0.11111111111111112
2015,Anderson Point,5,1,blood_star,1,0,0,0,0,NA,NA
2015,Anderson Point,5,1,Cal_cuc,1,0,0,0,0,NA,NA
2015,Anderson Point,5,1,chiton,2,0,0,0,0,0,0
2015,Anderson Point,5,1,crabs,2,0.031746031746031744,0.14197256999998664,0.10038976698947234,0.3333333333333333,0.4714045207910317,0.3333333333333333
2015,Anderson Point,5,1,green_urchin,1,0,0,0,0,NA,NA
2015,Anderson Point,5,1,kelp_crab,1,0,0,0,0,NA,NA
2015,Anderson Point,5,1,large_anemone,3,0,0,0,0,0,0
2015,Anderson Point,5,1,large_nudibranch,1,0,0,0,0,NA,NA
2015,Anderson Point,5,1,large_sea_star,2,0,0,0,0,0,0
2015,Anderson Point,5,1,large_seastar,1,0,0,0,0,NA,NA
2015,Anderson Point,5,1,leather_star,3,0.3333333333333333,0,0,0.3333333333333333,0,0
2015,Anderson Point,5,1,med_nudibranch,2,0,0,0,0,0,0
2015,Anderson Point,5,1,med_sea_star,1,0,0,0,0,NA,NA
2015,Anderson Point,5,1,orange_cucumber,1,4,0,0,4,NA,NA
2015,Anderson Point,5,1,P_ochraceous,1,0,0,0,0,NA,NA
2015,Anderson Point,5,1,purple_urchin,1,0.3333333333333333,0,0,0.3333333333333333,NA,NA
2015,Anderson Point,5,1,sea_cucumber,1,0,0,0,0,NA,NA
2015,Anderson Point,5,1,shelled_gastropod,3,0,0,0,0,0,0
2015,Anderson Point,5,1,small_anemone,1,0,0,0,0,NA,NA
2015,Anderson Point,5,1,tunicate,3,1.3333333333333333,0.27216552697590873,0.15713484026367727,1.3333333333333333,0.33333333333333337,0.1924500897298753
2015,Anderson Point,5,2,bivalve,2,0,0,0,0,0,0
2015,Anderson Point,5,2,blood_star,2,0.5,0.16666666666666666,0.1178511301977579,0.5,0.23570226039551584,0.16666666666666666
2015,Anderson Point,5,2,Cal_cuc,1,0,0,0,0,NA,NA
2015,Anderson Point,5,2,chiton,2,0,0,0,0,0,0
2015,Anderson Point,5,2,crabs,2,0,0,0,0,0,0
2015,Anderson Point,5,2,green_urchin,1,0,0,0,0,NA,NA
2015,Anderson Point,5,2,kelp_crab,1,0,0,0,0,NA,NA
2015,Anderson Point,5,2,large_anemone,3,0.008130081300813009,0.0514191489458273,0.029686859485374858,0.1111111111111111,0.19245008972987526,0.11111111111111112
2015,Anderson Point,5,2,large_nudibranch,1,0.3333333333333333,0,0,0.3333333333333333,NA,NA
2015,Anderson Point,5,2,large_sea_star,2,0,0,0,0,0,0
2015,Anderson Point,5,2,large_seastar,1,0,0,0,0,NA,NA
2015,Anderson Point,5,2,leather_star,3,0.3333333333333333,0,0,0.3333333333333333,0,0
2015,Anderson Point,5,2,med_nudibranch,2,0,0,0,0,0,0
2015,Anderson Point,5,2,med_sea_star,1,0,0,0,0,NA,NA
2015,Anderson Point,5,2,orange_cucumber,2,1.1666666666666667,0.16666666666666663,0.11785113019775789,1.1666666666666665,0.23570226039551578,0.1666666666666666
2015,Anderson Point,5,2,P_ochraceous,1,0,0,0,0,NA,NA
2015,Anderson Point,5,2,purple_urchin,1,0,0,0,0,NA,NA
2015,Anderson Point,5,2,sea_cucumber,1,0,0,0,0,NA,NA
2015,Anderson Point,5,2,shelled_gastropod,3,0,0,0,0,0,0
2015,Anderson Point,5,2,small_anemone,1,0,0,0,0,NA,NA
2015,Anderson Point,5,2,tunicate,3,1.6666666666666667,0.7200822998230955,0.415739709641549,1.6666666666666665,0.8819171036881968,0.5091750772173155
