YEAR,SITE,ZONE,MEAN,SD,N,SE
2016,Destruction Island,5,0,0,4,0
2016,Destruction Island,10,0.13222222222222227,0.19848686867658782,6,0.08103192481674226
2016,Cape Johnson,5,0.43259259259259253,0.09957605609031747,6,0.04065175467000585
2016,Cape Johnson,10,0.5618518518518518,0.09986080847839576,6,0.04076800434564431
2016,Cape Alava,5,0.4633333333333333,0.13923069052901083,6,0.05684069138857184
2016,Cape Alava,10,0.527037037037037,0.11202659884034964,6,0.04573466746305373
2016,Tatoosh Island,5,0,0,6,0
2016,Tatoosh Island,10,0.032222222222222374,0.04556910367646661,2,0.032222222222222374
2016,Neah Bay,5,0.5244444444444445,0.031739681904634894,4,0.015869840952317447
2016,Neah Bay,10,0.18333333333333343,0.12281271498897386,6,0.050138080941474227
2017,Destruction Island,5,0.030555555555555614,0.0644581266263877,8,0.022789389220049947
2017,Cape Johnson,5,0.4355555555555556,0.11295611046958112,8,0.03993601584474879
2017,Cape Johnson,10,0.5502777777777779,0.1447149481765776,8,0.05116446059735891
2017,Cape Alava,5,0.33638888888888896,0.20028176800727496,8,0.07081029815298752
2017,Cape Alava,10,0.22814814814814818,0.14824474964978698,12,0.0427945730581266
2017,Tatoosh Island,5,0,0,6,0
2017,Tatoosh Island,10,0.11682539682539687,0.16106567503811917,7,0.060877102985658155
2017,Neah Bay,5,0.3355555555555556,0.19169346488526365,8,0.06777387446475762
2017,Neah Bay,10,0.48194444444444445,0.23833472083068205,8,0.08426404864578899
2018,Destruction Island,5,0.05027777777777778,0.10171674540751047,8,0.035962300218938134
2018,Destruction Island,10,0.06349206349206349,0.1679842102263232,7,0.06349206349206349
2018,Cape Johnson,5,0.5141666666666667,0.13212648261195556,8,0.04671376591462011
2018,Cape Johnson,10,0.5107936507936508,0.09513627714331166,7,0.03595813285453158
2018,Cape Alava,5,0.3713888888888889,0.14479536128284634,8,0.051192890923728356
2018,Cape Alava,10,0.37722222222222224,0.11297952866651205,8,0.0399442954276753
2018,Tatoosh Island,5,0.07361111111111111,0.14044242262961032,8,0.049653894703832246
2018,Tatoosh Island,10,0.3444444444444445,0.19521434879462277,7,0.07378408846599906
2018,Neah Bay,5,0.4926984126984127,0.1288615187140482,7,0.04870507601192389
2018,Neah Bay,10,0.4719444444444445,0.16434547643942707,8,0.058104900423826426
2019,Destruction Island,5,0.05361111111111111,0.07595076377837501,8,0.026852650051993287
2019,Destruction Island,10,0.08194444444444447,0.16132798758033143,8,0.05703805700661573
2019,Cape Johnson,5,0.11527777777777798,0.057304994842181295,8,0.02026037522438326
2019,Cape Johnson,10,0.3333333333333333,0.1930649478130975,7,0.07297169125673135
2019,Cape Alava,5,0.40055555555555555,0.1884223931392751,8,0.06661737595808952
2019,Cape Alava,10,0.4869444444444444,0.12673870132165002,8,0.04480889757165759
2019,Tatoosh Island,5,0.0927777777777778,0.1538535000281094,8,0.054395426589580416
2019,Tatoosh Island,10,0.23185185185185192,0.23379918223374674,6,0.0954481164587763
2019,Neah Bay,5,0.1696230866504351,0.1451719423717229,7,0.054869836694254145
2019,Neah Bay,10,0.2338888888888889,0.2229820343756891,8,0.07883605429491079
