"","YEAR","SITE","MEAN","SD","N","SE",".groups"
"1",2016,"Cape Alava",0.511666666666667,0.0815072655867828,12,0.0235291208637197,"keep"
"2",2016,"Cape Johnson",0.457787412803022,0.103658294389347,12,0.0299235720847136,"keep"
"3",2016,"Destruction Island",0.595995788743559,0.139630917210429,10,0.044155173016336,"keep"
"4",2016,"Neah Bay",0.611482483524107,0.0762866738262135,10,0.0241239644409187,"keep"
"5",2016,"Tatoosh Island",0.636899683852023,0.0578347272883953,8,0.0204476639268495,"keep"
"6",2017,"Cape Alava",0.512667964987399,0.106373691671801,20,0.023785880559575,"keep"
"7",2017,"Cape Johnson",0.535555555555556,0.0901758684061227,16,0.0225439671015307,"keep"
"8",2017,"Destruction Island",0.502692743764172,0.174091479351014,8,0.0615506327979499,"keep"
"9",2017,"Neah Bay",0.68713601532567,0.0995309261941009,16,0.0248827315485252,"keep"
"10",2017,"Tatoosh Island",0.650951146884559,0.0531656554031487,13,0.0147454997422847,"keep"
"11",2018,"Cape Alava",0.579027777777778,0.107171548186731,16,0.0267928870466827,"keep"
"12",2018,"Cape Johnson",0.58223239680888,0.11438725620568,15,0.0295346625535307,"keep"
"13",2018,"Destruction Island",0.533498544456757,0.16621332783218,15,0.0429160967074497,"keep"
"14",2018,"Neah Bay",0.592888888888889,0.0675820749952988,15,0.0174496167305955,"keep"
"15",2018,"Tatoosh Island",0.579111111111111,0.133942523670664,15,0.0345838109016982,"keep"
"16",2019,"Cape Alava",0.412260701545779,0.19115495028053,16,0.0477887375701326,"keep"
"17",2019,"Cape Johnson",0.494074074074074,0.156073212745255,15,0.0402979302500972,"keep"
"18",2019,"Destruction Island",0.510671654115471,0.167653887350441,16,0.0419134718376103,"keep"
"19",2019,"Neah Bay",0.616149911554401,0.0972108071940997,15,0.0250997224889419,"keep"
"20",2019,"Tatoosh Island",0.633955920963781,0.0821524794495976,14,0.0219561736838844,"keep"
