year,site,zone,lump,n_obs,dens_weighted,sd_w,dens_averaged,sd_ave,se_w,se_ave
2015,Anderson Point,5,bivalve,5,0.015151515151515152,0.21427478217774168,0.1111111111111111,0.43033148291193524,0.09582659576267816,0.19245008972987526
2015,Anderson Point,5,blood_star,3,0.25,0.28867513459481287,0.25,0.40824829046386296,0.16666666666666666,0.2357022603955158
2015,Anderson Point,5,Cal_cuc,2,0,0,0,0,0,0
2015,Anderson Point,5,chiton,4,0,0,0,0,0,0
2015,Anderson Point,5,crabs,4,0.015873015873015872,0.2839451399999733,0.16666666666666666,0.9428090415820634,0.14197256999998664,0.4714045207910317
2015,Anderson Point,5,green_urchin,2,0,0,0,0,0,0
2015,Anderson Point,5,kelp_crab,2,0,0,0,0,0,0
2015,Anderson Point,5,large_anemone,6,0.0040650406504065045,0.12595067792544445,0.05555555555555555,0.4714045207910317,0.05141914894582731,0.19245008972987526
2015,Anderson Point,5,large_nudibranch,2,0.16666666666666666,0,0.16666666666666666,0,0,0
2015,Anderson Point,5,large_sea_star,4,0,0,0,0,0,0
2015,Anderson Point,5,large_seastar,2,0,0,0,0,0,0
2015,Anderson Point,5,leather_star,6,0.3333333333333333,0,0.3333333333333333,0,0,0
2015,Anderson Point,5,med_nudibranch,4,0,0,0,0,0,0
2015,Anderson Point,5,med_sea_star,2,0,0,0,0,0,0
2015,Anderson Point,5,orange_cucumber,3,2.5833333333333335,0.2886751345948128,2.583333333333333,0.40824829046386296,0.16666666666666663,0.2357022603955158
2015,Anderson Point,5,P_ochraceous,2,0,0,0,0,0,0
2015,Anderson Point,5,purple_urchin,2,0.16666666666666666,0,0.16666666666666666,0,0,0
2015,Anderson Point,5,sea_cucumber,2,0,0,0,0,0,0
2015,Anderson Point,5,shelled_gastropod,6,0,0,0,0,0,0
2015,Anderson Point,5,small_anemone,2,0,0,0,0,0,0
2015,Anderson Point,5,tunicate,6,1.5,1.8856180831641265,1.5,2.309401076758503,0.7698003589195009,0.9428090415820634
2015,Cape Alava,5,bivalve,4,0.007936507936507936,0.14197256999998664,0.08333333333333333,0.4714045207910317,0.07098628499999332,0.23570226039551584
2015,Cape Alava,5,blood_star,4,0.2727272727272727,0.9649505047327671,0.3055555555555555,1.250925583244189,0.48247525236638356,0.6254627916220945
2015,Cape Alava,5,Cal_cuc,2,0,0,0,0,0,0
2015,Cape Alava,5,chiton,4,0,0,0,0,0,0
2015,Cape Alava,5,crabs,4,0.1328125,0.12103072956898178,0.1875,0.3535533905932738,0.06051536478449089,0.1767766952966369
2015,Cape Alava,5,green_urchin,2,0,0,0,0,0,0
