code,group,include,Name,com_name,spp,,,spp
ANOC,ANOC,n,Wolf Eel,wolf eel,Anarrhichthys ocellatus,,,
APFL,PHOL,n,Penpoint Gunnel,penpoint gunnel,Apodichthys flavidus,,,
ARHA,COTT,n,Scalyhead sculpin,scalyhead sculpin,Artedius harringtoni,,,
AUFL,AUFL,y,Tubesnout,tubesnout,Aulorhynchus flavidus,,,
BAITBALL,BAIT,y,bait-sardines-anchovy,bait-sardines-anchovy,bait,,,
BATH,BATH,n,Ronquils,ronquils,Bathymasteridae,,,
BLEN,BLEN,n,Blennies,blennies,Blenniidae,,,
BOTH,BOTH,y,Lefteyed flounders,lefteyed flounders,Bothidae,,,
BRFR,EMBI,y,Kelp Surfperch,kelp surfperch,Brachyistius frenatus,,,
CHNU,CHNU,n,Mosshead warbonnet,mosshead warbonnet,Chirolophis nugator,,,
CHPU,COTT,n,Roughback Sculpin,roughback sculpin,Chitonotus pugetensis,,,
CISO,CITH,y,Pacific Sanddab,Pacific sanddab,Citharichthys sordidus,,,
CIST,CITH,y,Speckled Sanddab,speckled sanddab,Citharichthys stigmaeus,,,
CITH,CITH,y,Sanddabs,sanddabs,Citharichthys spp,,,
CLIN,CLIN,n,Kelpfishes and Fringeheads,kelpfishes and fringeheads,Clinidae,,,
CLUP,BAIT,y,Herring,herring,Clupeidae,,,
COTT,COTT,n,Sculpins,sculpins,Cottidae,,,
CYAG,EMBI,y,Shiner Surfperch,shiner surfperch,Cymatogaster aggregata ,,,
EMBI,EMBI,y,Surfperches,surfperches,Embiotocidae,,,
EMLA,EMBI,y,Striped Surfperch,striped surfperch,Embiotoca lateralis,,,
ENBI,COTT,n,Buffalo Sculpin,buffalo sculpin,Enophrys bison,,,
ENMO,BAIT,y,Northern Anchovy,northern anchovy,Engraulis mordax,,,
GOBI,GOBI,n,Gobies,gobies,Gobiidae,,,
GOMA,GOMA,n,Northern Clingfish,northern clingfish,Gobiesox maeandricus,,,
HEDE,HEXA,y,Kelp Greenling,kelp greenling,Hexagrammos decagrammus,,,
HEHE,HEXA,y,Red Irish Lord,red Irish lord,Hemilepidotus hemilepidotus,,,
