species,latin.name,group,taxa
AGAFIM,Agarum fimbriatum,Algae,UNDERSTORY
ALAMAR,"Alaria marginata, Alaria",Algae,UNDERSTORY
BONGO,Steve Lonhart description of later defined species,Algae,UNDERSTORY
COSCOS,"Costaria costatum, Costaria",Algae,UNDERSTORY
CYMTRI,"Cymathere triplicata, three-ribbed kelp",Algae,UNDERSTORY
DESSPP,Desmarestia spp.,Algae,UNDERSTORY
EGRMEN,Egregia menziesii,Algae,CANOPY
LAMSET,"Laminaria setchellii, Laminaria",Algae,UNDERSTORY
MACPYR,"Macrocystis pyrifera, Macrocystis",Algae,CANOPY
NERLUE,"Nereocystis luetkeana, Nereocystis",Algae,CANOPY
NO_ALG,No kelp stipes present in this sample,Algae,NONE
PLEGAR,"Pleurophycus gardneri, Pleurophycus",Algae,UNDERSTORY
PTECAL,"Pterygophora californica, Pterygophora",Algae,CANOPY
SACGRO,"Saccharina groenlandica, split kelp",Algae,UNDERSTORY
SACLAT,"Saccharina latissima, ""bongo""",Algae,UNDERSTORY
ACAHUD,"Acanthodoris hudsoni, white nudibranch with yellow margin (we lump with Cadlina luteomarginata)",Invert,NUDIBRANCH
ACANAN,Acanthodoris nanaimo,Invert,NUDIBRANCH
ACMMIT,"Acmaea mitra, white cap limpet",Invert,GASTROPOD
ANTELE,"Anthopleura elegantissima, aggregating anemone",Invert,ANENOME
ANTSPP,"Anthopleura spp., unidentified anemone",Invert,ANENOME
ANTXAN,"Anthopleura xanthogrammica, giant green anemone",Invert,ANENOME
ASTSPP,unknown seastar,Invert,SEASTAR
BALNUB,"Balanus nubilis, giant acorn barnacle",Invert,
CANORE,"Cancer oregonensis, pygmy rock crab",Invert,CRAB
CANSPP,"Cancer spp., cancer crab",Invert,CRAB
CERFOL,"Ceratostoma foliatum, Leafy hornmouth",Invert,GASTROPOD
CHITON,misc small chitons,Invert,CHITON
CLAMSP,misc clams,Invert,BIVALVE
CRAARB,"Craniella arb, grey tennis ball sponge",Invert,SPONGE
CRAGIG,"Crassadoma gigantea, rock scallop",Invert,BIVALVE
CROPAP,"Crossaster papposus, sea star",Invert,SEASTAR
CRYDEC,cryptic decorator crab unid. Spp.,Invert,CRAB
CRYSIT,"Cryptolithoides sitchensis, umbrella crab",Invert,CRAB
CRYSTE,"Cryptochiton stelleri, gumboot chiton",Invert,CHITON
CUCMIN,"Cucumaria miniata, orange sea cucumber",Invert,CUCUMBER
DERIMB,"Dermasterias imbricata, leather star",Invert,SEASTAR
DIASAN,Dialula sandiegensis,Invert,NUDIBRANCH
DIOASP,"Diodora aspera, rough keyhole limpet",Invert,GASTROPOD
DIRALB,"Dirona albolineata, white lined nudibranch",Invert,NUDIBRANCH
DORODH,"Doris odhneri, white knight dorid nudibranch",Invert,NUDIBRANCH
DOROHD,,Invert,NUDIBRANCH
ENTDOF,Enteroctopus dofleini,Invert,
EPIPRO,"Epiactis prolifera, brooding anemona",Invert,ANENOME
EUPQUI,"Eupentacta quinquesemita, white sea cucumber",Invert,CUCUMBER
EVATRO,"Evasterias troschelii, mottled star",Invert,SEASTAR
FUSORE,"Fusitriton oregonensis, Oregon hairy triton",Invert,GASTROPOD
HALKAM,"Haliotis kamtschatkana, pinto abalone",Invert,GASTROPOD
HENLEV,"Henricia leviuscula, blood star",Invert,SEASTAR
HERCRA,"Hermissenda crassicornis, opalescent nudibranch",Invert,NUDIBRANCH
JANFUS,"Janolus fuscus, nudibranch",Invert,NUDIBRANCH
LEPSPP,Lepasterias spp.,Invert,SEASTAR
LIMCOC,Limacia cockerelli,Invert,
LIRDIR,"Lirabuccinum dirum, dire whelk",Invert,GASTROPOD
LOPMAN,"Lopholithodes mandtii, Puget Sound king crab",Invert,CRAB
MEDAEQ,"Mediaster aequalis, red star",Invert,SEASTAR
MESFRA,"Mesocentrotus franciscanus, red urchin",Invert,URCHIN
METGIG,"Metridium giganteum, giant plumose anemone",Invert,ANENOME
METSPP,"Metridium spp., white plumed anemones",Invert,ANENOME
MIMFOL,"Mimulus foliatus, mimicking crab",Invert,CRAB
MYTCAL,"Mytilus californianus, California mussel",Invert,BIVALVE
NO_ORG,No organisms present in this sample,Invert,NONE
NUCLAM,"Nucella lamellosa, whelk (used generally for rough predatory whelks)",Invert,GASTROPOD
NUDIBR,unknown nudibranch,Invert,NUDIBRANCH
ORTKOE,"Orthasterias koehleri, rainbow star",Invert,SEASTAR
PAGSPP,"Pagurus spp, hermit crabs",Invert,CRAB
PARCAL,"Parastichopus californicus, california sea cucumber",Invert,CUCUMBER
PATMIN,"Patiria miniata, bat star",Invert,SEASTAR
PELNOB,"Peltodoris nobilis, pacific sea lemon",Invert,NUDIBRANCH
PISBRE,"Pisaster brevispinus, short spined star",Invert,SEASTAR
PISGIG,"Pisaster giganteus, giant spined star",Invert,SEASTAR
PISOCH,"Pisaster ochraceous, ochre star",Invert,SEASTAR
PISSPP,Pisaster spp. (unidentified species),Invert,SEASTAR
PODSPP,Pododesmus spp. Jingle shells,Invert,BIVALVE
PUGGRA,"Pugettia gracilis, graceful kelp crab",Invert,CRAB
PUGPRO,"Pugettia producta, kelp crab",Invert,CRAB
PYCHEL,"Pycnopodia helianthoides, sunflower star",Invert,SEASTAR
SCALLOP,misc. scallops (not rock),Invert,CRAB
SCYDEC,"Scyra spp., decorator crab, moss crab",Invert,CRAB
SOLSTI,"Solaster stimpsoni, orange sun star",Invert,SEASTAR
STARREC,sea star recruits (unidentifiable to species),Invert,SEASTAR
STRDRO,"Strongylocentrotus droebachiensis, green urchin",Invert,URCHIN
STRPUR,"Strongylocentrotus purpuratus, purple urchin",Invert,URCHIN
STYMON,"Styela montereyensis, stalked tunicate",Invert,TUNICATE
TEGSPP,"Tegula spp., turban snails",Invert,GASTROPOD
TRICAT,"Triopha catalinae, sea clown nudibranch",Invert,NUDIBRANCH
UNIDSP,Unidentified mobile invert species,Invert,NONE
URTCRA,"Urticina crassicornis, Christmas anemone",Invert,ANENOME
URTLOF,"Urticina lofotensis, white-spotted rose anemone",Invert,ANENOME
URTPIS,"Urticina piscivora, fish-eating anemone",Invert,ANENOME
URTSPP,"Urticina spp., Urticina spp.",Invert,ANENOME
NOT_DONE,No data collected,MISSING,NONE
