        Model      AIC  delta_AIC
2    m_kelp_d 581.8858  0.0000000
1      m_kelp 582.2245  0.3386681
8      m_MP_d 583.2383  1.3524969
7        m_MP 583.5939  1.7080779
6      m_MN_d 583.7407  1.8548362
5        m_MN 583.9584  2.0725416
11       m_NP 584.0558  2.1699976
12     m_NP_D 584.0558  2.1699976
4   m_macro_d 584.8139  2.9280615
3     m_macro 585.0143  3.1284771
17   m_year_d 585.2509  3.3650693
16     m_year 585.2902  3.4044024
13    m_ptery 585.5573  3.6714139
14  m_ptery_d 585.5573  3.6714139
10  m_nereo_d 585.9196  4.0337290
9     m_nereo 585.9783  4.0924851
18 m_yearsite 587.1499  5.2640984
15     m_site 609.5533 27.6674674
