"","(Intercept)","Macro","Nereo","Ptery","other1","canopy_kelp","other2","df","logLik","AICc","delta"
"17",1.37769432520873,NA,NA,NA,NA,NA,NA,4,-114.754507326537,238.186980754768,0
"2",1.49934153445769,-0.205643135343219,NA,NA,NA,NA,NA,5,-114.69039144124,240.4152656411,2.22828488633161
"3",1.33454499595813,NA,NA,NA,0.0708011372371721,NA,NA,5,-115.318840493025,241.67216374467,3.48518298990189
"4",1.43983459497845,NA,NA,-0.0455074189345842,NA,NA,NA,5,-115.796799326038,242.628081410696,4.44110065592787
"5",1.29009193703361,NA,0.0746654004613093,NA,NA,NA,NA,5,-115.84871441523,242.731911589081,4.54493083431234
"18",1.44424372620012,NA,NA,NA,NA,-0.0376397919627109,NA,5,-116.132244725758,243.298972210137,5.11199145536909
"19",1.40544019548863,NA,NA,NA,NA,NA,-0.0122522764935591,5,-116.135520040822,243.305522840265,5.11854208549695
"21",1.40544019548863,NA,NA,NA,NA,NA,-0.0122522764935591,5,-116.135520040822,243.305522840265,5.11854208549695
"6",1.44160092155405,-0.212097650296885,NA,NA,0.10108517118511,NA,NA,6,-115.197333245881,243.868350702289,5.68136994752041
"7",1.54664665956699,-0.204917069570108,NA,-0.035028512992063,NA,NA,NA,6,-115.759353004738,244.992390220003,6.80540946523467
"8",1.44673274273125,-0.19485752375929,0.0412169370463282,NA,NA,NA,NA,6,-115.941208541479,245.356101293484,7.16912053871539
"22",1.50146017783663,-0.207158417274676,NA,NA,NA,NA,0.000594957814778304,6,-116.078361740506,245.630407691539,7.44342693677055
"9",1.39994345580613,NA,NA,-0.0691397996183457,0.111197492890722,NA,NA,6,-116.240597681089,245.954879572704,7.7678988179361
"10",1.28793674470148,NA,0.0704778533127577,NA,0.015191008853669,NA,NA,6,-116.382395053015,246.238474316556,8.05149356178816
"11",1.38783049225141,NA,0.103361112753645,-0.097091681251469,NA,NA,NA,6,-116.645045202202,246.763774614929,8.57679386016105
"23",1.37497813506263,NA,0.0997744090582231,NA,NA,NA,-0.0563503971806853,6,-116.995097845972,247.463879902471,9.27689914770235
"20",1.43823909709604,NA,NA,NA,NA,-0.0430431271006953,0.0094817923021791,6,-117.373504015005,248.220692240536,10.033711485768
"12",1.50288271133501,-0.211058605647757,NA,-0.0618660138803555,0.133639735128342,NA,NA,7,-116.144653988182,248.289307976364,10.1023272215959
"13",1.42272435544768,-0.204383505168702,0.0251146186726169,NA,0.0786973738716311,NA,NA,7,-116.399143035624,248.798286071248,10.61130531648
"14",1.50845668225985,-0.187085784903476,0.0635446852947322,-0.0684263475405066,NA,NA,NA,7,-116.833678563503,249.667357127006,11.4803763722372
"15",1.37431870872356,NA,0.0955355862132808,-0.104413494492656,0.0527542826544627,NA,NA,7,-117.125870480735,250.251740961471,12.0647602067026
"24",1.48121531159425,-0.190716055029547,0.0542566394270423,NA,NA,NA,-0.0256083824933794,7,-117.15130950815,250.3026190163,12.1156382615322
"16",1.48608349564199,-0.196752888226889,0.0471420711379731,-0.0798439835756885,0.100422501243347,NA,NA,8,-117.235118762008,253.088419342198,14.90143858743
