"","Model","AIC","delta_AIC"
"1","m_canopy",70.4853198676206,0
"4","m_MN",72.484503910274,1.9991840426534
"10","m_three",73.6857864560369,3.20046658841629
"2","m_kelp",73.764438979754,3.2791191121334
"7","m_NP",75.2310679455311,4.74574807791049
"6","m_nereo",76.4206828418335,5.93536297421289
"3","m_macro",83.9695143193826,13.484194451762
"5","m_MP",84.1418000894015,13.6564802217809
"8","m_ptery",85.3997314254268,14.9144115578062
"11","m_year",86.9294769904766,16.444157122856
"9","m_rand",87.7037833723773,17.2184635047567
