"","Model","AICc","AIC","Parms","d_AICc","d_AIC"
"1","m_canopy",71.0048003870965,70.4853198676159,"2",0,0
"4","m_MN",73.2739775944955,72.484503910285,"3",2.26917720739901,1.9991840426691
"10","m_three",74.2052669755062,73.6857864560257,"2",3.20046658840971,3.2004665884098
"2","m_kelp",74.8844389796277,73.7644389796277,"4",3.87963859253121,3.2791191120118
"7","m_NP",76.0205416297297,75.2310679455192,"3",5.01574124263321,4.7457480779033
"6","m_nereo",76.9401633613161,76.4206828418355,"2",5.9353629742196,5.9353629742196
"3","m_macro",84.4889948362582,83.9695143167777,"2",13.4841944491617,13.4841944491618
"5","m_MP",84.9312737736097,84.1418000893992,"3",13.9264733865132,13.6564802217833
"8","m_ptery",85.9191995442636,85.3997190247831,"2",14.9143991571671,14.9143991571672
"11","m_year",87.0813757246539,86.9294769904766,"1",16.0765753375574,16.4441571228607
"9","m_rand",88.0114756789653,87.703783371273,"1",17.0066752918688,17.2184635036571
