"Term","M1","M2","M3","M4","M5","M6","M7","M8"
"(Intercept)","4.11 (0.02)*","4.45 (0.05)*","4.07 (0.02)*","4.05 (0.03)*","4.36 (0.05)*","4.36 (0.05)*","4.08 (0.03)*","4.45 (0.05)*"
"canopy_kelp","0.07 (0.01)*","-0.06 (0.01)*","","","","","",""
"MACPYR","","","-0.24 (0.03)*","-0.26 (0.03)*","-0.3 (0.04)*","-0.32 (0.04)*","",""
"NERLUE","","","0.13 (0.01)*","0.12 (0.01)*","0.03 (0.02) ","0.02 (0.02) ","",""
"PTECAL","","","","0.05 (0.02)*","-0.06 (0.02)*","","",""
"siteCape Johnson","","-1.06 (0.07)*","","","-0.88 (0.07)*","-0.88 (0.07)*","","-1.05 (0.07)*"
"siteCape Alava","","-0.61 (0.06)*","","","-0.59 (0.06)*","-0.63 (0.06)*","","-0.56 (0.06)*"
"siteTatoosh Island","","0.42 (0.07)*","","","0.27 (0.07)*","0.26 (0.07)*","","0.46 (0.06)*"
"siteNeah Bay","","0.09 (0.05) ","","","0.33 (0.06)*","0.24 (0.06)*","","0.19 (0.06)*"
"year_factor2017","-1.79 (0.07)*","-1.79 (0.07)*","-1.7 (0.07)*","-1.71 (0.07)*","-1.66 (0.07)*","-1.7 (0.07)*","-1.81 (0.07)*","-1.74 (0.07)*"
"year_factor2018","-3.07 (0.15)*","-3.07 (0.15)*","-2.98 (0.15)*","-3.02 (0.15)*","-2.93 (0.15)*","-2.98 (0.15)*","-3.12 (0.15)*","-3.03 (0.15)*"
"year_factor2019","-2.02 (0.06)*","-1.97 (0.06)*","-1.82 (0.06)*","-1.86 (0.06)*","-1.82 (0.06)*","-1.85 (0.06)*","-2.05 (0.06)*","-1.93 (0.06)*"
"year_factor2021","-1.37 (0.04)*","-1.31 (0.04)*","-1.23 (0.04)*","-1.26 (0.04)*","-1.17 (0.05)*","-1.21 (0.04)*","-1.41 (0.04)*","-1.27 (0.04)*"
"","5593.75435057503","4772.71705014501","5398.22201432253","5390.16758484767","4694.13950108201","4700.21894610841","5589.02774282207","4761.09523563137"
NA,"899.61","78.58","704.08","696.03","0","6.08","894.89","66.96"
