"Term","M1","M2","M3","M4","M5","M6","M7","M8"
"(Intercept)","2.58 (0.6)*","3.53 (0.75)*","2.62 (0.61)*","2.61 (0.61)*","3.49 (0.78)*","3.38 (0.76)*","2.58 (0.61)*","3.53 (0.75)*"
"three_kelps","","","","","","","0 (0.05) ","0.05 (0.05) "
"canopy_kelp","0.01 (0.07) ","0.04 (0.08) ","","","","","",""
"MACPYR","","","0.07 (0.1) ","0.06 (0.1) ","-0.07 (0.12) ","-0.07 (0.12) ","",""
"NERLUE","","","-0.03 (0.08) ","-0.04 (0.1) ","0.07 (0.11) ","0.11 (0.1) ","",""
"PTECAL","","","","0.03 (0.11) ","0.11 (0.14) ","","",""
"siteCape Johnson","","-0.58 (0.51) ","","","-0.38 (0.56) ","-0.34 (0.55) ","","-0.59 (0.51) "
"siteCape Alava","","-1 (0.49)*","","","-1.07 (0.51)*","-0.99 (0.49)*","","-1.04 (0.5)*"
"siteTatoosh Island","","-1.86 (0.53)*","","","-2.06 (0.57)*","-1.93 (0.54)*","","-1.96 (0.55)*"
"siteNeah Bay","","-0.5 (0.5) ","","","-0.53 (0.6) ","-0.3 (0.53) ","","-0.61 (0.52) "
"year_factor2017","-3.29 (0.66)*","-3.45 (0.68)*","-3.33 (0.66)*","-3.34 (0.67)*","-3.47 (0.71)*","-3.37 (0.69)*","-3.29 (0.66)*","-3.5 (0.69)*"
"year_factor2018","-3.52 (0.67)*","-3.52 (0.69)*","-3.54 (0.67)*","-3.56 (0.68)*","-3.56 (0.71)*","-3.48 (0.7)*","-3.52 (0.67)*","-3.54 (0.69)*"
"year_factor2019","-2.49 (0.64)*","-2.72 (0.66)*","-2.52 (0.64)*","-2.54 (0.65)*","-2.77 (0.69)*","-2.65 (0.67)*","-2.49 (0.64)*","-2.77 (0.67)*"
"year_factor2021","-2.19 (0.65)*","-2.34 (0.67)*","-2.23 (0.65)*","-2.25 (0.65)*","-2.36 (0.7)*","-2.25 (0.67)*","-2.19 (0.65)*","-2.37 (0.67)*"
"year_factor2015","-19.15 (847.14) ","-19.19 (826.7) ","-19.19 (848.19) ","-19.2 (849.3) ","-19.17 (827.45) ","-19.14 (820.64) ","-19.15 (847.07) ","-19.17 (828.21) "
