"year","taxa","index","SE","metric","timeseries"
2015,"HEXA",0.15625,0.0420610860982942,"Number per 120 m^3","Greenlings"
2015,"OPEL",0.125,0.0883883476483184,"Number per 120 m^3","Lingcod"
2015,"SCMA",0,0,"Number per 120 m^3","Cabazon"
2015,"SECA",0.0625,0.0625,"Number per 120 m^3","Copper RF"
2015,"SEFL",0,0,"Number per 120 m^3","Yellowtail RF"
2015,"SEME",2.6875,1.83747165511018,"Number per 120 m^3","Black RF"
2015,"SENE",0,0,"Number per 120 m^3","China RF"
2016,"HEXA",0.24,0.0519241649260456,"Number per 120 m^3","Greenlings"
2016,"OPEL",0.111666666666667,0.042814492967695,"Number per 120 m^3","Lingcod"
2016,"SCMA",0.0416666666666667,0.0300462606288666,"Number per 120 m^3","Cabazon"
2016,"SECA",0,0,"Number per 120 m^3","Copper RF"
2016,"SEFL",0,0,"Number per 120 m^3","Yellowtail RF"
2016,"SEME",2.00333333333333,0.577849548766892,"Number per 120 m^3","Black RF"
2016,"SENE",0,0,"Number per 120 m^3","China RF"
2017,"HEXA",0.183048433048433,0.0325901877560399,"Number per 120 m^3","Greenlings"
2017,"OPEL",0.132264957264957,0.0659772178806846,"Number per 120 m^3","Lingcod"
2017,"SCMA",0.0444444444444444,0.0269484027818148,"Number per 120 m^3","Cabazon"
2017,"SECA",0.0625,0.0301039864469807,"Number per 120 m^3","Copper RF"
2017,"SEFL",0,0,"Number per 120 m^3","Yellowtail RF"
2017,"SEME",4.19081196581197,0.665584306638333,"Number per 120 m^3","Black RF"
2017,"SENE",0.0111111111111111,0.0111111111111111,"Number per 120 m^3","China RF"
2018,"HEXA",0.221701388888889,0.0431441184530346,"Number per 120 m^3","Greenlings"
2018,"OPEL",0.100297619047619,0.0478204446477012,"Number per 120 m^3","Lingcod"
2018,"SCMA",0.065625,0.0309584615135461,"Number per 120 m^3","Cabazon"
2018,"SECA",0.0333333333333333,0.0227128381289749,"Number per 120 m^3","Copper RF"
2018,"SEFL",0,0,"Number per 120 m^3","Yellowtail RF"
2018,"SEME",3.36919642857143,0.72776324186045,"Number per 120 m^3","Black RF"
2018,"SENE",0,0,"Number per 120 m^3","China RF"
2019,"HEXA",0.401309523809524,0.0593678086582358,"Number per 120 m^3","Greenlings"
2019,"OPEL",0.166785714285714,0.0530798878088106,"Number per 120 m^3","Lingcod"
2019,"SCMA",0.151785714285714,0.053091100628885,"Number per 120 m^3","Cabazon"
2019,"SECA",0.105119047619048,0.0504976650186481,"Number per 120 m^3","Copper RF"
2019,"SEFL",0,0,"Number per 120 m^3","Yellowtail RF"
2019,"SEME",6.79297619047619,1.0177408331679,"Number per 120 m^3","Black RF"
2019,"SENE",0.155119047619048,0.0509085536919118,"Number per 120 m^3","China RF"
2021,"HEXA",0.372916666666667,0.069484735764903,"Number per 120 m^3","Greenlings"
2021,"OPEL",0.172142857142857,0.0560820724364772,"Number per 120 m^3","Lingcod"
2021,"SCMA",0.0267857142857143,0.0189824032370262,"Number per 120 m^3","Cabazon"
2021,"SECA",0.05,0.0387298334620742,"Number per 120 m^3","Copper RF"
2021,"SEFL",0.02,0.02,"Number per 120 m^3","Yellowtail RF"
2021,"SEME",2.97285714285714,0.707720008733859,"Number per 120 m^3","Black RF"
2021,"SENE",0.0517857142857143,0.0307191302934571,"Number per 120 m^3","China RF"
2022,"HEXA",0.297091797091797,0.0604492342742711,"Number per 120 m^3","Greenlings"
2022,"OPEL",0.0970695970695971,0.0457875457875458,"Number per 120 m^3","Lingcod"
2022,"SCMA",0.0606060606060606,0.0406557814090871,"Number per 120 m^3","Cabazon"
2022,"SECA",0.0256410256410256,0.0256410256410256,"Number per 120 m^3","Copper RF"
2022,"SEFL",0,0,"Number per 120 m^3","Yellowtail RF"
2022,"SEME",3.48917748917749,1.07591925079237,"Number per 120 m^3","Black RF"
2022,"SENE",0.0909090909090909,0.0649927593622037,"Number per 120 m^3","China RF"
2023,"HEXA",0.313382352941176,0.0421528205773932,"Number per 120 m^3","Greenlings"
2023,"OPEL",0.0927941176470588,0.0352964664251139,"Number per 120 m^3","Lingcod"
2023,"SCMA",0.115,0.0408588355737709,"Number per 120 m^3","Cabazon"
2023,"SECA",0,0,"Number per 120 m^3","Copper RF"
2023,"SEFL",0,0,"Number per 120 m^3","Yellowtail RF"
2023,"SEME",5.88014705882353,1.06134993279063,"Number per 120 m^3","Black RF"
2023,"SENE",0.1,0.0483045891539648,"Number per 120 m^3","China RF"
2024,"HEXA",0.285364145658263,0.0485834424468438,"Number per 120 m^3","Greenlings"
2024,"OPEL",0.182773109243697,0.057706225608489,"Number per 120 m^3","Lingcod"
2024,"SCMA",0.100840336134454,0.0505803943410206,"Number per 120 m^3","Cabazon"
2024,"SECA",0.112745098039216,0.085731776629376,"Number per 120 m^3","Copper RF"
2024,"SEFL",0,0,"Number per 120 m^3","Yellowtail RF"
2024,"SEME",2.96638655462185,0.710271639356106,"Number per 120 m^3","Black RF"
2024,"SENE",0.285714285714286,0.148690428533295,"Number per 120 m^3","China RF"
2025,"HEXA",0.616150793650794,0.0818310746476929,"Number per 120 m^3","Greenlings"
2025,"OPEL",0.2425,0.0541452479489925,"Number per 120 m^3","Lingcod"
2025,"SCMA",0.0742857142857143,0.0322380344913007,"Number per 120 m^3","Cabazon"
2025,"SECA",0.05,0.0288675134594813,"Number per 120 m^3","Copper RF"
2025,"SEFL",0.2,0.2,"Number per 120 m^3","Yellowtail RF"
2025,"SEME",6.77488095238095,1.06254514194668,"Number per 120 m^3","Black RF"
2025,"SENE",0.0133333333333333,0.0133333333333333,"Number per 120 m^3","China RF"
