"year","index","SE","timeseries","metric","taxa","spp"
2015,0,0,"Unidentified","Rockfish juveniles per 120 m^3","RYOY","Unidentified"
2015,0,0,"YTB","Rockfish juveniles per 120 m^3","SEBYTyoy","yellowtail & black complex"
2015,0,0,"CQB","Rockfish juveniles per 120 m^3","SECAyoy","copper quilback black complex"
2015,0,0,"Blue","Rockfish juveniles per 120 m^3","SEMYyoy","Blue"
2015,0,0,"Canary","Rockfish juveniles per 120 m^3","SEPIyoy","Canary"
2015,0,0,NA,"Rockfish juveniles per 120 m^3","TOTyoy",NA
2016,0.025,0.025,"Unidentified","Rockfish juveniles per 120 m^3","RYOY","Unidentified"
2016,64.8483333333333,8.66647056263315,"YTB","Rockfish juveniles per 120 m^3","SEBYTyoy","yellowtail & black complex"
2016,0,0,"CQB","Rockfish juveniles per 120 m^3","SECAyoy","copper quilback black complex"
2016,0.195,0.107696764452759,"Blue","Rockfish juveniles per 120 m^3","SEMYyoy","Blue"
2016,0.186666666666667,0.112168704110452,"Canary","Rockfish juveniles per 120 m^3","SEPIyoy","Canary"
2016,65.255,8.70370615898055,NA,"Rockfish juveniles per 120 m^3","TOTyoy",NA
2017,0.277777777777778,0.112436539028209,"Unidentified","Rockfish juveniles per 120 m^3","RYOY","Unidentified"
2017,3.57307692307692,2.21467557921545,"YTB","Rockfish juveniles per 120 m^3","SEBYTyoy","yellowtail & black complex"
2017,0,0,"CQB","Rockfish juveniles per 120 m^3","SECAyoy","copper quilback black complex"
2017,0,0,"Blue","Rockfish juveniles per 120 m^3","SEMYyoy","Blue"
2017,0,0,"Canary","Rockfish juveniles per 120 m^3","SEPIyoy","Canary"
2017,3.8508547008547,2.21672980850258,NA,"Rockfish juveniles per 120 m^3","TOTyoy",NA
2018,0.285714285714286,0.143339957923166,"Unidentified","Rockfish juveniles per 120 m^3","RYOY","Unidentified"
2018,0.0825892857142857,0.0589302624216254,"YTB","Rockfish juveniles per 120 m^3","SEBYTyoy","yellowtail & black complex"
2018,0,0,"CQB","Rockfish juveniles per 120 m^3","SECAyoy","copper quilback black complex"
2018,0,0,"Blue","Rockfish juveniles per 120 m^3","SEMYyoy","Blue"
2018,0.430505952380952,0.152421128562467,"Canary","Rockfish juveniles per 120 m^3","SEPIyoy","Canary"
2018,0.798809523809524,0.210468648862948,NA,"Rockfish juveniles per 120 m^3","TOTyoy",NA
2019,0.863333333333333,0.678381594164809,"Unidentified","Rockfish juveniles per 120 m^3","RYOY","Unidentified"
2019,2.90869047619048,1.0539598304168,"YTB","Rockfish juveniles per 120 m^3","SEBYTyoy","yellowtail & black complex"
2019,0.875119047619048,0.380959542343402,"CQB","Rockfish juveniles per 120 m^3","SECAyoy","copper quilback black complex"
2019,0.125,0.125,"Blue","Rockfish juveniles per 120 m^3","SEMYyoy","Blue"
2019,0.0133333333333333,0.0133333333333333,"Canary","Rockfish juveniles per 120 m^3","SEPIyoy","Canary"
2019,4.7997619047619,1.38520704073446,NA,"Rockfish juveniles per 120 m^3","TOTyoy",NA
2021,2.00571428571429,1.41375708229443,"Unidentified","Rockfish juveniles per 120 m^3","RYOY","Unidentified"
2021,7.10928571428571,2.01514433786381,"YTB","Rockfish juveniles per 120 m^3","SEBYTyoy","yellowtail & black complex"
2021,0.926071428571429,0.472981464139453,"CQB","Rockfish juveniles per 120 m^3","SECAyoy","copper quilback black complex"
2021,0.34,0.318398771633588,"Blue","Rockfish juveniles per 120 m^3","SEMYyoy","Blue"
