"site","transect","observer","Transect.area","common.name","species","year","group","Count","area","zone","N.segments"
"Anderson Point",1,"CH",30,"Acanthodoris hudsoni, white nudibranch with yellow margin (we lump with Cadlina luteomarginata)","ACAHUD",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Acanthodoris nanaimo","ACANAN",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Acmaea mitra, white cap limpet","ACMMIT",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Anthopleura elegantissima, aggregating anemone","ANTELE",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Anthopleura xanthogrammica","ANTXAN",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Balanus nubilis, giant acorn barnacle","BALNUB",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Cadlina luteomarginata","CADLUT",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Cancer oregonensis, pygmy rock crab","CANORE",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Cancer spp., cancer crab","CANSPP",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Ceratostoma","CERFOL",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Chiton","CHITON",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Clinocardium","CLAMSP",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Craniella arb, grey tennis ball sponge","CRAARB",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Crossaster papposus, sea star","CROPAP",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Cryptolithoides sitchensis, umbrella crab","CRYSIT",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Cucumaria","CUCMIN",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Dermasterias","DERIMB",2015,"Invert",2,NA,5,NA
"Anderson Point",1,"CH",30,"Dialula sandiegensis","DIASAN",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Diodora aspera","DIOASP",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Dirona","DIRALB",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Enteroctopus dofleini","ENTDOF",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Epiactis prolifera","EPIPRO",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Eupentacta","EUPQUI",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Evasterias","EVATRO",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Fusitriton oregonensis","FUSORE",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Gumboot chiton","CRYSTE",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Haliotis kamtschatkana, pinto abalone","HALKAM",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Henricia leviuscula","HENLEV",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Hermissenda crassicornis, opalescent nudibranch","HERCRA",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Janolus fuscus, nudibranch","JANFUS",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Lepasterias spp.","LEPSPP",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Limacia cockerelli","LIMCOC",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Lirabuccinum dirum, dire whelk","LIRDIR",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Lopholithodes mandtii, Puget Sound king crab","LOPMAN",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Mediaster aequalis","MEDAEQ",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Mesocentrotus franciscanus, red urchin","MESFRA",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Metridium giganteum, giant plumose anemone","METGIG",2015,"Invert",0,NA,5,NA
"Anderson Point",1,"CH",30,"Metridium spp., white plumed anemones","METSPP",2015,"Invert",0,NA,5,NA
