"","Site","Transect","Observer"
"1","Anderson Point",1,"KA"
"2","Anderson Point",2,"KA"
"3","Anderson Point",1,"NT"
"4","Anderson Point",2,"NT"
"5","Cape Alava",1,"JS"
"6","Cape Alava",2,"JS"
"7","Cape Alava",1,"KF"
"8","Cape Alava",2,"NT"
"9","Cape Johnson",1,"JS"
"10","Cape Johnson",2,"JS"
"11","Cape Johnson",1,"NT"
"12","Cape Johnson",2,"NT"
"13","Chibadehl Rocks",1,"KA"
"14","Chibadehl Rocks",2,"KA"
"15","Chibadehl Rocks",1,"NT"
"16","Chibadehl Rocks",2,"NT"
"17","Neah Bay",1,"GW"
"18","Neah Bay",2,"GW"
"19","Neah Bay",1,"KA"
"20","Neah Bay",2,"KA"
"21","Point of the Arches",1,"JS"
"22","Point of the Arches",2,"JS"
"23","Point of the Arches",1,"NT"
"24","Point of the Arches",2,"NT"
"25","Rock 305",1,"GW"
"26","Rock 305",2,"GW"
"27","Rock 305",1,"NT"
"28","Rock 305",2,"NT"
"29","Tatoosh Island",1,"KA"
"30","Tatoosh Island",2,"KA"
"31","Tatoosh Island",1,"NT"
"32","Tatoosh Island",2,"NT"
"33","Teahwhit Head",1,"GW"
"34","Teahwhit Head",2,"GW"
"35","Teahwhit Head",1,"KF"
"36","Teahwhit Head",1,"NT"
