"Year","Site","Fish","Kelp","Invertebrates"
2015,"Cape Johnson",2,2,2
2015,"Cape Alava",2,2,2
2015,"Tatoosh Island",2,2,2
2015,"Neah Bay",2,2,2
2015,"Destruction Island",NA,2,2
2016,"Destruction Island",3,7,7
2016,"Cape Johnson",10,13,13
2016,"Cape Alava",12,10,10
2016,"Tatoosh Island",8,9,9
2016,"Neah Bay",10,10,10
2017,"Destruction Island",4,12,12
2017,"Cape Johnson",9,13,13
2017,"Cape Alava",18,14,14
2017,"Tatoosh Island",13,11,11
2017,"Neah Bay",16,12,12
2018,"Cape Johnson",7,6,6
2018,"Cape Alava",16,7,7
2018,"Tatoosh Island",15,6,6
2018,"Neah Bay",15,8,8
2018,"Destruction Island",NA,8,8
2019,"Destruction Island",16,6,6
2019,"Cape Johnson",15,8,8
2019,"Cape Alava",16,8,8
2019,"Tatoosh Island",14,5,5
2019,"Neah Bay",15,8,8
2021,"Destruction Island",10,6,6
2021,"Cape Johnson",16,8,8
2021,"Cape Alava",14,7,7
2021,"Tatoosh Island",14,7,7
2021,"Neah Bay",16,7,7
2022,"Cape Alava",11,7,7
2022,"Tatoosh Island",14,6,6
2022,"Neah Bay",13,6,6
2022,"Cape Johnson",NA,6,6
2022,"Destruction Island",NA,6,6
2023,"Destruction Island",10,6,6
2023,"Cape Johnson",17,9,9
2023,"Cape Alava",16,8,8
2023,"Tatoosh Island",16,6,6
2023,"Neah Bay",17,7,7
2024,"Destruction Island",3,6,8
2024,"Cape Alava",7,7,7
2024,"Tatoosh Island",17,6,6
2024,"Neah Bay",17,7,7
2024,"Cape Johnson",NA,7,7
