"species","common.name","group","functional_group","spp","taxa","group_1","group_2"
"AGAFIM","Agarum fimbriatum","Algae","understory","Agarum fibriatum",NA,NA,NA
"ALAMAR","Alaria marginata, Alaria","Algae","understory","Alaria marginata",NA,NA,NA
"ANTSPP","Anthopleura spp., unidentified anemone","Invert","small_anemone","Anthopleura spp.",NA,NA,NA
"ASTSPP","unknown seastar","Invert","seastar","Asteroides",NA,NA,NA
"BONGO","Steve Lonhart description of later defined species","Algae","understory","Kelp",NA,NA,NA
"COSCOS","Costaria costatum, Costaria","Algae","understory","Costaria costatum",NA,NA,NA
"CRYDEC","cryptic decorator crab unid. Spp.","Invert","crabs","decorator crab",NA,NA,NA
"CYMTRI","Cymathere triplicata, three-ribbed kelp","Algae","understory","Cymathere tripicata",NA,NA,NA
"dPTECAL","DEAD (grazed) Pterygophora californica, Pterygophora","Algae","understory","dead Peterophora",NA,NA,NA
"DESSPP","Desmarestia spp.","Algae","understory","Desmerestia spp.",NA,NA,NA
"EGRMEN","Egregia menziesii","Algae","understory","Egregia menziesii",NA,NA,NA
"HALKAM","Haliotis kamtschatkana, pinto abalone","Invert","shelled_mollusk","Haliotis kamtschatkana",NA,NA,NA
"LAMSET","Laminaria setchellii, Laminaria","Algae","understory","Laminaria setchellii",NA,NA,NA
"MACPYR","Macrocystis pyrifera, Macrocystis","Algae","canopy","Macrocystis pyrifera",NA,NA,NA
"NERLUE","Nereocystis luetkeana, Nereocystis","Algae","canopy","Nerocystis leutkeana",NA,NA,NA
"NO_ALG","No kelp stipes present in this sample","Algae","none","No kelp",NA,NA,NA
"NO_URCH","Place holder when urchin data was absent for a transect segment","Invert","urchin","no urchins",NA,NA,NA
"NOT_DONE","No data collected","Algae","none","no data",NA,NA,NA
"NUDIBR","unknown nudibranch","Invert","none","nudibranch unk",NA,NA,NA
"PISSPP","Pisaster spp. (unidentified species)","Invert","seastar","Pisaster spp.",NA,NA,NA
"PLEGAR","Pleurophycus gardneri, Pleurophycus","Algae","understory","Pleurophycus gardneri",NA,NA,NA
"POLSPP","Pollicipes spp. Gooseneck barnacles","Invert","barnacle","Pollicpies spp.",NA,NA,NA
"PTETES","Pteraster tesselatus","Invert","seastar","Pteraster tesselatus",NA,NA,NA
"PTECAL","Pterygophora californica, Pterygophora","Algae","understory","Pterygophora californica",NA,NA,NA
"SACGRO","Saccharina groenlandica, split kelp","Algae","understory","Saccharina groenlandica",NA,NA,NA
"SACLAT","Saccharina latissima, ""bongo""","Algae","canopy","Saccharina latissima",NA,NA,NA
"SOLDAW","Solaster dawsoni, morning sun star","Invert","seastar","Solaster sawsoni",NA,NA,NA
"ANTELE","Anthopleura elegantissima, aggregating anemone","Invert","small_anemone","Anthopleura elegantissima","anemone","anemone","small_anemone"
"ANTXAN","Anthopleura xanthogrammica, giant green anemone","Invert","large_anemone","Anthopleura xanthogrammica","anemone","anemone","large_anemone"
"EPIPRO","Epiactis prolifera, brooding anemona","Invert","small_anemone","Epiactis prolifera","anemone","anemone","small_anemone"
"METGIG","Metridium giganteum, giant plumose anemone","Invert","large_anemone","Metridium giganteum","anemone","anemone","large_anemone"
"METSPP","Metridium spp., white plumed anemones","Invert","large_anemone","Metridium spp.","anemone","anemone","large_anemone"
"URTCRA","Urticina crassicornis, Christmas anemone","Invert","large_anemone","Urticina crassicornis","anemone","anemone","large_anemone"
"URTLOF","Urticina lofotensis, white-spotted rose anemone","Invert","large_anemone","Urticina lofotensis","anemone","anemone","large_anemone"
"URTPIS","Urticina piscivora, fish-eating anemone","Invert","large_anemone","Urticina piscivora","anemone","anemone","large_anemone"
"URTSPP","Urticina spp., Urticina spp.","Invert","large_anemone","Urticina spp.","anemone","anemone","large_anemone"
"BALNUB","Balanus nubilis, giant acorn barnacle","Invert","large_barnacle","Balanus nubilis","barnacle","barnacle","large_barnacle"
"CLAMSP","misc clams","Invert","shelled_mollusk","misc clams","bivalve","mollusk","bivalve"
"CRAGIG","Crassadoma gigantea, rock scallop","Invert","shelled_mollusk","Crassadoma gigantea","bivalve","mollusk","bivalve"
"PODSPP","Pododesmus spp. Jingle shells","Invert","shelled_mollusk","Pododesmus spp.","bivalve","mollusk","bivalve"
"SCALLOP","misc. scallops (not rock)","Invert","shelled_mollusk","scallop","bivalve","mollusk","bivalve"
"HENLEV","Henricia leviuscula, blood star","Invert","seastar","Henricia leviuscula","blood star","med_sea_star","blood_star"
"LEPSPP","Lepasterias spp.","Invert","seastar","Lepasterias spp.","brood star","med_sea_star","brood_sea_star"
"CHITON","misc small chitons (Mopalia, etc.)","Invert","shelled_mollusk","small chitons","chiton","mollusk","chiton"
"CRYSTE","Cryptochiton stelleri, gumboot chiton","Invert","shelled_mollusk","Cryptochiton stelleri","chiton","mollusk","chiton"
"CANORE","Cancer oregonensis, pygmy rock crab","Invert","crabs","Cancer oregonensis","crabs","mobile_invert","crabs"
"CANSPP","Cancer spp., cancer crab","Invert","crabs","Cancer spp.","crabs","mobile_invert","crabs"
