"year","grand.mean","SE","q025","q05","q25","q75","q95","q975","complex"
2016,0.0228620418097505,0.0148807675527695,0,0,0.0117436201776953,0.0326668773115383,0.0484297049023425,0.0541373060242897,"Rockfish spp"
2017,0.214527972954561,0.0609271571418061,0.098325363756492,0.115551705549887,0.173187522080274,0.254370285514622,0.316745745089333,0.337355322416941,"Rockfish spp"
2018,0.242575369088737,0.086447058010785,0.0711149801838701,0.098609263564957,0.184570923788566,0.299826186015113,0.38574430289439,0.413530344978608,"Rockfish spp"
2019,0.783624516325001,0.399863009428796,0.114520082641012,0.164157717573016,0.485439737728161,1.05415580393316,1.46955874469959,1.60932413144806,"Rockfish spp"
2021,1.5640658681148,0.757522629661746,0.164982561845294,0.268480344307379,1.03480958753087,2.06261536004867,2.84425119371763,3.10004875412502,"Rockfish spp"
2022,0,0,0,0,0,0,0,0,"Rockfish spp"
2023,0.323166927098603,0.0772400712460304,0.17152969732718,0.195742728369955,0.271228765501676,0.374977119710991,0.450341130565685,0.474374107025097,"Rockfish spp"
2024,0.19125476091189,0.0691298511626507,0.0546252868795149,0.0779305262355315,0.145080100579609,0.236900179502159,0.305350411183785,0.328023325367307,"Rockfish spp"
2025,0.643187092786828,0.186834102117783,0.294991291111227,0.343509137488548,0.512639008092102,0.768059349440037,0.957746422102842,1.02235888363291,"Rockfish spp"
2026,0,0,0,0,0,0,0,0,"Rockfish spp"
2016,24.6949407179425,3.42206305759043,17.9905076237653,19.0806523684266,22.387560479998,27.0051918232287,30.2953418678664,31.3880124047099,"Yellowtail & Black RF"
2017,1.51713466933243,0.667589554341794,0.176417039237897,0.387209335414015,1.05415702798133,1.97182593857831,2.62292363158965,2.84130618242025,"Yellowtail & Black RF"
2018,0.0416600591892021,0.0192045262865857,0.00679846324109321,0.0113406274716717,0.0278854986534434,0.0543641479433149,0.0746731306079138,0.0814404687067609,"Yellowtail & Black RF"
2019,1.1931737645514,0.305405145936557,0.614994786739454,0.697097949202522,0.98115957102082,1.39960796155414,1.7022159731863,1.80320787699599,"Yellowtail & Black RF"
2021,3.3502758613831,0.591890340593938,2.19077563451119,2.37953871916448,2.953740519761,3.74649764727505,4.32558212161642,4.51889237750047,"Yellowtail & Black RF"
2022,0.103904133021914,0.0343142899586548,0.0383184381392859,0.0479770177520954,0.0801245073952348,0.127124772859563,0.16093897875165,0.172257542335912,"Yellowtail & Black RF"
2023,0.737608984418725,0.199737229110382,0.344945614466786,0.406044287226283,0.602336947765836,0.87139731150682,1.06706002305764,1.13287291022884,"Yellowtail & Black RF"
2024,3.61922505426899,1.08643769828135,1.62499924809886,1.8411210813029,2.85654849844548,4.33906500183689,5.45458449297759,5.83883999006692,"Yellowtail & Black RF"
2025,7.46061043055557,1.30884596000262,4.90032677867554,5.2987089616563,6.58456046370904,8.33812382790028,9.61688089068523,10.0496380440851,"Yellowtail & Black RF"
2026,3.1474414892167,0.719794397810456,1.75523157539811,1.97911744209047,2.66087181111292,3.62682223798233,4.3449693065917,4.57641471635364,"Yellowtail & Black RF"
2016,0,0,0,0,0,0,0,0,"Copper & Quillback RF"
2017,0,0,0,0,0,0,0,0,"Copper & Quillback RF"
2018,0,0,0,0,0,0,0,0,"Copper & Quillback RF"
2019,0.447903359119691,0.134321171544538,0.195227144920013,0.23148278792881,0.354115906275134,0.538244512478204,0.673321127088735,0.717599496799789,"Copper & Quillback RF"
2021,0.464169806092473,0.171062728896948,0.123973209390574,0.179596826955624,0.348089545680551,0.579003797321784,0.747695027434584,0.803451776255605,"Copper & Quillback RF"
2022,0,0,0,0,0,0,0,0,"Copper & Quillback RF"
2023,0,0,0,0,0,0,0,0,"Copper & Quillback RF"
2024,0.00755931604996173,0.00486601019762192,0,0,0.00387410400107198,0.0108740523799869,0.0159306983636055,0.0175844084086764,"Copper & Quillback RF"
2025,0.529073318885834,0.164805010383205,0.204787060028578,0.254792185318027,0.416896782991406,0.639635921589496,0.80250756407702,0.85597278569135,"Copper & Quillback RF"
2026,0.179633471750678,0.0578769961655813,0.073047711037083,0.0864402270625872,0.138569918722281,0.218583890479868,0.276874753707086,0.29649862365441,"Copper & Quillback RF"
2016,0.18846962266913,0.0777510259256344,0.0457773992585923,0.0647496542742604,0.133464380034618,0.240178026229019,0.319957225899263,0.348363597447631,"Canary RF"
2017,0,0,0,0,0,0,0,0,"Canary RF"
2018,0.433787961442475,0.107351663113928,0.225295735619701,0.257750198286726,0.360619464582274,0.505728322065185,0.611708074264921,0.646382830644699,"Canary RF"
2019,0.0137103360250138,0.00889433490336028,0,0,0.00701895648463685,0.0196344912829,0.0290678346572067,0.0323520294664851,"Canary RF"
2021,0.854716427867063,0.485325216444176,0.0659519616938298,0.0997717370674693,0.494288178037797,1.17832148136659,1.69460166222826,1.8634565047686,"Canary RF"
2022,0,0,0,0,0,0,0,0,"Canary RF"
2023,0.239255993023929,0.0653731890725276,0.111949279850753,0.132494571052593,0.194823794628063,0.283046778911108,0.347788915042341,0.369986188224482,"Canary RF"
2024,0.792361797089903,0.416391580327412,0.102787409683554,0.142488619657431,0.489917239709673,1.06205681934498,1.50673974266319,1.66894766549644,"Canary RF"
2025,0.748813463922889,0.142623545229307,0.468792514340433,0.514710735956609,0.653402990628127,0.843818486908124,0.983266161114947,1.0302803854148,"Canary RF"
2026,0.470371851218031,0.181570875366681,0.14364674155373,0.18170272392161,0.340078658957476,0.591569383247179,0.779577794068568,0.842695740447828,"Canary RF"
2016,0.197436510329634,0.0750808391150076,0.059121385251716,0.0771156056380267,0.1447610627389,0.246780311954914,0.324343441122821,0.351689458443982,"Deacon RF"
2017,0,0,0,0,0,0,0,0,"Deacon RF"
2018,0,0,0,0,0,0,0,0,"Deacon RF"
2019,0.128750608394325,0.0833230900513878,0,0,0.0657999225088195,0.184545109350985,0.272827179053664,0.303688371623514,"Deacon RF"
2021,0.347242624027318,0.215747351049613,0,0,0.188035432696706,0.490165835832642,0.716396803976628,0.794657246184818,"Deacon RF"
2022,0,0,0,0,0,0,0,0,"Deacon RF"
2023,0.79786529180165,0.173964687913071,0.452162194145706,0.512312485742885,0.68495287150681,0.911085212604424,1.08149218934386,1.14286792623073,"Deacon RF"
2024,0,0,0,0,0,0,0,0,"Deacon RF"
2025,1.17091149162524,0.278672102583386,0.619032834119758,0.714451164313549,0.98840533621504,1.35459864242147,1.62886966076609,1.72336258770252,"Deacon RF"
2026,4.17513977782442,0.759815336756069,2.66525897415083,2.93644616276121,3.68754426883344,4.66212930343967,5.41737967368453,5.67906862814314,"Deacon RF"
2016,0,0,0,0,0,0,0,0,"China RF"
2017,0,0,0,0,0,0,0,0,"China RF"
2018,0,0,0,0,0,0,0,0,"China RF"
2019,0,0,0,0,0,0,0,0,"China RF"
2021,0,0,0,0,0,0,0,0,"China RF"
2022,0,0,0,0,0,0,0,0,"China RF"
2023,0,0,0,0,0,0,0,0,"China RF"
2024,0.0151003736174678,0.00981294636828337,0,0,0.0076852286792028,0.0216606282114263,0.0320795873111175,0.035736589230435,"China RF"
2025,0,0,0,0,0,0,0,0,"China RF"
2026,0,0,0,0,0,0,0,0,"China RF"
